slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1761234300,54,6,6,13386
btc-updown-15m-1761238800,64,24,20,16171
btc-updown-15m-1761242400,66,6,4,16543
btc-updown-15m-1761246900,68,6,6,17182
btc-updown-15m-1761251400,58,8,4,14472
btc-updown-15m-1761255900,42,6,4,10812
btc-updown-15m-1761260400,48,4,2,11909
btc-updown-15m-1761264900,46,2,2,11531
btc-updown-15m-1761276600,30,2,2,7458
btc-updown-15m-1761281100,66,6,4,16612
btc-updown-15m-1761285600,52,12,10,12814
btc-updown-15m-1761290100,60,10,8,14852
btc-updown-15m-1761294600,48,2,2,11945
btc-updown-15m-1761299100,44,12,8,11053
btc-updown-15m-1761302700,54,8,6,13297
btc-updown-15m-1761321600,62,12,6,15367
btc-updown-15m-1761326100,22,0,0,5664
btc-updown-15m-1761330600,18,0,0,4602
btc-updown-15m-1761335100,36,12,4,9231
btc-updown-15m-1761347700,30,6,6,7778
btc-updown-15m-1761351300,54,16,14,13534
btc-updown-15m-1761355800,30,4,2,7649
btc-updown-15m-1761360300,24,2,2,6362
btc-updown-15m-1761369300,58,4,2,14508
btc-updown-15m-1761373800,62,8,6,15417
btc-updown-15m-1761378300,76,10,8,19092
btc-updown-15m-1761418800,24,0,0,6323
btc-updown-15m-1761423300,36,6,6,9044
btc-updown-15m-1761446700,10,4,4,2541
btc-updown-15m-1761451200,52,16,12,13236
btc-updown-15m-1761455700,36,6,6,9246
btc-updown-15m-1761544800,46,8,8,11597
btc-updown-15m-1761549300,80,10,6,19937
btc-updown-15m-1761553800,46,0,0,11407
btc-updown-15m-1761566400,66,8,2,16278
btc-updown-15m-1761570900,66,6,6,16580
btc-updown-15m-1761575400,104,10,6,25997
btc-updown-15m-1761579000,108,10,4,26983
btc-updown-15m-1761583500,72,0,0,17939
btc-updown-15m-1761588000,82,6,2,20298
btc-updown-15m-1761592500,16,0,0,4045
btc-updown-15m-1761605100,76,8,4,19148
btc-updown-15m-1761609600,74,8,8,18277
btc-updown-15m-1761613200,50,12,12,12584
btc-updown-15m-1761617700,52,2,2,13151
btc-updown-15m-1761622200,70,4,4,17628
btc-updown-15m-1761629400,44,0,0,10860
btc-updown-15m-1761633900,56,14,14,13937
btc-updown-15m-1761638400,44,2,2,10939
btc-updown-15m-1761642000,60,4,2,15168
btc-updown-15m-1761646500,52,8,8,13106
btc-updown-15m-1761651000,46,6,6,11500
btc-updown-15m-1761655500,50,8,6,12423
btc-updown-15m-1761660000,84,6,2,20929
btc-updown-15m-1761664500,64,0,0,16376
btc-updown-15m-1761668100,74,12,10,18599
btc-updown-15m-1761672600,58,2,2,14391
btc-updown-15m-1761677100,38,4,2,9427
btc-updown-15m-1761681600,42,0,0,10546
btc-updown-15m-1761686100,64,2,2,16074
btc-updown-15m-1761690600,58,6,4,14746
btc-updown-15m-1761711300,46,2,2,11334
btc-updown-15m-1761715800,14,0,0,3426
btc-updown-15m-1761720300,20,2,2,4772
btc-updown-15m-1761724800,22,0,0,5302
btc-updown-15m-1761729300,52,2,2,13242
btc-updown-15m-1761733800,68,4,2,17132
btc-updown-15m-1761737400,72,4,4,18130
btc-updown-15m-1761741900,58,2,2,14564
btc-updown-15m-1761746400,108,16,14,26955
btc-updown-15m-1761750900,82,16,16,20350
btc-updown-15m-1761755400,90,14,14,22585
btc-updown-15m-1761759900,68,8,8,17077
btc-updown-15m-1761763500,20,0,0,4968
btc-updown-15m-1761768000,110,6,6,27275
btc-updown-15m-1761772500,38,4,4,9330
btc-updown-15m-1761779700,72,22,20,18272
btc-updown-15m-1761784200,96,12,10,23787
btc-updown-15m-1761788700,84,12,12,21008
btc-updown-15m-1761792300,50,6,6,12401
btc-updown-15m-1761796800,48,18,16,11930
btc-updown-15m-1761801300,90,16,6,22762
btc-updown-15m-1761805800,70,10,6,17427
btc-updown-15m-1761813000,8,0,0,2197
btc-updown-15m-1761817500,64,10,10,15949
btc-updown-15m-1761821100,32,0,0,8247
btc-updown-15m-1761825600,70,12,10,17641
btc-updown-15m-1761830100,122,28,26,30491
btc-updown-15m-1761834600,136,2,2,33562
btc-updown-15m-1761841800,0,0,0,0
btc-updown-15m-1761846300,48,2,2,11865
btc-updown-15m-1761849900,76,2,0,19005
btc-updown-15m-1761854400,92,4,0,22868
btc-updown-15m-1761858900,52,0,0,12993
btc-updown-15m-1761863400,54,6,2,13484
btc-updown-15m-1761867900,16,0,0,3930
btc-updown-15m-1761872400,20,0,0,5197
btc-updown-15m-1761876000,32,0,0,8159
btc-updown-15m-1761880500,64,6,6,15682
btc-updown-15m-1761885000,58,14,10,14463
btc-updown-15m-1761889500,38,2,2,9613
btc-updown-15m-1761894000,32,0,0,8221
btc-updown-15m-1761898500,22,2,2,5421
btc-updown-15m-1761902100,60,4,0,15081
btc-updown-15m-1761906600,56,0,0,13786
btc-updown-15m-1761911100,10,0,0,2491
btc-updown-15m-1761918300,94,8,2,23638
btc-updown-15m-1761922800,150,18,6,37260
btc-updown-15m-1761936300,0,0,0,0
btc-updown-15m-1761939900,98,8,2,23982
btc-updown-15m-1761944400,78,8,6,19480
btc-updown-15m-1761954300,32,2,2,8244
btc-updown-15m-1761955200,10,0,0,2695
btc-updown-15m-1761964200,24,0,0,6323
btc-updown-15m-1762074900,110,18,16,27469
btc-updown-15m-1762147800,96,12,12,23862
btc-updown-15m-1762155900,194,20,14,48512
btc-updown-15m-1762164900,148,18,12,36869
btc-updown-15m-1762193700,178,14,14,44296
btc-updown-15m-1762202700,208,22,22,51701
btc-updown-15m-1762210800,16,0,0,4147
btc-updown-15m-1762219800,56,6,6,14131
btc-updown-15m-1762227900,138,28,26,34252
btc-updown-15m-1762247700,160,36,28,39913
btc-updown-15m-1762255800,80,6,4,20227
btc-updown-15m-1762264800,150,26,22,37272
btc-updown-15m-1762272900,100,4,4,25028
btc-updown-15m-1762281900,194,8,6,47896
btc-updown-15m-1762290000,180,10,4,44808
btc-updown-15m-1762299000,160,2,2,39804
btc-updown-15m-1762307100,70,2,2,17369
btc-updown-15m-1762323300,150,2,2,37256
btc-updown-15m-1762331400,150,0,0,37346
btc-updown-15m-1762359300,182,4,4,45221
btc-updown-15m-1762367400,138,6,6,34274
btc-updown-15m-1762377300,88,6,4,22164
btc-updown-15m-1762385400,132,10,8,32863
btc-updown-15m-1762394400,116,6,2,29103
btc-updown-15m-1762402500,56,8,4,13975
btc-updown-15m-1762411500,114,12,4,28402
btc-updown-15m-1762425900,64,0,0,16136
btc-updown-15m-1762434900,50,2,2,12858
btc-updown-15m-1762443000,96,0,0,24297
btc-updown-15m-1762452900,104,10,2,25858
btc-updown-15m-1762461000,176,6,4,43546
btc-updown-15m-1762470000,144,4,2,36055
btc-updown-15m-1762478100,58,4,2,14441
btc-updown-15m-1762487100,60,0,0,14794
btc-updown-15m-1762524900,0,0,0,0
btc-updown-15m-1762533900,200,8,4,50050
btc-updown-15m-1762542000,126,2,2,31647
btc-updown-15m-1762566300,76,6,4,18797
btc-updown-15m-1762628400,0,0,0,0
btc-updown-15m-1762637400,54,6,4,13593
btc-updown-15m-1762678800,132,8,8,33093
btc-updown-15m-1762687800,104,16,10,25989
btc-updown-15m-1762695900,172,14,12,42813
btc-updown-15m-1762718400,206,16,14,51368
btc-updown-15m-1762734600,40,2,0,10026
btc-updown-15m-1762758900,136,2,2,34096
btc-updown-15m-1762767000,206,26,20,51415
btc-updown-15m-1762780500,160,18,16,39924
btc-updown-15m-1762788600,240,12,10,59730
btc-updown-15m-1762797600,144,4,4,35596
btc-updown-15m-1762805700,176,10,10,44269
btc-updown-15m-1762828200,52,0,0,13315
btc-updown-15m-1762836300,174,14,14,43357
btc-updown-15m-1762845300,160,8,6,39631
btc-updown-15m-1762853400,136,10,8,33312
btc-updown-15m-1762862400,88,2,2,21669
btc-updown-15m-1762870500,146,8,8,36241
btc-updown-15m-1762879500,204,16,14,50536
btc-updown-15m-1762887600,88,8,6,22262
btc-updown-15m-1762896600,120,4,4,30165
btc-updown-15m-1762904700,218,10,6,54019
btc-updown-15m-1762913700,162,10,8,40404
btc-updown-15m-1762921800,112,10,0,27956
btc-updown-15m-1762930800,90,8,6,22344
btc-updown-15m-1762938900,186,14,12,46283
btc-updown-15m-1762947900,76,0,0,18995
