slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1763659800,1763659800,2025-11,1,300,0.21,982,0.24,141,2560,2486,0.76,141,0.79,982,2486,2560,1707,298
btc-updown-15m-1763659800,1763659800,2025-11,1,450,0.1,10,0.11,109,989,2398.1,0.89,109,0.9,10,2398.1,989,1,298
btc-updown-15m-1763659800,1763659800,2025-11,1,600,0.23,511,0.26,304,2715,1511.37,0.74,304,0.77,511,1511.37,2715,13,298
btc-updown-15m-1763659800,1763659800,2025-11,1,690,0.15,401.42,0.17,118,3422.42,1213,0.83,118,0.85,401.42,1213,3422.42,8,298
btc-updown-15m-1763667900,1763667900,2025-11,0,300,0.24,87,0.25,576.21,225,1921.09,0.75,576.21,0.76,87,1921.09,225,24,297.4
btc-updown-15m-1763667900,1763667900,2025-11,0,450,0.34,50,0.35,21,1997,1114,0.65,21,0.66,50,1114,1997,3,297.4
btc-updown-15m-1763667900,1763667900,2025-11,0,600,0.36,50,0.37,30,737.5,2175,0.63,30,0.64,50,2175,737.5,91,297.4
btc-updown-15m-1763667900,1763667900,2025-11,0,690,0.72,610,0.75,150,2014.75,1317,0.25,150,0.28,610,1317,2014.75,46,297.4
btc-updown-15m-1763676900,1763676900,2025-11,0,300,0.35,717,0.36,36.09,1398,734.38,0.64,36.09,0.65,717,734.38,1398,242,242.2
btc-updown-15m-1763676900,1763676900,2025-11,0,450,0.32,14,0.33,45,1803,1352.58,0.67,45,0.68,14,1352.58,1803,9,242.2
btc-updown-15m-1763676900,1763676900,2025-11,0,600,0.66,8,0.67,10,1173,611,0.33,10,0.34,8,611,1173,106,242.2
btc-updown-15m-1763676900,1763676900,2025-11,0,690,0.91,22,0.94,560,2064.18,2873,0.06,560,0.09,22,2873,2064.18,0,242.2
btc-updown-15m-1763685000,1763685000,2025-11,1,300,0.29,63,0.3,10,1374,1593.64,0.7,10,0.71,63,1593.64,1374,8,296.3
btc-updown-15m-1763685000,1763685000,2025-11,1,450,0.61,70,0.62,50,2328.55,719.9,0.38,50,0.39,70,719.9,2328.55,1,296.3
btc-updown-15m-1763685000,1763685000,2025-11,1,600,0.66,20,0.67,159,704,2355,0.33,159,0.34,20,2355,704,0,296.3
btc-updown-15m-1763685000,1763685000,2025-11,1,690,0.8,238,0.82,50,2203,1342.1,0.18,50,0.2,238,1342.1,2203,11,296.3
btc-updown-15m-1763694000,1763694000,2025-11,0,300,0.76,10,0.77,10,657.61,760,0.23,10,0.24,10,760,657.61,13,293.5
btc-updown-15m-1763694000,1763694000,2025-11,0,450,0.91,50,0.92,10,1666.2,1296,0.08,10,0.09,50,1296,1666.2,285,293.5
btc-updown-15m-1763694000,1763694000,2025-11,0,600,0.96,27,0.97,764.86,690.06,3971.07,0.03,764.86,0.04,27,3971.07,690.06,37,293.5
btc-updown-15m-1763694000,1763694000,2025-11,0,690,0.98,978.75,0.99,1244.94,2308.75,1244.94,0.01,1244.94,0.02,978.75,1244.94,2308.75,564,293.5
btc-updown-15m-1763702100,1763702100,2025-11,1,300,0.57,32.54,0.59,57,1998.31,1304.11,0.41,57,0.43,32.54,1304.11,1998.31,47,299
btc-updown-15m-1763702100,1763702100,2025-11,1,450,0.73,20,0.74,45,609.66,1237,0.26,45,0.27,20,1237,609.66,1,299
btc-updown-15m-1763702100,1763702100,2025-11,1,600,0.76,10,0.77,517,302,1877,0.23,517,0.24,10,1877,302,10,299
btc-updown-15m-1763702100,1763702100,2025-11,1,690,0.77,72,0.79,500,261,1700,0.21,500,0.23,72,1700,261,1,299
btc-updown-15m-1763711100,1763711100,2025-11,1,300,0.22,20,0.24,1513.5,993,2711.7,0.76,1513.5,0.78,20,2711.7,993,6,299
btc-updown-15m-1763711100,1763711100,2025-11,1,450,0.36,20,0.38,500,1534,2207.9,0.62,500,0.64,20,2207.9,1534,16,299
btc-updown-15m-1763711100,1763711100,2025-11,1,600,0.23,20,0.24,506,474,2929.9,0.76,506,0.77,20,2929.9,474,94943,299
btc-updown-15m-1763711100,1763711100,2025-11,1,690,0.23,20,0.24,506,474,2929.9,0.76,506,0.77,20,2929.9,474,184943,299
btc-updown-15m-1763719200,1763719200,2025-11,1,300,0.24,26,0.25,301.32,1228,928.32,0.75,301.32,0.76,26,928.32,1228,3,298.3
btc-updown-15m-1763719200,1763719200,2025-11,1,450,0.15,944,0.16,1014.25,2867.5,1606.25,0.84,1014.25,0.85,944,1606.25,2867.5,5,298.3
btc-updown-15m-1763719200,1763719200,2025-11,1,600,0.3,65.8,0.31,16,1367.8,589.41,0.69,16,0.7,65.8,589.41,1367.8,23,298.3
btc-updown-15m-1763719200,1763719200,2025-11,1,690,0.71,550,0.73,13.26,2761,563.99,0.27,13.26,0.29,550,563.99,2761,0,298.3
btc-updown-15m-1763728200,1763728200,2025-11,0,300,0.9,25,0.91,25.04,1383.54,3172.23,0.09,25.04,0.1,25,3172.23,1383.54,27,292
btc-updown-15m-1763728200,1763728200,2025-11,0,450,0.97,819.61,0.98,251.56,3405.5,4890.06,0.02,251.56,0.03,819.61,4890.06,3405.5,98,292
btc-updown-15m-1763728200,1763728200,2025-11,0,600,0.99,3692.2,,,7168.6,0,,,0.01,3692.2,0,7168.6,77,292
btc-updown-15m-1763728200,1763728200,2025-11,0,690,0.99,3765.23,,,7995.28,0,,,0.01,3765.23,0,7995.28,103,292
btc-updown-15m-1763736300,1763736300,2025-11,1,300,0.25,11,0.26,570,1183,2469.16,0.74,570,0.75,11,2469.16,1183,1,298.5
btc-updown-15m-1763736300,1763736300,2025-11,1,450,0.58,21,0.59,9,1083.25,2348.25,0.41,9,0.42,21,2348.25,1083.25,6,298.5
btc-updown-15m-1763736300,1763736300,2025-11,1,600,0.91,163,0.93,2620.24,1136,5778.24,0.07,2620.24,0.09,163,5778.24,1136,0,298.5
btc-updown-15m-1763736300,1763736300,2025-11,1,690,0.75,615,0.77,16,1848.2,1167,0.23,16,0.25,615,1167,1848.2,0,298.5
btc-updown-15m-1763745300,1763745300,2025-11,0,300,0.53,5,0.54,604,580,2487.9,0.46,604,0.47,5,2487.9,580,3,298.8
btc-updown-15m-1763745300,1763745300,2025-11,0,450,0.61,565.8,0.62,5,2192.6,439,0.38,5,0.39,565.8,439,2192.6,9,298.8
btc-updown-15m-1763745300,1763745300,2025-11,0,600,0.82,10,0.83,509,2278.29,1768.6,0.17,509,0.18,10,1768.6,2278.29,49,298.8
btc-updown-15m-1763745300,1763745300,2025-11,0,690,0.83,560,0.85,338,2933,1542,0.15,338,0.17,560,1542,2933,7,298.8
btc-updown-15m-1763753400,1763753400,2025-11,1,300,0.16,318,0.17,14,3372.56,673.34,0.83,14,0.84,318,673.34,3372.56,25,293.8
btc-updown-15m-1763753400,1763753400,2025-11,1,450,0.21,763,0.24,60,3806.9,2502.91,0.76,60,0.79,763,2502.91,3806.9,3,293.8
btc-updown-15m-1763753400,1763753400,2025-11,1,600,0.17,393.6,0.2,741,3578.9,2282,0.8,741,0.83,393.6,2282,3578.9,35,293.8
btc-updown-15m-1763753400,1763753400,2025-11,1,690,0.05,50,0.06,1311,3355.19,2552,0.94,1311,0.95,50,2552,3355.19,18,293.8
btc-updown-15m-1763762400,1763762400,2025-11,1,300,0.73,560,0.75,120.6,1859,1819,0.25,120.6,0.27,560,1819,1859,17,296.5
btc-updown-15m-1763762400,1763762400,2025-11,1,450,0.7,560,0.71,20,2941.25,665.21,0.29,20,0.3,560,665.21,2941.25,65,296.5
btc-updown-15m-1763762400,1763762400,2025-11,1,600,0.76,220.75,0.78,179,1380.75,1542.9,0.22,179,0.24,220.75,1542.9,1380.75,9,296.5
btc-updown-15m-1763762400,1763762400,2025-11,1,690,0.67,133,0.7,570,1506.3,2852,0.3,570,0.33,133,2852,1506.3,12,296.5
btc-updown-15m-1763770500,1763770500,2025-11,1,300,0.1,309.8,0.11,510,505.3,2527.57,0.89,510,0.9,309.8,2527.57,505.3,37,293.6
btc-updown-15m-1763770500,1763770500,2025-11,1,450,0.07,335,0.09,440.88,1704.93,1585.88,0.91,440.88,0.93,335,1585.88,1704.93,49,293.6
btc-updown-15m-1763770500,1763770500,2025-11,1,600,0.02,66.07,0.03,10,2475.07,1719.6,0.97,10,0.98,66.07,1719.6,2475.07,231,293.6
btc-updown-15m-1763770500,1763770500,2025-11,1,690,,,0.01,306,0,3491.3,0.99,306,,,3491.3,0,161,293.6
btc-updown-15m-1763779500,1763779500,2025-11,0,300,0.5,20,0.51,565,179,2030,0.49,565,0.5,20,2030,179,36,299.5
btc-updown-15m-1763779500,1763779500,2025-11,0,450,0.77,41,0.78,149,1361,778,0.22,149,0.23,41,778,1361,103,299.5
btc-updown-15m-1763779500,1763779500,2025-11,0,600,0.84,610,0.86,89.41,1940,1428.41,0.14,89.41,0.16,610,1428.41,1940,18,299.5
btc-updown-15m-1763779500,1763779500,2025-11,0,690,0.94,65,0.95,1506,1570.41,2412.8,0.05,1506,0.06,65,2412.8,1570.41,250,299.5
btc-updown-15m-1763787600,1763787600,2025-11,1,300,0.36,248.84,0.38,10,1503.74,1360,0.62,10,0.64,248.84,1360,1503.74,17,299
btc-updown-15m-1763787600,1763787600,2025-11,1,450,0.31,7.27,0.32,18,1251.23,756.42,0.68,18,0.69,7.27,756.42,1251.23,78,299
btc-updown-15m-1763787600,1763787600,2025-11,1,600,0.47,10,0.48,5,1209.5,1130.08,0.52,5,0.53,10,1130.08,1209.5,21,299
btc-updown-15m-1763787600,1763787600,2025-11,1,690,0.59,537.8,0.61,185.36,2618.6,965.36,0.39,185.36,0.41,537.8,965.36,2618.6,22,299
btc-updown-15m-1763796600,1763796600,2025-11,0,300,0.66,48.52,0.68,970,1018.11,3098.08,0.32,970,0.34,48.52,3098.08,1018.11,61,295.4
btc-updown-15m-1763796600,1763796600,2025-11,0,450,0.32,41.56,0.34,402.83,1438.51,2000.81,0.66,402.83,0.68,41.56,2000.81,1438.51,69,295.4
btc-updown-15m-1763796600,1763796600,2025-11,0,600,0.76,611,0.77,8.7,2112,363.7,0.23,8.7,0.24,611,363.7,2112,10,295.4
btc-updown-15m-1763796600,1763796600,2025-11,0,690,0.53,49.36,0.55,373.01,374.36,1154.01,0.45,373.01,0.47,49.36,1154.01,374.36,30,295.4
btc-updown-15m-1763805600,1763805600,2025-11,0,300,0.66,235.1,0.68,551.76,952.5,1843.75,0.32,551.76,0.34,235.1,1843.75,952.5,1,298.6
btc-updown-15m-1763805600,1763805600,2025-11,0,450,0.68,138,0.7,50,1398,1295,0.3,50,0.32,138,1295,1398,263,298.6
btc-updown-15m-1763805600,1763805600,2025-11,0,600,0.74,5,0.75,158.8,1932.28,755.8,0.25,158.8,0.26,5,755.8,1932.28,37,298.6
btc-updown-15m-1763805600,1763805600,2025-11,0,690,0.93,576.97,0.94,60,1696.97,4091,0.06,60,0.07,576.97,4091,1696.97,23,298.6
btc-updown-15m-1763813700,1763813700,2025-11,1,300,0.83,100,0.84,166.27,1238.43,1361.67,0.16,166.27,0.17,100,1361.67,1238.43,2,299.6
btc-updown-15m-1763813700,1763813700,2025-11,1,450,0.7,101,0.72,569,709,2646.1,0.28,569,0.3,101,2646.1,709,40,299.6
btc-updown-15m-1763813700,1763813700,2025-11,1,600,0.81,759.97,0.84,152.6,1956.97,2083.6,0.16,152.6,0.19,759.97,2083.6,1956.97,6,299.6
btc-updown-15m-1763813700,1763813700,2025-11,1,690,0.29,100.2,0.31,10,2045.07,1152,0.69,10,0.71,100.2,1152,2045.07,6,299.6
