slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1770875100,1770875100,2026-02,0,300,0.31,35.92,0.32,1842.99,619.75,3742.94,0.68,1842.99,0.69,35.92,3742.94,619.75,45,299.8
btc-updown-15m-1770875100,1770875100,2026-02,0,450,0.25,532.26,0.26,50,2040.07,2361.71,0.74,50,0.75,532.26,2361.71,2040.07,20,299.8
btc-updown-15m-1770875100,1770875100,2026-02,0,600,0.33,327.64,0.34,337.11,1755.34,1204.57,0.66,337.11,0.67,327.64,1204.57,1755.34,4,299.8
btc-updown-15m-1770875100,1770875100,2026-02,0,690,0.73,6,0.74,1878.65,284.6,3439.15,0.26,1878.65,0.27,6,3439.15,284.6,10,299.8
btc-updown-15m-1770885000,1770885000,2026-02,0,300,0.66,67.08,0.67,616,831.74,2784.1,0.33,616,0.34,67.08,2784.1,831.74,64,299.5
btc-updown-15m-1770885000,1770885000,2026-02,0,450,0.82,441.22,0.83,150.81,1715.58,2360.4,0.17,150.81,0.18,441.22,2360.4,1715.58,3,299.5
btc-updown-15m-1770885000,1770885000,2026-02,0,600,0.75,178,0.76,314.53,1067.25,1456.02,0.24,314.53,0.25,178,1456.02,1067.25,2,299.5
btc-updown-15m-1770885000,1770885000,2026-02,0,690,0.95,671.43,0.96,582.27,1319.43,2565.09,0.04,582.27,0.05,671.43,2565.09,1319.43,36,299.5
btc-updown-15m-1770894900,1770894900,2026-02,0,300,0.59,2083.25,0.6,131.33,8812.94,4346.04,0.4,131.33,0.41,2083.25,4346.04,8812.94,32,296
btc-updown-15m-1770894900,1770894900,2026-02,0,450,0.86,159.32,0.87,2701.73,4931.48,9772.96,0.13,2701.73,0.14,159.32,9772.96,4931.48,0,296
btc-updown-15m-1770894900,1770894900,2026-02,0,600,0.97,1058.65,0.98,74,8847.47,29544.21,0.02,74,0.03,1058.65,29544.21,8847.47,9,296
btc-updown-15m-1770894900,1770894900,2026-02,0,690,0.97,626.63,0.98,135.38,13776.98,23919.78,0.02,135.38,0.03,626.63,23919.78,13776.98,7,296
btc-updown-15m-1770903900,1770903900,2026-02,0,300,0.23,72.04,0.24,864.52,5900.67,8653.78,0.76,864.52,0.77,72.04,8653.78,5900.67,1,300
