slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1769770800,1769770800,2026-01,0,300,0.44,3318.75,0.45,305.59,6325.93,3996.66,0.55,305.59,0.56,3318.75,3996.66,6325.93,2,298.7
btc-updown-15m-1769770800,1769770800,2026-01,0,450,0.42,2880.11,0.43,360.5,4473.35,2153.47,0.57,360.5,0.58,2880.11,2153.47,4473.35,2,298.7
btc-updown-15m-1769770800,1769770800,2026-01,0,600,0.11,985.78,0.12,554.22,7213.54,1226.31,0.88,554.22,0.89,985.78,1226.31,7213.54,43,298.7
btc-updown-15m-1769770800,1769770800,2026-01,0,690,0.17,432.86,0.18,90,5910.05,1397.01,0.82,90,0.83,432.86,1397.01,5910.05,32,298.7
btc-updown-15m-1769771700,1769771700,2026-01,1,300,0.25,141.04,0.26,415.12,3753.08,2807.51,0.74,415.12,0.75,141.04,2807.51,3753.08,0,298.1
btc-updown-15m-1769771700,1769771700,2026-01,1,450,0.27,143.18,0.28,898.89,3759.91,3612.61,0.72,898.89,0.73,143.18,3612.61,3759.91,63,298.1
btc-updown-15m-1769771700,1769771700,2026-01,1,600,0.27,555.62,0.28,72.56,1406.15,1984.35,0.72,72.56,0.73,555.62,1984.35,1406.15,51,298.1
btc-updown-15m-1769771700,1769771700,2026-01,1,690,0.11,217.93,0.12,806.05,3540.85,2078.59,0.88,806.05,0.89,217.93,2078.59,3540.85,8,298.1
btc-updown-15m-1769772600,1769772600,2026-01,0,300,0.7,247.59,0.71,747.01,4435.49,3201.07,0.29,747.01,0.3,247.59,3201.07,4435.49,23,297
btc-updown-15m-1769772600,1769772600,2026-01,0,450,0.77,262.59,0.78,3111.2,2728.89,5151.41,0.22,3111.2,0.23,262.59,5151.41,2728.89,7,297
btc-updown-15m-1769772600,1769772600,2026-01,0,600,0.86,387.76,0.87,1263.47,4060.13,6081.64,0.13,1263.47,0.14,387.76,6081.64,4060.13,2,297
btc-updown-15m-1769772600,1769772600,2026-01,0,690,0.97,49.82,0.98,2961.11,4346.02,12175.19,0.02,2961.11,0.03,49.82,12175.19,4346.02,0,297
btc-updown-15m-1769773500,1769773500,2026-01,0,300,0.21,2377.77,0.22,1062.12,6001.02,4019.3,0.78,1062.12,0.79,2377.77,4019.3,6001.02,2,297.8
btc-updown-15m-1769773500,1769773500,2026-01,0,450,0.93,830,0.94,369.14,6155.79,6516.94,0.06,369.14,0.07,830,6516.94,6155.79,0,297.8
btc-updown-15m-1769773500,1769773500,2026-01,0,600,0.99,4435.31,,,12010.86,0,,,0.01,4435.31,0,12010.86,64,297.8
btc-updown-15m-1769773500,1769773500,2026-01,0,690,0.98,3473.74,0.99,0.45,7619.19,0.45,0.01,0.45,0.02,3473.74,0.45,7619.19,107,297.8
btc-updown-15m-1769774400,1769774400,2026-01,1,300,0.7,307,0.71,799.48,5786.14,2895.92,0.29,799.48,0.3,307,2895.92,5786.14,10,297.4
btc-updown-15m-1769774400,1769774400,2026-01,1,450,0.37,907.71,0.39,755,5667.26,2796.08,0.61,755,0.63,907.71,2796.08,5667.26,68,297.4
btc-updown-15m-1769774400,1769774400,2026-01,1,600,0.13,866.72,0.14,1214.89,7118.9,5586.67,0.86,1214.89,0.87,866.72,5586.67,7118.9,5,297.4
btc-updown-15m-1769774400,1769774400,2026-01,1,690,0.15,701.99,0.16,233.94,5240.2,1384.46,0.84,233.94,0.85,701.99,1384.46,5240.2,1,297.4
btc-updown-15m-1769775300,1769775300,2026-01,1,300,0.35,527.67,0.36,763.88,6618.78,3129.97,0.64,763.88,0.65,527.67,3129.97,6618.78,0,298.7
btc-updown-15m-1769775300,1769775300,2026-01,1,450,0.14,1075.16,0.15,75.5,5078.17,4876.29,0.85,75.5,0.86,1075.16,4876.29,5078.17,4,298.7
btc-updown-15m-1769775300,1769775300,2026-01,1,600,0.02,1176.68,0.03,206.82,15112.03,7572.04,0.97,206.82,0.98,1176.68,7572.04,15112.03,21,298.7
btc-updown-15m-1769775300,1769775300,2026-01,1,690,,,0.01,6620.04,0,12749.75,0.99,6620.04,,,12749.75,0,49,298.7
