slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1768269600,1768269600,2026-01,0,300,0.91,1087.21,0.92,546.74,4471.83,2726.17,0.08,546.74,0.09,1087.21,2726.17,4471.83,7,296.8
btc-updown-15m-1768269600,1768269600,2026-01,0,450,0.93,1256.2,0.94,308.76,6790.14,2608.05,0.06,308.76,0.07,1256.2,2608.05,6790.14,30,296.8
btc-updown-15m-1768269600,1768269600,2026-01,0,600,0.94,268.78,0.95,10563.86,4421.19,12873.05,0.05,10563.86,0.06,268.78,12873.05,4421.19,38,296.8
btc-updown-15m-1768269600,1768269600,2026-01,0,690,0.94,1438.4,0.95,6751.61,4933.56,8090.7,0.05,6751.61,0.06,1438.4,8090.7,4933.56,19,296.8
btc-updown-15m-1768271400,1768271400,2026-01,1,300,0.38,273.76,0.39,171.36,2338.61,1687.37,0.61,171.36,0.62,273.76,1687.37,2338.61,8,297.3
btc-updown-15m-1768271400,1768271400,2026-01,1,450,0.14,255.62,0.15,1049.68,2773.45,5234.32,0.85,1049.68,0.86,255.62,5234.32,2773.45,1,297.3
btc-updown-15m-1768271400,1768271400,2026-01,1,600,0.03,424.24,0.04,308.5,19266.58,729.19,0.96,308.5,0.97,424.24,729.19,19266.58,32,297.3
btc-updown-15m-1768271400,1768271400,2026-01,1,690,0.04,131.63,0.05,681.78,19414.34,3546.18,0.95,681.78,0.96,131.63,3546.18,19414.34,0,297.3
btc-updown-15m-1768272300,1768272300,2026-01,0,300,0.77,1813.37,0.78,780,5258.1,9119.55,0.22,780,0.23,1813.37,9119.55,5258.1,4,299.5
btc-updown-15m-1768272300,1768272300,2026-01,0,450,0.75,1822.42,0.76,116.55,5124.1,460.6,0.24,116.55,0.25,1822.42,460.6,5124.1,45,299.5
btc-updown-15m-1768272300,1768272300,2026-01,0,600,0.94,3831.04,0.95,4311.36,8342.15,16655.52,0.05,4311.36,0.06,3831.04,16655.52,8342.15,77,299.5
btc-updown-15m-1768272300,1768272300,2026-01,0,690,0.96,1945.15,0.97,17530.65,4394.12,128209.43,0.03,17530.65,0.04,1945.15,128209.43,4394.12,21,299.5
btc-updown-15m-1768273200,1768273200,2026-01,0,300,0.78,166.35,0.79,145.3,1478.79,2190.54,0.21,145.3,0.22,166.35,2190.54,1478.79,23,299.6
btc-updown-15m-1768273200,1768273200,2026-01,0,450,0.85,1021.59,0.86,587.63,3835.56,1915.06,0.14,587.63,0.15,1021.59,1915.06,3835.56,10,299.6
