slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1762434000,1762434000,2025-11,0,300,0.66,10,0.69,15,20,278,0.31,15,0.34,10,278,20,7,298.2
btc-updown-15m-1762434000,1762434000,2025-11,0,450,0.85,52,0.88,12.06,81,194.58,0.12,12.06,0.15,52,194.58,81,56,298.2
btc-updown-15m-1762434000,1762434000,2025-11,0,600,0.96,320,0.97,2899.01,705.78,4458.03,0.03,2899.01,0.04,320,4458.03,705.78,233,298.2
btc-updown-15m-1762434000,1762434000,2025-11,0,690,0.99,3250.43,,,4228.91,0,,,0.01,3250.43,0,4228.91,96,298.2
btc-updown-15m-1762435800,1762435800,2025-11,1,300,0.21,64.9,0.24,10,194.19,137.54,0.76,10,0.79,64.9,137.54,194.19,3,299.5
btc-updown-15m-1762435800,1762435800,2025-11,1,450,0.07,17,0.1,25,267.3,82,0.9,25,0.93,17,82,267.3,14,299.5
btc-updown-15m-1762435800,1762435800,2025-11,1,600,0.02,201.13,0.03,14,1284.97,416.3,0.97,14,0.98,201.13,416.3,1284.97,34,299.5
btc-updown-15m-1762435800,1762435800,2025-11,1,690,,,0.02,924.8,0,2534.3,0.98,924.8,,,2534.3,0,84,299.5
btc-updown-15m-1762436700,1762436700,2025-11,0,300,0.67,7.46,0.68,5,703.8,81,0.32,5,0.33,7.46,81,703.8,129,295.8
btc-updown-15m-1762436700,1762436700,2025-11,0,450,0.82,43,0.83,5,112,421.82,0.17,5,0.18,43,421.82,112,39,295.8
btc-updown-15m-1762436700,1762436700,2025-11,0,600,0.78,15,0.79,4.84,41,419.59,0.21,4.84,0.22,15,419.59,41,11,295.8
btc-updown-15m-1762436700,1762436700,2025-11,0,690,0.75,30,0.8,166,245,396.33,0.2,166,0.25,30,396.33,245,21,295.8
btc-updown-15m-1762437600,1762437600,2025-11,1,300,0.6,20,0.64,82,220,116.94,0.36,82,0.4,20,116.94,220,3,298.2
btc-updown-15m-1762437600,1762437600,2025-11,1,450,0.08,101,0.09,50.41,2030.54,538.41,0.91,50.41,0.92,101,538.41,2030.54,18,298.2
btc-updown-15m-1762437600,1762437600,2025-11,1,600,0.01,698.19,0.02,1022.07,698.19,1834.04,0.98,1022.07,0.99,698.19,1834.04,698.19,596,298.2
btc-updown-15m-1762437600,1762437600,2025-11,1,690,,,0.01,4560.67,0,6000.82,0.99,4560.67,,,6000.82,0,569,298.2
btc-updown-15m-1762438500,1762438500,2025-11,1,300,0.56,10,0.58,35.95,111.91,265.55,0.42,35.95,0.44,10,265.55,111.91,16,296.7
btc-updown-15m-1762438500,1762438500,2025-11,1,450,0.24,26.1,0.29,5,336.1,314.59,0.71,5,0.76,26.1,314.59,336.1,24,296.7
btc-updown-15m-1762438500,1762438500,2025-11,1,600,0.07,466.09,0.09,40,3201.09,91,0.91,40,0.93,466.09,91,3201.09,9,296.7
btc-updown-15m-1762438500,1762438500,2025-11,1,690,0.07,404.11,0.1,13.09,1659.11,168.09,0.9,13.09,0.93,404.11,168.09,1659.11,0,296.7
btc-updown-15m-1762439400,1762439400,2025-11,1,300,0.24,61.26,0.25,10,231.26,343.16,0.75,10,0.76,61.26,343.16,231.26,0,299.6
btc-updown-15m-1762439400,1762439400,2025-11,1,450,0.19,150,0.22,14,459,189.9,0.78,14,0.81,150,189.9,459,4,299.6
