slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1774904400,1774904400,2026-03,0,300,0.22,287.55,0.23,195,650.79,734.5,0.77,195,0.78,287.55,734.5,650.79,1,299.2
btc-updown-15m-1774904400,1774904400,2026-03,0,450,0.24,99.51,0.25,141.59,890.96,1163.38,0.75,141.59,0.76,99.51,1163.38,890.96,9,299.2
btc-updown-15m-1774904400,1774904400,2026-03,0,600,0.85,59.42,0.86,26,304.92,173.48,0.14,26,0.15,59.42,173.48,304.92,22,299.2
btc-updown-15m-1774904400,1774904400,2026-03,0,690,0.97,352.31,0.98,1044.08,769.81,3237.76,0.02,1044.08,0.03,352.31,3237.76,769.81,24,299.2
btc-updown-15m-1774905300,1774905300,2026-03,0,300,0.71,301.01,0.72,29.29,709.01,272.09,0.28,29.29,0.29,301.01,272.09,709.01,2,299.5
btc-updown-15m-1774905300,1774905300,2026-03,0,450,0.93,542.95,0.94,179.23,1394.81,1569.93,0.06,179.23,0.07,542.95,1569.93,1394.81,37,299.5
btc-updown-15m-1774905300,1774905300,2026-03,0,600,0.99,1274.22,,,3820.86,0,,,0.01,1274.22,0,3820.86,84,299.5
btc-updown-15m-1774905300,1774905300,2026-03,0,690,0.979,30,0.98,211.76,77.58,1904.02,0.02,211.76,0.021,30,1904.02,77.58,9,299.5
btc-updown-15m-1774906200,1774906200,2026-03,0,300,0.54,37.78,0.55,14.33,242.44,254.62,0.45,14.33,0.46,37.78,254.62,242.44,24,297.5
btc-updown-15m-1774906200,1774906200,2026-03,0,450,0.49,255.05,0.5,55,632.05,751.09,0.5,55,0.51,255.05,751.09,632.05,9,297.5
btc-updown-15m-1774906200,1774906200,2026-03,0,600,0.81,299.66,0.82,115,936.6,516,0.18,115,0.19,299.66,516,936.6,13,297.5
btc-updown-15m-1774906200,1774906200,2026-03,0,690,0.49,42,0.5,150.98,647.83,727.35,0.5,150.98,0.51,42,727.35,647.83,39,297.5
btc-updown-15m-1774907100,1774907100,2026-03,1,300,0.31,317.55,0.32,8.43,855.55,304.24,0.68,8.43,0.69,317.55,304.24,855.55,12,294
btc-updown-15m-1774907100,1774907100,2026-03,1,450,0.3,397.93,0.31,202,1016.23,835,0.69,202,0.7,397.93,835,1016.23,10,294
btc-updown-15m-1774907100,1774907100,2026-03,1,600,0.07,226.15,0.08,606.25,927.67,1201.34,0.92,606.25,0.93,226.15,1201.34,927.67,277,294
btc-updown-15m-1774907100,1774907100,2026-03,1,690,0.02,552.87,0.03,1072.71,2887.47,2531.31,0.97,1072.71,0.98,552.87,2531.31,2887.47,94,294
btc-updown-15m-1774908000,1774908000,2026-03,1,300,0.92,261.33,0.93,283.23,1174.57,1265.14,0.07,283.23,0.08,261.33,1265.14,1174.57,6,296.9
btc-updown-15m-1774908000,1774908000,2026-03,1,450,0.7,398.99,0.71,11,1951.11,691.32,0.29,11,0.3,398.99,691.32,1951.11,70,296.9
btc-updown-15m-1774908000,1774908000,2026-03,1,600,0.17,60,0.18,30,553.64,442.16,0.82,30,0.83,60,442.16,553.64,1,296.9
btc-updown-15m-1774908000,1774908000,2026-03,1,690,0.08,402,0.09,285.41,1160.1,811.36,0.91,285.41,0.92,402,811.36,1160.1,26,296.9
btc-updown-15m-1774908900,1774908900,2026-03,0,300,0.58,95.5,0.59,160.5,388.5,671,0.41,160.5,0.42,95.5,671,388.5,7,298.6
btc-updown-15m-1774908900,1774908900,2026-03,0,450,0.81,68.13,0.82,52.3,1601.07,674.48,0.18,52.3,0.19,68.13,674.48,1601.07,17,298.6
btc-updown-15m-1774908900,1774908900,2026-03,0,600,0.92,417.88,0.93,132.98,915.46,989.78,0.07,132.98,0.08,417.88,989.78,915.46,7,298.6
btc-updown-15m-1774908900,1774908900,2026-03,0,690,0.96,57.5,0.97,1066,1961.54,3405.35,0.03,1066,0.04,57.5,3405.35,1961.54,63,298.6
btc-updown-15m-1774909800,1774909800,2026-03,0,300,0.38,74.5,0.39,178.32,291.53,532.82,0.61,178.32,0.62,74.5,532.82,291.53,91,298.6
btc-updown-15m-1774909800,1774909800,2026-03,0,450,0.35,259.76,0.36,224.54,1433.06,1805.29,0.64,224.54,0.65,259.76,1805.29,1433.06,3,298.6
btc-updown-15m-1774909800,1774909800,2026-03,0,600,0.27,19.79,0.28,301.47,101.79,569.18,0.72,301.47,0.73,19.79,569.18,101.79,13,298.6
btc-updown-15m-1774909800,1774909800,2026-03,0,690,0.72,50,0.73,1080.27,555.57,1559.27,0.27,1080.27,0.28,50,1559.27,555.57,1,298.6
btc-updown-15m-1774910700,1774910700,2026-03,1,300,0.13,117,0.14,369.11,724.61,1387.87,0.86,369.11,0.87,117,1387.87,724.61,7,298.5
btc-updown-15m-1774910700,1774910700,2026-03,1,450,0.11,58,0.12,135.66,539.66,894.03,0.88,135.66,0.89,58,894.03,539.66,3,298.5
btc-updown-15m-1774910700,1774910700,2026-03,1,600,0.04,108.53,0.05,5,867.01,145.5,0.95,5,0.96,108.53,145.5,867.01,9,298.5
btc-updown-15m-1774910700,1774910700,2026-03,1,690,0.04,61,0.05,29,819.24,537.8,0.95,29,0.96,61,537.8,819.24,43,298.5
btc-updown-15m-1774911600,1774911600,2026-03,1,300,0.02,1282.15,0.03,1474.89,4928.19,2230.17,0.97,1474.89,0.98,1282.15,2230.17,4928.19,32,286.1
btc-updown-15m-1774911600,1774911600,2026-03,1,450,0.01,1048.88,0.02,506.48,1048.88,2179.96,0.98,506.48,0.99,1048.88,2179.96,1048.88,92,286.1
btc-updown-15m-1774911600,1774911600,2026-03,1,600,0.002,807.97,0.01,2378.13,9067.97,2423.13,0.99,2378.13,0.998,807.97,2423.13,9067.97,94,286.1
btc-updown-15m-1774911600,1774911600,2026-03,1,690,0.003,6,0.008,513.25,10451.21,4017.75,0.992,513.25,0.997,6,4017.75,10451.21,45,286.1
btc-updown-15m-1774912500,1774912500,2026-03,0,300,0.71,21.36,0.72,126.58,296.86,495.58,0.28,126.58,0.29,21.36,495.58,296.86,3,295.1
btc-updown-15m-1774912500,1774912500,2026-03,0,450,0.83,63.5,0.84,40,509.5,1288.38,0.16,40,0.17,63.5,1288.38,509.5,31,295.1
btc-updown-15m-1774912500,1774912500,2026-03,0,600,0.96,111.67,0.97,63,697.69,3764.14,0.03,63,0.04,111.67,3764.14,697.69,1,295.1
btc-updown-15m-1774912500,1774912500,2026-03,0,690,0.99,6544.1,,,10290.83,0,,,0.01,6544.1,0,10290.83,18,295.1
btc-updown-15m-1774913400,1774913400,2026-03,0,300,0.71,25.55,0.72,117.45,301.55,371.84,0.28,117.45,0.29,25.55,371.84,301.55,19,295.5
btc-updown-15m-1774913400,1774913400,2026-03,0,450,0.69,200.71,0.7,12.14,1630.71,1518.46,0.3,12.14,0.31,200.71,1518.46,1630.71,63,295.5
btc-updown-15m-1774913400,1774913400,2026-03,0,600,0.43,75.72,0.44,161.41,430.72,351.41,0.56,161.41,0.57,75.72,351.41,430.72,16,295.5
btc-updown-15m-1774913400,1774913400,2026-03,0,690,0.21,1073.69,0.22,45,1482.69,192.65,0.78,45,0.79,1073.69,192.65,1482.69,2,295.5
btc-updown-15m-1774915200,1774915200,2026-03,1,300,0.51,92.08,0.52,52.13,193.08,95.13,0.48,52.13,0.49,92.08,95.13,193.08,25,299.8
btc-updown-15m-1774915200,1774915200,2026-03,1,450,0.18,46,0.19,63,1097.3,485.5,0.81,63,0.82,46,485.5,1097.3,12,299.8
btc-updown-15m-1774915200,1774915200,2026-03,1,600,0.05,126.7,0.06,179.05,1775.51,463.88,0.94,179.05,0.95,126.7,463.88,1775.51,32,299.8
btc-updown-15m-1774915200,1774915200,2026-03,1,690,0.01,6669.78,0.02,814,6669.78,2369.55,0.98,814,0.99,6669.78,2369.55,6669.78,80,299.8
btc-updown-15m-1774916100,1774916100,2026-03,0,300,0.28,377.2,0.29,140.62,831.67,191.43,0.71,140.62,0.72,377.2,191.43,831.67,5,299.3
btc-updown-15m-1774916100,1774916100,2026-03,0,450,0.46,44,0.47,76.01,555,528.9,0.53,76.01,0.54,44,528.9,555,2,299.3
btc-updown-15m-1774916100,1774916100,2026-03,0,600,0.69,76,0.7,194.79,430.5,455.38,0.3,194.79,0.31,76,455.38,430.5,5,299.3
btc-updown-15m-1774916100,1774916100,2026-03,0,690,0.91,1256.16,0.92,0.55,1805.16,1509.69,0.08,0.55,0.09,1256.16,1509.69,1805.16,6,299.3
btc-updown-15m-1774917000,1774917000,2026-03,0,300,0.39,199.92,0.4,40.97,429.92,445.12,0.6,40.97,0.61,199.92,445.12,429.92,24,297.9
btc-updown-15m-1774917000,1774917000,2026-03,0,450,0.63,1404.81,0.64,20,1920.31,335.8,0.36,20,0.37,1404.81,335.8,1920.31,3,297.9
btc-updown-15m-1774917000,1774917000,2026-03,0,600,0.94,50.11,0.95,603.84,383.37,3685.92,0.05,603.84,0.06,50.11,3685.92,383.37,0,297.9
btc-updown-15m-1774917000,1774917000,2026-03,0,690,0.7,1139.5,0.71,164.43,1385.99,431.93,0.29,164.43,0.3,1139.5,431.93,1385.99,8,297.9
btc-updown-15m-1774917900,1774917900,2026-03,0,300,0.94,274.46,0.95,145.14,1361.45,2277.92,0.05,145.14,0.06,274.46,2277.92,1361.45,17,297.7
btc-updown-15m-1774917900,1774917900,2026-03,0,450,0.76,20.07,0.77,1310.8,124.07,2035.4,0.23,1310.8,0.24,20.07,2035.4,124.07,89,297.7
btc-updown-15m-1774917900,1774917900,2026-03,0,600,0.98,1105.1,0.99,5188.01,1777.06,5188.01,0.01,5188.01,0.02,1105.1,5188.01,1777.06,6,297.7
btc-updown-15m-1774917900,1774917900,2026-03,0,690,0.98,117.12,0.985,466.49,143.81,10439.42,0.015,466.49,0.02,117.12,10439.42,143.81,111,297.7
btc-updown-15m-1774918800,1774918800,2026-03,0,300,0.22,140.29,0.23,42.32,359.99,176.62,0.77,42.32,0.78,140.29,176.62,359.99,83,297.6
btc-updown-15m-1774918800,1774918800,2026-03,0,450,0.07,8.21,0.08,531.81,1794.96,2595.19,0.92,531.81,0.93,8.21,2595.19,1794.96,58,297.6
btc-updown-15m-1774918800,1774918800,2026-03,0,600,0.05,1463.72,0.06,162.33,3396.97,367.58,0.94,162.33,0.95,1463.72,367.58,3396.97,12,297.6
btc-updown-15m-1774918800,1774918800,2026-03,0,690,0.66,25,0.67,213.63,51.52,359.63,0.33,213.63,0.34,25,359.63,51.52,14,297.6
btc-updown-15m-1774919700,1774919700,2026-03,0,300,0.79,116,0.8,1276.83,465,1398.22,0.2,1276.83,0.21,116,1398.22,465,2,294.3
btc-updown-15m-1774919700,1774919700,2026-03,0,450,0.94,87.98,0.95,328.97,1034.17,5719.94,0.05,328.97,0.06,87.98,5719.94,1034.17,12,294.3
