slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1769571900,1769571900,2026-01,0,300,0.75,381.99,0.76,402.66,2102.18,1159.65,0.24,402.66,0.25,381.99,1159.65,2102.18,56,295.8
btc-updown-15m-1769571900,1769571900,2026-01,0,450,0.85,15,0.86,643.57,538.01,1839.66,0.14,643.57,0.15,15,1839.66,538.01,0,295.8
btc-updown-15m-1769571900,1769571900,2026-01,0,600,0.92,408.18,0.93,495.78,2318.76,2305.51,0.07,495.78,0.08,408.18,2305.51,2318.76,22,295.8
btc-updown-15m-1769571900,1769571900,2026-01,0,690,0.97,1457.48,0.99,15898.5,4667.55,15898.5,0.01,15898.5,0.03,1457.48,15898.5,4667.55,21,295.8
btc-updown-15m-1769572800,1769572800,2026-01,1,300,0.37,44.46,0.38,313.79,787.94,1719.23,0.62,313.79,0.63,44.46,1719.23,787.94,2,295.6
btc-updown-15m-1769572800,1769572800,2026-01,1,450,0.23,2,0.24,42,896.3,368.12,0.76,42,0.77,2,368.12,896.3,5,295.6
btc-updown-15m-1769572800,1769572800,2026-01,1,600,0.03,531.08,0.04,12.5,20579.05,7019.47,0.96,12.5,0.97,531.08,7019.47,20579.05,6,295.6
btc-updown-15m-1769572800,1769572800,2026-01,1,690,0.03,1648.78,0.04,134.62,2584.86,885.28,0.96,134.62,0.97,1648.78,885.28,2584.86,1,295.6
btc-updown-15m-1769574600,1769574600,2026-01,0,300,0.71,226.71,0.72,89.97,1733.7,861.08,0.28,89.97,0.29,226.71,861.08,1733.7,4,298.6
btc-updown-15m-1769574600,1769574600,2026-01,0,450,0.76,332.24,0.77,107.54,1256.14,973.85,0.23,107.54,0.24,332.24,973.85,1256.14,2,298.6
btc-updown-15m-1769574600,1769574600,2026-01,0,600,0.9,322.52,0.91,76.15,1000.97,1418.25,0.09,76.15,0.1,322.52,1418.25,1000.97,70,298.6
btc-updown-15m-1769574600,1769574600,2026-01,0,690,0.96,2544.84,0.97,53090.93,3514.08,74575.25,0.03,53090.93,0.04,2544.84,74575.25,3514.08,2,298.6
