slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1777786200,1777786200,2026-05,1,300,0.64,10.63,0.65,1445.63,197.63,1533.4,0.35,1445.63,0.36,10.63,1533.4,197.63,106,276.7
btc-updown-15m-1777786200,1777786200,2026-05,1,450,0.57,41.5,0.58,190.74,599.67,786.54,0.42,190.74,0.43,41.5,786.54,599.67,27,276.7
btc-updown-15m-1777786200,1777786200,2026-05,1,600,0.31,27.32,0.32,56.66,257.32,192.66,0.68,56.66,0.69,27.32,192.66,257.32,13,276.7
btc-updown-15m-1777786200,1777786200,2026-05,1,690,0.32,530.66,0.33,65.03,1072.93,371.79,0.67,65.03,0.68,530.66,371.79,1072.93,0,276.7
btc-updown-15m-1777788000,1777788000,2026-05,1,300,0.07,418.04,0.08,630.04,1261,1345.73,0.92,630.04,0.93,418.04,1345.73,1261,60,298.4
btc-updown-15m-1777788000,1777788000,2026-05,1,450,0.02,942.35,0.03,738.08,4472.43,1837.6,0.97,738.08,0.98,942.35,1837.6,4472.43,164,298.4
btc-updown-15m-1777788000,1777788000,2026-05,1,600,0.006,98.99,0.007,200,298.99,461.49,0.993,200,0.994,98.99,461.49,298.99,310,298.4
btc-updown-15m-1777788000,1777788000,2026-05,1,690,0.008,452,0.009,1806,652,6770.68,0.991,1806,0.992,452,6770.68,652,12,298.4
btc-updown-15m-1777788900,1777788900,2026-05,1,300,0.47,1.12,0.48,43.41,153.8,178.91,0.52,43.41,0.53,1.12,178.91,153.8,13,293.6
btc-updown-15m-1777788900,1777788900,2026-05,1,450,0.15,364.35,0.16,12.29,1298.47,473.45,0.84,12.29,0.85,364.35,473.45,1298.47,44,293.6
btc-updown-15m-1777788900,1777788900,2026-05,1,600,0.06,355.53,0.07,10,771.83,185.82,0.93,10,0.94,355.53,185.82,771.83,105,293.6
btc-updown-15m-1777788900,1777788900,2026-05,1,690,0.004,100,0.005,194.98,300,244.98,0.995,194.98,0.996,100,244.98,300,296,293.6
btc-updown-15m-1777789800,1777789800,2026-05,0,300,0.89,33.35,0.9,109.72,730.84,285.42,0.1,109.72,0.11,33.35,285.42,730.84,102,295.1
btc-updown-15m-1777789800,1777789800,2026-05,0,450,0.94,359.57,0.95,635.2,963.36,2338.79,0.05,635.2,0.06,359.57,2338.79,963.36,205,295.1
btc-updown-15m-1777789800,1777789800,2026-05,0,600,0.95,248,0.96,25.65,736.07,913.8,0.04,25.65,0.05,248,913.8,736.07,101,295.1
btc-updown-15m-1777789800,1777789800,2026-05,0,690,0.91,391.06,0.916,10,591.06,112,0.084,10,0.09,391.06,112,591.06,7,295.1
btc-updown-15m-1777790700,1777790700,2026-05,0,300,0.8,176.37,0.81,182.24,418.71,681.91,0.19,182.24,0.2,176.37,681.91,418.71,102,298.7
btc-updown-15m-1777790700,1777790700,2026-05,0,450,0.99,3291.49,,,7243.41,0,,,0.01,3291.49,0,7243.41,469,298.7
btc-updown-15m-1777790700,1777790700,2026-05,0,600,0.998,200,0.999,1057.02,1134,1057.02,0.001,1057.02,0.002,200,1057.02,1134,108,298.7
btc-updown-15m-1777790700,1777790700,2026-05,0,690,0.999,1334.66,,,3038.63,0,,,0.001,1334.66,0,3038.63,290,298.7
btc-updown-15m-1777792500,1777792500,2026-05,0,300,0.42,157.98,0.43,45,305.05,217.5,0.57,45,0.58,157.98,217.5,305.05,279,295.8
btc-updown-15m-1777792500,1777792500,2026-05,0,450,0.69,401.98,0.7,51.57,1313.88,651.53,0.3,51.57,0.31,401.98,651.53,1313.88,9,295.8
btc-updown-15m-1777792500,1777792500,2026-05,0,600,0.94,38.42,0.95,302.96,413.93,1228.46,0.05,302.96,0.06,38.42,1228.46,413.93,19,295.8
btc-updown-15m-1777792500,1777792500,2026-05,0,690,0.97,593.76,0.98,453.46,1839.08,1961.97,0.02,453.46,0.03,593.76,1961.97,1839.08,17,295.8
btc-updown-15m-1777793400,1777793400,2026-05,1,300,0.35,86,0.36,15,234,90.75,0.64,15,0.65,86,90.75,234,79,299.6
btc-updown-15m-1777793400,1777793400,2026-05,1,450,0.37,40.48,0.38,337.5,306.48,1023.16,0.62,337.5,0.63,40.48,1023.16,306.48,105,299.6
btc-updown-15m-1777793400,1777793400,2026-05,1,600,0.67,20,0.68,116,271.35,330.65,0.32,116,0.33,20,330.65,271.35,10,299.6
btc-updown-15m-1777793400,1777793400,2026-05,1,690,0.67,27,0.68,63,148.5,335.28,0.32,63,0.33,27,335.28,148.5,66,299.6
btc-updown-15m-1777794300,1777794300,2026-05,1,300,0.57,54,0.58,16.9,241,246,0.42,16.9,0.43,54,246,241,6,291.4
btc-updown-15m-1777794300,1777794300,2026-05,1,450,0.55,191.3,0.56,416.39,586.54,604.72,0.44,416.39,0.45,191.3,604.72,586.54,310,291.4
btc-updown-15m-1777794300,1777794300,2026-05,1,600,0.45,388.8,0.46,227.06,646.53,451.06,0.54,227.06,0.55,388.8,451.06,646.53,1,291.4
btc-updown-15m-1777794300,1777794300,2026-05,1,690,0.23,48.6,0.24,220.05,114.6,398.05,0.76,220.05,0.77,48.6,398.05,114.6,17,291.4
btc-updown-15m-1777795200,1777795200,2026-05,0,300,0.9,39,0.91,35,490.55,748.14,0.09,35,0.1,39,748.14,490.55,12,296.2
btc-updown-15m-1777795200,1777795200,2026-05,0,450,0.96,1022.02,0.97,537.1,1565.02,4863,0.03,537.1,0.04,1022.02,4863,1565.02,31,296.2
btc-updown-15m-1777795200,1777795200,2026-05,0,600,0.98,1476.71,0.981,10,1676.71,210,0.019,10,0.02,1476.71,210,1676.71,46,296.2
btc-updown-15m-1777795200,1777795200,2026-05,0,690,0.981,165.71,0.982,446.81,1309.54,568.81,0.018,446.81,0.019,165.71,568.81,1309.54,37,296.2
btc-updown-15m-1777797000,1777797000,2026-05,0,300,0.19,70.11,0.2,400.12,312.2,906.04,0.8,400.12,0.81,70.11,906.04,312.2,50,294.8
btc-updown-15m-1777797000,1777797000,2026-05,0,450,0.46,15,0.47,226.08,237.1,885.73,0.53,226.08,0.54,15,885.73,237.1,139,294.8
btc-updown-15m-1777797000,1777797000,2026-05,0,600,0.58,57.8,0.59,10,221.4,157.82,0.41,10,0.42,57.8,157.82,221.4,85,294.8
btc-updown-15m-1777797000,1777797000,2026-05,0,690,0.43,46,0.45,81.53,92,137.73,0.55,81.53,0.57,46,137.73,92,8,294.8
btc-updown-15m-1777797900,1777797900,2026-05,1,300,0.43,72.95,0.44,15,301.85,322.68,0.56,15,0.57,72.95,322.68,301.85,19,293.4
btc-updown-15m-1777797900,1777797900,2026-05,1,450,0.37,12.16,0.38,713.87,95.16,1070.77,0.62,713.87,0.63,12.16,1070.77,95.16,104,293.4
btc-updown-15m-1777797900,1777797900,2026-05,1,600,0.17,44.87,0.18,117.33,381.87,780.33,0.82,117.33,0.83,44.87,780.33,381.87,35,293.4
btc-updown-15m-1777797900,1777797900,2026-05,1,690,0.04,193,0.05,158,1692.12,1326.46,0.95,158,0.96,193,1326.46,1692.12,23,293.4
btc-updown-15m-1777798800,1777798800,2026-05,0,300,0.56,30,0.57,20,169,120,0.43,20,0.44,30,120,169,63,296.8
btc-updown-15m-1777798800,1777798800,2026-05,0,450,0.77,63.45,0.78,385.73,290.24,1170.98,0.22,385.73,0.23,63.45,1170.98,290.24,223,296.8
btc-updown-15m-1777798800,1777798800,2026-05,0,600,0.95,485.67,0.96,1156.97,1439.49,2658.15,0.04,1156.97,0.05,485.67,2658.15,1439.49,277,296.8
btc-updown-15m-1777798800,1777798800,2026-05,0,690,0.93,96,0.94,519.19,1405.21,798.49,0.06,519.19,0.07,96,798.49,1405.21,54,296.8
btc-updown-15m-1777799700,1777799700,2026-05,0,300,0.66,205.22,0.67,255.87,448.61,734.99,0.33,255.87,0.34,205.22,734.99,448.61,5,298.6
btc-updown-15m-1777799700,1777799700,2026-05,0,450,0.64,227.6,0.65,98,433.27,750,0.35,98,0.36,227.6,750,433.27,24,298.6
btc-updown-15m-1777799700,1777799700,2026-05,0,600,0.97,234.4,0.99,1625.35,1391.32,1625.35,0.01,1625.35,0.03,234.4,1625.35,1391.32,274,298.6
btc-updown-15m-1777799700,1777799700,2026-05,0,690,0.98,1060.08,0.99,1324.28,1800.49,1324.28,0.01,1324.28,0.02,1060.08,1324.28,1800.49,6,298.6
btc-updown-15m-1777801500,1777801500,2026-05,0,300,0.48,108.4,0.49,290.45,722.12,557.99,0.51,290.45,0.52,108.4,557.99,722.12,881,291.8
btc-updown-15m-1777801500,1777801500,2026-05,0,450,0.67,212.64,0.68,108.86,527.45,249.52,0.32,108.86,0.33,212.64,249.52,527.45,159,291.8
btc-updown-15m-1777801500,1777801500,2026-05,0,600,0.64,90.25,0.65,25,218.25,75.04,0.35,25,0.36,90.25,75.04,218.25,98,291.8
btc-updown-15m-1777801500,1777801500,2026-05,0,690,0.74,124.8,0.75,28.33,398.8,298.12,0.25,28.33,0.26,124.8,298.12,398.8,66,291.8
btc-updown-15m-1777802400,1777802400,2026-05,1,300,0.1,161.58,0.11,396.42,805.58,678.05,0.89,396.42,0.9,161.58,678.05,805.58,11,286.8
btc-updown-15m-1777802400,1777802400,2026-05,1,450,0.07,6,0.08,1009.03,251,1526.35,0.92,1009.03,0.93,6,1526.35,251,370,286.8
btc-updown-15m-1777802400,1777802400,2026-05,1,600,0.041,100,0.042,206,278,218,0.958,206,0.959,100,218,278,131,286.8
btc-updown-15m-1777802400,1777802400,2026-05,1,690,0.014,35.45,0.016,5,235.45,324.82,0.984,5,0.986,35.45,324.82,235.45,896,286.8
btc-updown-15m-1777803300,1777803300,2026-05,1,300,0.3,50.08,0.31,5,364.78,478.15,0.69,5,0.7,50.08,478.15,364.78,160,294.3
btc-updown-15m-1777803300,1777803300,2026-05,1,450,0.26,43.62,0.27,185.29,665.62,1029.21,0.73,185.29,0.74,43.62,1029.21,665.62,5,294.3
btc-updown-15m-1777803300,1777803300,2026-05,1,600,0.07,25.31,0.08,158.25,625.71,774.25,0.92,158.25,0.93,25.31,774.25,625.71,45,294.3
btc-updown-15m-1777803300,1777803300,2026-05,1,690,0.04,960.97,0.05,861.58,2395.79,1634.2,0.95,861.58,0.96,960.97,1634.2,2395.79,10,294.3
btc-updown-15m-1777804200,1777804200,2026-05,0,300,0.85,159.62,0.86,59.81,613.36,366.97,0.14,59.81,0.15,159.62,366.97,613.36,22,290.8
btc-updown-15m-1777804200,1777804200,2026-05,0,450,0.78,371.87,0.79,53.96,642.57,497.91,0.21,53.96,0.22,371.87,497.91,642.57,10,290.8
btc-updown-15m-1777804200,1777804200,2026-05,0,600,0.82,86.68,0.83,13.36,332.05,208.46,0.17,13.36,0.18,86.68,208.46,332.05,3,290.8
btc-updown-15m-1777804200,1777804200,2026-05,0,690,0.9,454.14,0.91,50.98,717.98,793.71,0.09,50.98,0.1,454.14,793.71,717.98,1,290.8
btc-updown-15m-1777806000,1777806000,2026-05,0,300,0.48,143.07,0.49,96.4,393.27,283.59,0.51,96.4,0.52,143.07,283.59,393.27,2,291.3
btc-updown-15m-1777806000,1777806000,2026-05,0,450,0.59,160.5,0.6,450.33,615.58,660.48,0.4,450.33,0.41,160.5,660.48,615.58,175,291.3
btc-updown-15m-1777806000,1777806000,2026-05,0,600,0.91,82.99,0.92,340.06,316.29,924.18,0.08,340.06,0.09,82.99,924.18,316.29,52,291.3
