slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1769076900,1769076900,2026-01,1,300,0.36,94.57,0.37,377.57,1434.75,3265.97,0.63,377.57,0.64,94.57,3265.97,1434.75,1,295.2
btc-updown-15m-1769076900,1769076900,2026-01,1,450,0.66,148.94,0.67,254.32,833.07,2903.96,0.33,254.32,0.34,148.94,2903.96,833.07,34,295.2
btc-updown-15m-1769076900,1769076900,2026-01,1,600,0.56,243.24,0.57,1166.86,2795.6,3202.64,0.43,1166.86,0.44,243.24,3202.64,2795.6,55,295.2
btc-updown-15m-1769076900,1769076900,2026-01,1,690,0.74,246.21,0.75,171.14,982.68,2299.14,0.25,171.14,0.26,246.21,2299.14,982.68,32,295.2
btc-updown-15m-1769077800,1769077800,2026-01,0,300,0.65,220.97,0.67,856.81,805.79,2727.31,0.33,856.81,0.35,220.97,2727.31,805.79,10,299.2
btc-updown-15m-1769077800,1769077800,2026-01,0,450,0.45,70,0.46,870.7,2132.8,1851.8,0.54,870.7,0.55,70,1851.8,2132.8,8,299.2
btc-updown-15m-1769077800,1769077800,2026-01,0,600,0.4,199.53,0.41,807.5,2748.99,2837.26,0.59,807.5,0.6,199.53,2837.26,2748.99,89,299.2
btc-updown-15m-1769077800,1769077800,2026-01,0,690,0.58,395,0.59,50,783.86,1741,0.41,50,0.42,395,1741,783.86,6,299.2
btc-updown-15m-1769079600,1769079600,2026-01,1,300,0.3,38.5,0.31,2217.69,1677.93,3978.31,0.69,2217.69,0.7,38.5,3978.31,1677.93,2029,297.1
btc-updown-15m-1769079600,1769079600,2026-01,1,450,0.29,229.2,0.3,49.4,2499.33,557.34,0.7,49.4,0.71,229.2,557.34,2499.33,53,297.1
btc-updown-15m-1769079600,1769079600,2026-01,1,600,0.57,2315.81,0.59,38.22,3980.61,2250.96,0.41,38.22,0.43,2315.81,2250.96,3980.61,0,297.1
btc-updown-15m-1769079600,1769079600,2026-01,1,690,0.87,75.1,0.88,0.5,2711.62,578.29,0.12,0.5,0.13,75.1,578.29,2711.62,7,297.1
btc-updown-15m-1769080500,1769080500,2026-01,1,300,0.62,402.08,0.63,47,2778.06,3347.3,0.37,47,0.38,402.08,3347.3,2778.06,10,298.5
btc-updown-15m-1769080500,1769080500,2026-01,1,450,0.35,873.83,0.36,37.22,4908.53,1977.72,0.64,37.22,0.65,873.83,1977.72,4908.53,55,298.5
btc-updown-15m-1769080500,1769080500,2026-01,1,600,0.39,368.02,0.4,30,1981.74,1635.86,0.6,30,0.61,368.02,1635.86,1981.74,6,298.5
btc-updown-15m-1769080500,1769080500,2026-01,1,690,0.17,250.8,0.18,10,4491.55,2504.51,0.82,10,0.83,250.8,2504.51,4491.55,8,298.5
btc-updown-15m-1769081400,1769081400,2026-01,0,300,0.75,116.74,0.76,887,2549.66,2970.73,0.24,887,0.25,116.74,2970.73,2549.66,0,296.5
btc-updown-15m-1769081400,1769081400,2026-01,0,450,0.56,238.6,0.57,568.17,1808.51,2477.98,0.43,568.17,0.44,238.6,2477.98,1808.51,1,296.5
btc-updown-15m-1769081400,1769081400,2026-01,0,600,0.51,219.05,0.52,789.64,2368.39,2582.56,0.48,789.64,0.49,219.05,2582.56,2368.39,8,296.5
btc-updown-15m-1769081400,1769081400,2026-01,0,690,0.42,37.01,0.43,2196.02,505.38,2642.62,0.57,2196.02,0.58,37.01,2642.62,505.38,7,296.5
btc-updown-15m-1769082300,1769082300,2026-01,1,300,0.76,3470.35,0.77,556.21,6117.13,1907.63,0.23,556.21,0.24,3470.35,1907.63,6117.13,43,294.6
btc-updown-15m-1769082300,1769082300,2026-01,1,450,0.5,63.52,0.52,2168.62,1349.11,4257.85,0.48,2168.62,0.5,63.52,4257.85,1349.11,3,294.6
btc-updown-15m-1769082300,1769082300,2026-01,1,600,0.19,50.74,0.2,2164.68,2126.34,3413.68,0.8,2164.68,0.81,50.74,3413.68,2126.34,8,294.6
btc-updown-15m-1769082300,1769082300,2026-01,1,690,0.15,25,0.16,446.57,2057.23,972.57,0.84,446.57,0.85,25,972.57,2057.23,10,294.6
btc-updown-15m-1769083200,1769083200,2026-01,0,300,0.68,124.3,0.69,900.31,1803.54,4960.78,0.31,900.31,0.32,124.3,4960.78,1803.54,7,297.7
btc-updown-15m-1769083200,1769083200,2026-01,0,450,0.84,520.15,0.85,54,4572.84,2676.62,0.15,54,0.16,520.15,2676.62,4572.84,18,297.7
btc-updown-15m-1769083200,1769083200,2026-01,0,600,0.91,73,0.92,281.98,1922.58,4573.75,0.08,281.98,0.09,73,4573.75,1922.58,42,297.7
btc-updown-15m-1769083200,1769083200,2026-01,0,690,0.89,125.9,0.9,140.31,2683.57,2947.31,0.1,140.31,0.11,125.9,2947.31,2683.57,1,297.7
btc-updown-15m-1769084100,1769084100,2026-01,0,300,0.48,95.5,0.49,202.73,3512.21,4427.73,0.51,202.73,0.52,95.5,4427.73,3512.21,0,300
btc-updown-15m-1769084100,1769084100,2026-01,0,450,0.6,805.5,0.61,233.46,2997.2,4689.97,0.39,233.46,0.4,805.5,4689.97,2997.2,99,300
btc-updown-15m-1769084100,1769084100,2026-01,0,600,0.52,75,0.53,10,1394.97,1609.47,0.47,10,0.48,75,1609.47,1394.97,5,300
btc-updown-15m-1769084100,1769084100,2026-01,0,690,0.5,4.23,0.51,408.82,120.26,2618.96,0.49,408.82,0.5,4.23,2618.96,120.26,2,300
btc-updown-15m-1769085000,1769085000,2026-01,0,300,0.69,470.16,0.7,53.36,2905.64,1496.66,0.3,53.36,0.31,470.16,1496.66,2905.64,10,298.1
btc-updown-15m-1769085000,1769085000,2026-01,0,450,0.71,218.5,0.72,72.31,545.02,1316.11,0.28,72.31,0.29,218.5,1316.11,545.02,9,298.1
btc-updown-15m-1769085000,1769085000,2026-01,0,600,0.57,896.1,0.58,49.83,3167.99,1882.36,0.42,49.83,0.43,896.1,1882.36,3167.99,1,298.1
btc-updown-15m-1769085000,1769085000,2026-01,0,690,0.31,263,0.32,85,2038,408.3,0.68,85,0.69,263,408.3,2038,7,298.1
btc-updown-15m-1769085900,1769085900,2026-01,1,300,0.53,303.49,0.54,865.45,1753.28,3132.45,0.46,865.45,0.47,303.49,3132.45,1753.28,80,295.5
btc-updown-15m-1769085900,1769085900,2026-01,1,450,0.3,186.15,0.31,972.65,507.65,3276.24,0.69,972.65,0.7,186.15,3276.24,507.65,5,295.5
btc-updown-15m-1769085900,1769085900,2026-01,1,600,0.26,116.5,0.27,5.5,603.6,2018.03,0.73,5.5,0.74,116.5,2018.03,603.6,13,295.5
btc-updown-15m-1769085900,1769085900,2026-01,1,690,0.28,80.07,0.29,44.62,1759.07,525,0.71,44.62,0.72,80.07,525,1759.07,6,295.5
btc-updown-15m-1769086800,1769086800,2026-01,0,300,0.59,1405.98,0.6,1353.57,3769.75,1718.03,0.4,1353.57,0.41,1405.98,1718.03,3769.75,4,297.5
btc-updown-15m-1769086800,1769086800,2026-01,0,450,0.65,661.57,0.66,160.31,2577.39,716.39,0.34,160.31,0.35,661.57,716.39,2577.39,37,297.5
btc-updown-15m-1769086800,1769086800,2026-01,0,600,0.34,21.07,0.36,90,1925.09,1089.5,0.64,90,0.66,21.07,1089.5,1925.09,4,297.5
btc-updown-15m-1769086800,1769086800,2026-01,0,690,0.5,123.71,0.51,1.66,1595.79,1375.07,0.49,1.66,0.5,123.71,1375.07,1595.79,0,297.5
btc-updown-15m-1769087700,1769087700,2026-01,0,300,0.55,991.27,0.56,86.8,3253.38,2434.51,0.44,86.8,0.45,991.27,2434.51,3253.38,4,299.7
