slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1762189200,1762189200,2025-11,0,300,,,,,0,0,,,,,0,0,,
btc-updown-15m-1762189200,1762189200,2025-11,0,450,0.58,8,0.62,27,52,255.38,0.38,27,0.42,8,255.38,52,21,
btc-updown-15m-1762189200,1762189200,2025-11,0,600,0.86,3,0.89,60,102.99,264.12,0.11,60,0.14,3,264.12,102.99,10,
btc-updown-15m-1762189200,1762189200,2025-11,0,690,0.89,17.43,0.95,8,137.43,532.96,0.05,8,0.11,17.43,532.96,137.43,26,
btc-updown-15m-1762190100,1762190100,2025-11,0,300,0.77,58,0.81,66,126,318,0.19,66,0.23,58,318,126,0,297.9
btc-updown-15m-1762190100,1762190100,2025-11,0,450,0.91,61,0.97,286.48,151,1616.49,0.03,286.48,0.09,61,1616.49,151,5,297.9
btc-updown-15m-1762190100,1762190100,2025-11,0,600,0.94,52,0.97,28,164.54,1208.83,0.03,28,0.06,52,1208.83,164.54,1,297.9
btc-updown-15m-1762190100,1762190100,2025-11,0,690,0.85,41.9,0.92,5.4,303.9,185.6,0.08,5.4,0.15,41.9,185.6,303.9,0,297.9
btc-updown-15m-1762191000,1762191000,2025-11,0,300,0.87,26.92,0.91,77.01,116.92,569.5,0.09,77.01,0.13,26.92,569.5,116.92,0,297.3
btc-updown-15m-1762191000,1762191000,2025-11,0,450,0.93,26.86,0.96,9,177.34,628.64,0.04,9,0.07,26.86,628.64,177.34,21,297.3
btc-updown-15m-1762191000,1762191000,2025-11,0,600,0.97,600,0.99,453.63,874.89,453.63,0.01,453.63,0.03,600,453.63,874.89,12,297.3
btc-updown-15m-1762191000,1762191000,2025-11,0,690,0.98,0.76,0.99,138.17,108.57,138.17,0.01,138.17,0.02,0.76,138.17,108.57,510,297.3
btc-updown-15m-1762191900,1762191900,2025-11,0,300,0.65,111.85,0.7,158,172.85,403,0.3,158,0.35,111.85,403,172.85,1,297.9
btc-updown-15m-1762191900,1762191900,2025-11,0,450,0.5,5,0.51,8,63,48,0.49,8,0.5,5,48,63,3,297.9
btc-updown-15m-1762191900,1762191900,2025-11,0,600,0.22,111,0.27,32,483.9,121,0.73,32,0.78,111,121,483.9,17,297.9
btc-updown-15m-1762191900,1762191900,2025-11,0,690,0.32,14,0.36,5,131,148.13,0.64,5,0.68,14,148.13,131,17,297.9
btc-updown-15m-1762192800,1762192800,2025-11,1,300,0.48,5,0.5,18.44,53,56.44,0.5,18.44,0.52,5,56.44,53,15,299.2
btc-updown-15m-1762192800,1762192800,2025-11,1,450,0.2,71,0.23,1.3,162,116.3,0.77,1.3,0.8,71,116.3,162,117,299.2
btc-updown-15m-1762192800,1762192800,2025-11,1,600,0.56,65,0.6,61.2,175.76,122.2,0.4,61.2,0.44,65,122.2,175.76,3,299.2
btc-updown-15m-1762192800,1762192800,2025-11,1,690,0.55,8,0.57,6.14,65.86,67.86,0.43,6.14,0.45,8,67.86,65.86,7,299.2
btc-updown-15m-1762194600,1762194600,2025-11,1,300,0.55,10,0.59,16,160,71,0.41,16,0.45,10,71,160,9,298.4
btc-updown-15m-1762194600,1762194600,2025-11,1,450,0.7,28.91,0.74,34,98.83,205.02,0.26,34,0.3,28.91,205.02,98.83,34,298.4
btc-updown-15m-1762194600,1762194600,2025-11,1,600,0.46,8,0.52,55,711.2,225.74,0.48,55,0.54,8,225.74,711.2,31,298.4
btc-updown-15m-1762194600,1762194600,2025-11,1,690,0.06,7,0.13,76,317,563.74,0.87,76,0.94,7,563.74,317,4,298.4
btc-updown-15m-1762195500,1762195500,2025-11,0,300,0.59,15,0.63,23,115,236,0.37,23,0.41,15,236,115,2,298
btc-updown-15m-1762195500,1762195500,2025-11,0,450,0.79,14,0.83,18,304.14,329.24,0.17,18,0.21,14,329.24,304.14,14,298
btc-updown-15m-1762195500,1762195500,2025-11,0,600,0.87,16,0.91,537,45.6,1754.05,0.09,537,0.13,16,1754.05,45.6,2,298
btc-updown-15m-1762195500,1762195500,2025-11,0,690,0.64,14,0.7,205.45,391,887.45,0.3,205.45,0.36,14,887.45,391,94,298
btc-updown-15m-1762196400,1762196400,2025-11,1,300,0.15,54.77,0.17,8,569.77,82,0.83,8,0.85,54.77,82,569.77,1,298.6
