slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1763427600,1763427600,2025-11,1,300,0.29,510,0.31,20,2877.59,321.72,0.69,20,0.71,510,321.72,2877.59,54,295.9
btc-updown-15m-1763427600,1763427600,2025-11,1,450,0.21,567,0.22,12,1796.33,115,0.78,12,0.79,567,115,1796.33,1,295.9
btc-updown-15m-1763427600,1763427600,2025-11,1,600,0.4,8,0.41,40,104,1188,0.59,40,0.6,8,1188,104,82,295.9
btc-updown-15m-1763427600,1763427600,2025-11,1,690,0.3,485,0.32,7,2703.1,616,0.68,7,0.7,485,616,2703.1,1,295.9
btc-updown-15m-1763428500,1763428500,2025-11,1,300,0.79,757,0.8,10,1985,332,0.2,10,0.21,757,332,1985,28,292.5
btc-updown-15m-1763428500,1763428500,2025-11,1,450,0.67,162,0.7,36.97,1400,2257.97,0.3,36.97,0.33,162,2257.97,1400,6,292.5
btc-updown-15m-1763428500,1763428500,2025-11,1,600,0.4,32,0.41,15,216,205.7,0.59,15,0.6,32,205.7,216,2,292.5
btc-updown-15m-1763428500,1763428500,2025-11,1,690,0.09,50,0.1,25,2460,100,0.9,25,0.91,50,100,2460,17,292.5
btc-updown-15m-1763429400,1763429400,2025-11,0,300,0.8,39.8,0.81,11,1295.5,1100.6,0.19,11,0.2,39.8,1100.6,1295.5,17,289.3
btc-updown-15m-1763429400,1763429400,2025-11,0,450,0.66,40,0.68,8,695.24,2306.13,0.32,8,0.34,40,2306.13,695.24,3,289.3
btc-updown-15m-1763429400,1763429400,2025-11,0,600,0.69,50,0.7,8,1251,684,0.3,8,0.31,50,684,1251,33,289.3
btc-updown-15m-1763429400,1763429400,2025-11,0,690,0.7,8,0.72,1002.57,613,2271.27,0.28,1002.57,0.3,8,2271.27,613,76,289.3
btc-updown-15m-1763430300,1763430300,2025-11,1,300,0.5,5644.65,0.52,5,5777.65,34,0.48,5,0.5,5644.65,34,5777.65,304792,-59
btc-updown-15m-1763430300,1763430300,2025-11,1,450,0.5,5644.65,0.52,5,5777.65,34,0.48,5,0.5,5644.65,34,5777.65,454792,-59
btc-updown-15m-1763430300,1763430300,2025-11,1,600,0.07,22.47,0.09,51,2869.37,1680.86,0.91,51,0.93,22.47,1680.86,2869.37,20,-59
btc-updown-15m-1763430300,1763430300,2025-11,1,690,0.02,274.5,0.04,40,3482.11,663,0.96,40,0.98,274.5,663,3482.11,35,-59
btc-updown-15m-1763431200,1763431200,2025-11,1,300,0.1,91,0.12,8,862.81,2151,0.88,8,0.9,91,2151,862.81,154,298.1
btc-updown-15m-1763431200,1763431200,2025-11,1,450,0.05,1583.49,0.07,351,3168.83,1518,0.93,351,0.95,1583.49,1518,3168.83,134,298.1
btc-updown-15m-1763431200,1763431200,2025-11,1,600,0.1,48.68,0.11,91.86,2334.68,261.86,0.89,91.86,0.9,48.68,261.86,2334.68,22,298.1
btc-updown-15m-1763431200,1763431200,2025-11,1,690,,,0.01,3361.46,0,5121.59,0.99,3361.46,,,5121.59,0,193,298.1
btc-updown-15m-1763432100,1763432100,2025-11,0,300,0.21,40,0.23,15.65,490,2266.65,0.77,15.65,0.79,40,2266.65,490,6,297.1
btc-updown-15m-1763432100,1763432100,2025-11,0,450,0.8,49.5,0.81,18,655.5,759,0.19,18,0.2,49.5,759,655.5,3,297.1
btc-updown-15m-1763432100,1763432100,2025-11,0,600,0.8,1023,0.82,621,1167,1868,0.18,621,0.2,1023,1868,1167,20,297.1
btc-updown-15m-1763432100,1763432100,2025-11,0,690,0.89,71,0.91,540,1434,1811,0.09,540,0.11,71,1811,1434,180,297.1
btc-updown-15m-1763433000,1763433000,2025-11,1,300,0.22,620,0.24,8,1898,234.1,0.76,8,0.78,620,234.1,1898,3,297
btc-updown-15m-1763433000,1763433000,2025-11,1,450,0.03,534.04,0.04,10,4214.96,134,0.96,10,0.97,534.04,134,4214.96,43,297
btc-updown-15m-1763433000,1763433000,2025-11,1,600,0.02,744.23,0.04,64,3691.21,442.26,0.96,64,0.98,744.23,442.26,3691.21,348,297
btc-updown-15m-1763433000,1763433000,2025-11,1,690,0.02,1028,0.03,55.98,2907.98,562.98,0.97,55.98,0.98,1028,562.98,2907.98,12,297
btc-updown-15m-1763433900,1763433900,2025-11,1,300,0.66,565,0.68,61,1746.22,1352.5,0.32,61,0.34,565,1352.5,1746.22,42,298.5
btc-updown-15m-1763433900,1763433900,2025-11,1,450,0.26,98,0.27,1023,1187,1127,0.73,1023,0.74,98,1127,1187,1,298.5
btc-updown-15m-1763433900,1763433900,2025-11,1,600,0.17,80,0.18,56.53,1340.31,1140.85,0.82,56.53,0.83,80,1140.85,1340.31,48,298.5
btc-updown-15m-1763433900,1763433900,2025-11,1,690,0.03,391.92,0.05,137,4372.89,711.91,0.95,137,0.97,391.92,711.91,4372.89,17,298.5
btc-updown-15m-1763434800,1763434800,2025-11,1,300,0.07,50,0.08,6,2435,216.61,0.92,6,0.93,50,216.61,2435,6,299.1
btc-updown-15m-1763434800,1763434800,2025-11,1,450,0.07,135,0.08,2.88,2843.12,1263.88,0.92,2.88,0.93,135,1263.88,2843.12,0,299.1
btc-updown-15m-1763434800,1763434800,2025-11,1,600,0.02,718.81,0.03,1960.99,5859.63,2705.49,0.97,1960.99,0.98,718.81,2705.49,5859.63,283,299.1
btc-updown-15m-1763434800,1763434800,2025-11,1,690,0.02,145,0.03,431.23,5014.86,1582.49,0.97,431.23,0.98,145,1582.49,5014.86,15,299.1
btc-updown-15m-1763436600,1763436600,2025-11,0,300,0.25,8,0.27,609.3,114.04,1901.3,0.73,609.3,0.75,8,1901.3,114.04,1,299.7
btc-updown-15m-1763436600,1763436600,2025-11,0,450,0.68,1028,0.7,67,2130.99,936.59,0.3,67,0.32,1028,936.59,2130.99,7,299.7
btc-updown-15m-1763436600,1763436600,2025-11,0,600,0.98,30.4,0.99,1848,340.29,1848,0.01,1848,0.02,30.4,1848,340.29,43,299.7
btc-updown-15m-1763436600,1763436600,2025-11,0,690,0.98,40,0.99,651.07,3857.93,651.07,0.01,651.07,0.02,40,651.07,3857.93,234,299.7
btc-updown-15m-1763437500,1763437500,2025-11,0,300,0.6,138,0.62,45,2363,718.7,0.38,45,0.4,138,718.7,2363,0,299.1
btc-updown-15m-1763437500,1763437500,2025-11,0,450,0.72,999.88,0.74,112.41,2219.38,778.96,0.26,112.41,0.28,999.88,778.96,2219.38,111,299.1
btc-updown-15m-1763437500,1763437500,2025-11,0,600,0.8,46.25,0.82,42,1831.25,1255,0.18,42,0.2,46.25,1255,1831.25,189,299.1
btc-updown-15m-1763437500,1763437500,2025-11,0,690,0.76,40,0.77,41.53,697.8,406.93,0.23,41.53,0.24,40,406.93,697.8,3,299.1
btc-updown-15m-1763438400,1763438400,2025-11,1,300,0.18,84,0.2,50,934,2322.64,0.8,50,0.82,84,2322.64,934,282,294
btc-updown-15m-1763438400,1763438400,2025-11,1,450,0.08,505.41,0.11,162,1807.41,1018.8,0.89,162,0.92,505.41,1018.8,1807.41,28,294
btc-updown-15m-1763438400,1763438400,2025-11,1,600,0.01,3151.91,0.02,547.03,3151.91,725.47,0.98,547.03,0.99,3151.91,725.47,3151.91,227,294
btc-updown-15m-1763438400,1763438400,2025-11,1,690,,,0.01,182.85,0,1028.69,0.99,182.85,,,1028.69,0,178,294
btc-updown-15m-1763439300,1763439300,2025-11,1,300,0.25,54,0.27,65,735,2321,0.73,65,0.75,54,2321,735,45,298.7
btc-updown-15m-1763439300,1763439300,2025-11,1,450,0.15,590,0.17,8,1756,1134,0.83,8,0.85,590,1134,1756,19,298.7
btc-updown-15m-1763439300,1763439300,2025-11,1,600,0.08,5,0.09,55,717,1158,0.91,55,0.92,5,1158,717,0,298.7
btc-updown-15m-1763439300,1763439300,2025-11,1,690,0.02,355.22,0.03,50,3946.87,183.6,0.97,50,0.98,355.22,183.6,3946.87,197,298.7
btc-updown-15m-1763440200,1763440200,2025-11,1,300,0.73,68,0.75,30,758,2333.26,0.25,30,0.27,68,2333.26,758,0,299.2
btc-updown-15m-1763440200,1763440200,2025-11,1,450,0.58,72.07,0.59,40,172.07,2263,0.41,40,0.42,72.07,2263,172.07,52,299.2
btc-updown-15m-1763440200,1763440200,2025-11,1,600,0.67,35,0.69,8,755,2411,0.31,8,0.33,35,2411,755,39,299.2
btc-updown-15m-1763440200,1763440200,2025-11,1,690,0.77,17.52,0.78,21.71,678.52,575.71,0.22,21.71,0.23,17.52,575.71,678.52,12,299.2
btc-updown-15m-1763441100,1763441100,2025-11,0,300,0.54,13.89,0.55,8,1122.89,1390.32,0.45,8,0.46,13.89,1390.32,1122.89,2,296.7
btc-updown-15m-1763441100,1763441100,2025-11,0,450,0.22,45,0.25,1514.33,711,2636.33,0.75,1514.33,0.78,45,2636.33,711,39,296.7
btc-updown-15m-1763441100,1763441100,2025-11,0,600,0.19,750,0.22,42.67,1843,671.67,0.78,42.67,0.81,750,671.67,1843,103,296.7
btc-updown-15m-1763441100,1763441100,2025-11,0,690,0.3,11.08,0.34,574,2129.08,1732,0.66,574,0.7,11.08,1732,2129.08,1,296.7
btc-updown-15m-1763442000,1763442000,2025-11,0,300,0.31,20,0.32,46,2197,737,0.68,46,0.69,20,737,2197,63,298.6
btc-updown-15m-1763442000,1763442000,2025-11,0,450,0.48,60,0.5,21,1180,81,0.5,21,0.52,60,81,1180,7,298.6
btc-updown-15m-1763442000,1763442000,2025-11,0,600,0.3,19,0.31,570.4,200,2734.4,0.69,570.4,0.7,19,2734.4,200,21,298.6
btc-updown-15m-1763442000,1763442000,2025-11,0,690,0.49,519.04,0.52,40,2559.04,1738,0.48,40,0.51,519.04,1738,2559.04,0,298.6
btc-updown-15m-1763442900,1763442900,2025-11,1,300,0.55,560,0.56,5,2907,77,0.44,5,0.45,560,77,2907,693,292.5
btc-updown-15m-1763442900,1763442900,2025-11,1,450,0.8,130,0.81,27.3,267.41,1172.3,0.19,27.3,0.2,130,1172.3,267.41,16,292.5
