slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1765588500,1765588500,2025-12,0,300,0.51,0.4,0.53,153,105.94,353.5,0.47,153,0.49,0.4,353.5,105.94,13,289.6
btc-updown-15m-1765588500,1765588500,2025-12,0,450,0.42,5,0.44,121.42,169,384.42,0.56,121.42,0.58,5,384.42,169,0,289.6
btc-updown-15m-1765588500,1765588500,2025-12,0,600,0.58,18,0.59,10.99,59,142.31,0.41,10.99,0.42,18,142.31,59,56,289.6
btc-updown-15m-1765588500,1765588500,2025-12,0,690,0.44,114,0.46,13,190,259.99,0.54,13,0.56,114,259.99,190,114,289.6
btc-updown-15m-1765589400,1765589400,2025-12,1,300,0.49,6,0.5,2096.83,548.65,3499.35,0.5,2096.83,0.51,6,3499.35,548.65,130,288.4
btc-updown-15m-1765589400,1765589400,2025-12,1,450,0.18,5,0.19,24,113,287.3,0.81,24,0.82,5,287.3,113,70,288.4
btc-updown-15m-1765589400,1765589400,2025-12,1,600,0.03,128.87,0.04,220,5972.37,505.4,0.96,220,0.97,128.87,505.4,5972.37,355,288.4
btc-updown-15m-1765589400,1765589400,2025-12,1,690,0.01,2769.66,0.02,45.67,2769.66,314.41,0.98,45.67,0.99,2769.66,314.41,2769.66,186,288.4
btc-updown-15m-1765591200,1765591200,2025-12,0,300,0.44,46.42,0.45,13,206.42,243,0.55,13,0.56,46.42,243,206.42,76,282.2
btc-updown-15m-1765591200,1765591200,2025-12,0,450,0.87,50,0.88,190.27,282.08,340.27,0.12,190.27,0.13,50,340.27,282.08,186,282.2
btc-updown-15m-1765591200,1765591200,2025-12,0,600,0.94,5,0.95,18,94,688.75,0.05,18,0.06,5,688.75,94,3,282.2
btc-updown-15m-1765591200,1765591200,2025-12,0,690,0.97,85,0.98,336.73,351.4,4364.23,0.02,336.73,0.03,85,4364.23,351.4,90,282.2
btc-updown-15m-1765592100,1765592100,2025-12,0,300,0.53,68.95,0.55,164,288.95,1056.37,0.45,164,0.47,68.95,1056.37,288.95,944,254.5
btc-updown-15m-1765592100,1765592100,2025-12,0,450,0.56,70.22,0.58,826,388.22,1102,0.42,826,0.44,70.22,1102,388.22,27,254.5
btc-updown-15m-1765592100,1765592100,2025-12,0,600,0.52,210,0.53,34.64,323.2,113.64,0.47,34.64,0.48,210,113.64,323.2,13,254.5
btc-updown-15m-1765592100,1765592100,2025-12,0,690,0.52,68,0.53,16,208,100,0.47,16,0.48,68,100,208,69,254.5
btc-updown-15m-1765593000,1765593000,2025-12,1,300,0.09,70,0.11,215,436.85,453.9,0.89,215,0.91,70,453.9,436.85,189,280.7
btc-updown-15m-1765593000,1765593000,2025-12,1,450,0.05,893.05,0.06,18,1779.87,547.23,0.94,18,0.95,893.05,547.23,1779.87,189,280.7
btc-updown-15m-1765593000,1765593000,2025-12,1,600,0.05,216.1,0.07,706,1739.26,1250.72,0.93,706,0.95,216.1,1250.72,1739.26,0,280.7
btc-updown-15m-1765593000,1765593000,2025-12,1,690,0.04,347.03,0.07,830.14,2478.43,1267.82,0.93,830.14,0.96,347.03,1267.82,2478.43,156,280.7
btc-updown-15m-1765593900,1765593900,2025-12,1,300,0.4,200,0.42,40,637.7,963.4,0.58,40,0.6,200,963.4,637.7,37,294.2
btc-updown-15m-1765593900,1765593900,2025-12,1,450,0.35,5,0.36,117.22,319,975.22,0.64,117.22,0.65,5,975.22,319,172,294.2
btc-updown-15m-1765593900,1765593900,2025-12,1,600,0.26,106.29,0.29,196,1026.29,333.5,0.71,196,0.74,106.29,333.5,1026.29,241,294.2
btc-updown-15m-1765593900,1765593900,2025-12,1,690,0.08,5,0.09,37,211.66,701.79,0.91,37,0.92,5,701.79,211.66,20,294.2
btc-updown-15m-1765594800,1765594800,2025-12,0,300,0.66,130,0.67,0.31,1066.82,251.31,0.33,0.31,0.34,130,251.31,1066.82,0,296.2
btc-updown-15m-1765594800,1765594800,2025-12,0,450,0.62,57.98,0.63,30.39,511.98,216.39,0.37,30.39,0.38,57.98,216.39,511.98,91,296.2
btc-updown-15m-1765594800,1765594800,2025-12,0,600,0.78,140,0.79,629.18,506.26,921.45,0.21,629.18,0.22,140,921.45,506.26,239,296.2
btc-updown-15m-1765594800,1765594800,2025-12,0,690,0.88,70,0.91,98,463.26,1014.52,0.09,98,0.12,70,1014.52,463.26,37,296.2
btc-updown-15m-1765595700,1765595700,2025-12,0,300,0.67,10,0.68,20,822.91,304,0.32,20,0.33,10,304,822.91,11,289.3
btc-updown-15m-1765595700,1765595700,2025-12,0,450,0.81,95.4,0.82,5,1036.18,393,0.18,5,0.19,95.4,393,1036.18,294,289.3
btc-updown-15m-1765595700,1765595700,2025-12,0,600,0.89,91.72,0.9,12.45,623.22,404.64,0.1,12.45,0.11,91.72,404.64,623.22,270,289.3
btc-updown-15m-1765595700,1765595700,2025-12,0,690,0.96,50,0.97,907.44,387,5716.2,0.03,907.44,0.04,50,5716.2,387,28,289.3
btc-updown-15m-1765596600,1765596600,2025-12,0,300,0.53,97,0.54,20,563.93,518,0.46,20,0.47,97,518,563.93,0,291
btc-updown-15m-1765596600,1765596600,2025-12,0,450,0.62,133,0.63,6.74,376.83,96.74,0.37,6.74,0.38,133,96.74,376.83,6,291
btc-updown-15m-1765596600,1765596600,2025-12,0,600,0.91,110.9,0.94,38,648.3,196,0.06,38,0.09,110.9,196,648.3,69,291
btc-updown-15m-1765596600,1765596600,2025-12,0,690,0.96,1220,0.97,186.85,3269.22,3916.78,0.03,186.85,0.04,1220,3916.78,3269.22,21,291
btc-updown-15m-1765597500,1765597500,2025-12,1,300,0.15,67.63,0.16,22,431.05,345.19,0.84,22,0.85,67.63,345.19,431.05,8,297
btc-updown-15m-1765597500,1765597500,2025-12,1,450,0.12,5,0.13,264,387.87,570.19,0.87,264,0.88,5,570.19,387.87,187,297
btc-updown-15m-1765597500,1765597500,2025-12,1,600,0.03,677.08,0.04,130,7652.43,345.93,0.96,130,0.97,677.08,345.93,7652.43,200,297
btc-updown-15m-1765597500,1765597500,2025-12,1,690,,,0.01,64.72,0,338.88,0.99,64.72,,,338.88,0,192,297
btc-updown-15m-1765598400,1765598400,2025-12,1,300,0.3,13,0.32,346,674.57,1280.54,0.68,346,0.7,13,1280.54,674.57,25,289.1
btc-updown-15m-1765598400,1765598400,2025-12,1,450,0.23,35,0.24,71.5,231,425.32,0.76,71.5,0.77,35,425.32,231,143,289.1
btc-updown-15m-1765598400,1765598400,2025-12,1,600,0.18,5,0.19,132.73,211.05,555.43,0.81,132.73,0.82,5,555.43,211.05,23,289.1
btc-updown-15m-1765598400,1765598400,2025-12,1,690,0.09,64.05,0.11,70,1261.48,367,0.89,70,0.91,64.05,367,1261.48,46,289.1
btc-updown-15m-1765599300,1765599300,2025-12,0,300,0.43,593.98,0.44,5,1085.24,199,0.56,5,0.57,593.98,199,1085.24,318,295.7
btc-updown-15m-1765599300,1765599300,2025-12,0,450,0.35,85.24,0.36,15,1465.24,114,0.64,15,0.65,85.24,114,1465.24,30,295.7
btc-updown-15m-1765599300,1765599300,2025-12,0,600,0.49,5,0.5,62,304.9,284,0.5,62,0.51,5,284,304.9,2,295.7
btc-updown-15m-1765599300,1765599300,2025-12,0,690,0.92,82,0.93,2.72,2085.95,2123,0.07,2.72,0.08,82,2123,2085.95,72,295.7
btc-updown-15m-1765600200,1765600200,2025-12,0,300,0.31,128.47,0.33,160.66,402.47,1415.66,0.67,160.66,0.69,128.47,1415.66,402.47,112,296.8
btc-updown-15m-1765600200,1765600200,2025-12,0,450,0.33,78.93,0.34,15,270.93,93,0.66,15,0.67,78.93,93,270.93,0,296.8
btc-updown-15m-1765600200,1765600200,2025-12,0,600,0.91,5,0.93,196,2548.27,1655.8,0.07,196,0.09,5,1655.8,2548.27,82,296.8
btc-updown-15m-1765600200,1765600200,2025-12,0,690,0.96,698.61,0.97,677.93,1536.67,1551.24,0.03,677.93,0.04,698.61,1551.24,1536.67,133,296.8
btc-updown-15m-1765602000,1765602000,2025-12,1,300,0.46,67.83,0.48,791,323.83,1255,0.52,791,0.54,67.83,1255,323.83,21,279.1
btc-updown-15m-1765602000,1765602000,2025-12,1,450,0.32,167,0.33,116.26,406,963.26,0.67,116.26,0.68,167,963.26,406,87,279.1
btc-updown-15m-1765602000,1765602000,2025-12,1,600,0.47,5,0.48,30,189.11,253.15,0.52,30,0.53,5,253.15,189.11,83,279.1
btc-updown-15m-1765602000,1765602000,2025-12,1,690,0.49,54,0.5,70,180,1072.83,0.5,70,0.51,54,1072.83,180,0,279.1
btc-updown-15m-1765602900,1765602900,2025-12,1,300,0.4,50,0.42,8,208,120,0.58,8,0.6,50,120,208,16,298.6
btc-updown-15m-1765602900,1765602900,2025-12,1,450,0.31,90.63,0.32,69,336.63,295,0.68,69,0.69,90.63,295,336.63,196,298.6
btc-updown-15m-1765602900,1765602900,2025-12,1,600,0.38,34.4,0.39,73,120.8,987.2,0.61,73,0.62,34.4,987.2,120.8,130,298.6
btc-updown-15m-1765602900,1765602900,2025-12,1,690,0.09,13.23,0.1,70,339.23,891.36,0.9,70,0.91,13.23,891.36,339.23,118,298.6
btc-updown-15m-1765603800,1765603800,2025-12,1,300,0.38,158.38,0.39,5,424.37,1186.36,0.61,5,0.62,158.38,1186.36,424.37,115,281.2
btc-updown-15m-1765603800,1765603800,2025-12,1,450,0.16,382.77,0.18,84.16,1173.77,678.76,0.82,84.16,0.84,382.77,678.76,1173.77,16,281.2
btc-updown-15m-1765603800,1765603800,2025-12,1,600,0.11,80,0.12,5,984,237.46,0.88,5,0.89,80,237.46,984,195,281.2
btc-updown-15m-1765603800,1765603800,2025-12,1,690,0.05,120,0.06,135,1000.15,373.62,0.94,135,0.95,120,373.62,1000.15,179,281.2
btc-updown-15m-1765604700,1765604700,2025-12,0,300,0.63,95.56,0.65,136.72,272.56,411.72,0.35,136.72,0.37,95.56,411.72,272.56,74,285
btc-updown-15m-1765604700,1765604700,2025-12,0,450,0.63,89,0.65,19,504.12,207,0.35,19,0.37,89,207,504.12,12,285
btc-updown-15m-1765604700,1765604700,2025-12,0,600,0.63,84.29,0.64,20.46,425.29,178.76,0.36,20.46,0.37,84.29,178.76,425.29,82,285
btc-updown-15m-1765604700,1765604700,2025-12,0,690,0.97,10,0.98,496.77,197,4287.26,0.02,496.77,0.03,10,4287.26,197,8,285
btc-updown-15m-1765605600,1765605600,2025-12,1,300,0.4,223.99,0.42,107,780.99,347,0.58,107,0.6,223.99,347,780.99,152,290.8
btc-updown-15m-1765605600,1765605600,2025-12,1,450,0.51,5.2,0.54,146,215.17,345,0.46,146,0.49,5.2,345,215.17,140,290.8
btc-updown-15m-1765605600,1765605600,2025-12,1,600,0.11,80,0.12,5,526,316,0.88,5,0.89,80,316,526,75,290.8
btc-updown-15m-1765605600,1765605600,2025-12,1,690,0.22,30,0.24,131,87,556,0.76,131,0.78,30,556,87,9,290.8
btc-updown-15m-1765606500,1765606500,2025-12,1,300,0.25,1783.95,0.26,938.8,2001.29,1600.8,0.74,938.8,0.75,1783.95,1600.8,2001.29,179,291.1
btc-updown-15m-1765606500,1765606500,2025-12,1,450,0.25,70,0.26,5,1225.68,395.92,0.74,5,0.75,70,395.92,1225.68,80,291.1
btc-updown-15m-1765606500,1765606500,2025-12,1,600,0.21,32,0.22,17.74,899.35,509.74,0.78,17.74,0.79,32,509.74,899.35,165,291.1
btc-updown-15m-1765606500,1765606500,2025-12,1,690,0.06,16,0.08,70,2836.8,307.3,0.92,70,0.94,16,307.3,2836.8,38,291.1
btc-updown-15m-1765607400,1765607400,2025-12,0,300,0.53,5,0.55,772.47,895.62,1128.07,0.45,772.47,0.47,5,1128.07,895.62,37,285.4
btc-updown-15m-1765607400,1765607400,2025-12,0,450,0.72,10,0.73,193.22,497,380.22,0.27,193.22,0.28,10,380.22,497,150,285.4
btc-updown-15m-1765607400,1765607400,2025-12,0,600,0.91,8,0.93,147.43,473.01,1117.61,0.07,147.43,0.09,8,1117.61,473.01,37,285.4
btc-updown-15m-1765607400,1765607400,2025-12,0,690,0.97,54.4,0.98,274.24,880.4,4668.78,0.02,274.24,0.03,54.4,4668.78,880.4,159,285.4
btc-updown-15m-1765608300,1765608300,2025-12,0,300,0.53,11.8,0.54,45,1601.28,343.19,0.46,45,0.47,11.8,343.19,1601.28,191,265.4
btc-updown-15m-1765608300,1765608300,2025-12,0,450,0.77,158,0.78,79.11,1434.9,334.11,0.22,79.11,0.23,158,334.11,1434.9,442,265.4
btc-updown-15m-1765608300,1765608300,2025-12,0,600,0.83,170.27,0.85,488.94,761.75,1454.42,0.15,488.94,0.17,170.27,1454.42,761.75,84,265.4
btc-updown-15m-1765608300,1765608300,2025-12,0,690,0.9,14.4,0.92,198.17,226.92,2974.6,0.08,198.17,0.1,14.4,2974.6,226.92,145,265.4
btc-updown-15m-1765609200,1765609200,2025-12,1,300,0.4,357.1,0.41,44.98,1200.74,572.28,0.59,44.98,0.6,357.1,572.28,1200.74,345,267.6
btc-updown-15m-1765609200,1765609200,2025-12,1,450,0.38,302.99,0.4,28.16,1252.08,254.86,0.6,28.16,0.62,302.99,254.86,1252.08,138,267.6
btc-updown-15m-1765609200,1765609200,2025-12,1,600,0.39,353.21,0.42,82.76,1262.4,1259.06,0.58,82.76,0.61,353.21,1259.06,1262.4,169,267.6
btc-updown-15m-1765609200,1765609200,2025-12,1,690,0.41,345,0.43,134.65,1720.23,411.17,0.57,134.65,0.59,345,411.17,1720.23,10,267.6
btc-updown-15m-1765610100,1765610100,2025-12,0,300,0.82,142.77,0.85,178,348.77,1100,0.15,178,0.18,142.77,1100,348.77,51,285.4
btc-updown-15m-1765610100,1765610100,2025-12,0,450,0.61,38,0.62,5.54,121,143.54,0.38,5.54,0.39,38,143.54,121,39,285.4
btc-updown-15m-1765610100,1765610100,2025-12,0,600,0.88,11.66,0.89,88.57,1016.69,509.66,0.11,88.57,0.12,11.66,509.66,1016.69,4,285.4
btc-updown-15m-1765610100,1765610100,2025-12,0,690,0.88,16,0.9,70,219.8,874.24,0.1,70,0.12,16,874.24,219.8,190,285.4
btc-updown-15m-1765611900,1765611900,2025-12,1,300,0.42,62,0.43,5,1234.4,424.93,0.57,5,0.58,62,424.93,1234.4,118,279.9
btc-updown-15m-1765611900,1765611900,2025-12,1,450,0.32,82.94,0.35,472.7,534.89,1619.9,0.65,472.7,0.68,82.94,1619.9,534.89,32,279.9
btc-updown-15m-1765611900,1765611900,2025-12,1,600,0.38,142.75,0.39,108.93,419.75,1165.22,0.61,108.93,0.62,142.75,1165.22,419.75,191,279.9
btc-updown-15m-1765611900,1765611900,2025-12,1,690,0.3,411.06,0.33,102.87,1104.77,333.37,0.67,102.87,0.7,411.06,333.37,1104.77,45,279.9
btc-updown-15m-1765612800,1765612800,2025-12,0,300,0.71,115.23,0.72,83,322.23,975,0.28,83,0.29,115.23,975,322.23,81,281.3
btc-updown-15m-1765612800,1765612800,2025-12,0,450,0.49,73.19,0.5,5,520.19,105.88,0.5,5,0.51,73.19,105.88,520.19,22379,281.3
btc-updown-15m-1765612800,1765612800,2025-12,0,600,0.51,307,0.53,122.27,1255.99,371.27,0.47,122.27,0.49,307,371.27,1255.99,88,281.3
btc-updown-15m-1765612800,1765612800,2025-12,0,690,0.41,20,0.43,202.34,91.99,831.48,0.57,202.34,0.59,20,831.48,91.99,140,281.3
btc-updown-15m-1765616400,1765616400,2025-12,0,300,0.65,648.58,0.67,175.02,904.68,187.12,0.33,175.02,0.35,648.58,187.12,904.68,15,296.6
btc-updown-15m-1765616400,1765616400,2025-12,0,450,0.69,195,0.7,5,818.4,595,0.3,5,0.31,195,595,818.4,0,296.6
btc-updown-15m-1765616400,1765616400,2025-12,0,600,0.78,205,0.79,355.91,371,870.91,0.21,355.91,0.22,205,870.91,371,140,296.6
btc-updown-15m-1765616400,1765616400,2025-12,0,690,0.84,115.78,0.87,347.35,236.78,797.65,0.13,347.35,0.16,115.78,797.65,236.78,330,296.6
btc-updown-15m-1765617300,1765617300,2025-12,1,300,0.33,652.62,0.37,5,2181.62,1347.7,0.63,5,0.67,652.62,1347.7,2181.62,16,282.9
btc-updown-15m-1765617300,1765617300,2025-12,1,450,0.27,195,0.28,293.28,635,454.18,0.72,293.28,0.73,195,454.18,635,6,282.9
btc-updown-15m-1765617300,1765617300,2025-12,1,600,0.21,364,0.22,264,2378.88,304,0.78,264,0.79,364,304,2378.88,25,282.9
btc-updown-15m-1765617300,1765617300,2025-12,1,690,0.11,108.7,0.14,343.75,160.7,1163.75,0.86,343.75,0.89,108.7,1163.75,160.7,209,282.9
btc-updown-15m-1765618200,1765618200,2025-12,0,300,0.31,665.97,0.33,47.06,1425.97,199.47,0.67,47.06,0.69,665.97,199.47,1425.97,20,293.3
btc-updown-15m-1765618200,1765618200,2025-12,0,450,0.72,63.27,0.74,357,397.84,1380,0.26,357,0.28,63.27,1380,397.84,182,293.3
btc-updown-15m-1765618200,1765618200,2025-12,0,600,0.89,20,0.9,19973.66,476,21783.04,0.1,19973.66,0.11,20,21783.04,476,44,293.3
btc-updown-15m-1765618200,1765618200,2025-12,0,690,0.79,5,0.8,4,537,29.55,0.2,4,0.21,5,29.55,537,3,293.3
btc-updown-15m-1765619100,1765619100,2025-12,1,300,0.64,18.06,0.66,40,445.94,394.75,0.34,40,0.36,18.06,394.75,445.94,9,298
btc-updown-15m-1765619100,1765619100,2025-12,1,450,0.61,403,0.63,4.41,563,870.41,0.37,4.41,0.39,403,870.41,563,20,298
btc-updown-15m-1765619100,1765619100,2025-12,1,600,0.16,761.86,0.19,152,1218.86,576.23,0.81,152,0.84,761.86,576.23,1218.86,6,298
btc-updown-15m-1765619100,1765619100,2025-12,1,690,0.02,1294.99,0.03,59.66,5135.02,539.06,0.97,59.66,0.98,1294.99,539.06,5135.02,4,298
btc-updown-15m-1765620000,1765620000,2025-12,0,300,0.88,521.17,0.89,574.11,833.17,3024.9,0.11,574.11,0.12,521.17,3024.9,833.17,17,286.6
btc-updown-15m-1765620000,1765620000,2025-12,0,450,0.93,80,0.95,923.49,553,6719.75,0.05,923.49,0.07,80,6719.75,553,400,286.6
btc-updown-15m-1765620000,1765620000,2025-12,0,600,0.81,188.72,0.83,100,858.31,880.24,0.17,100,0.19,188.72,880.24,858.31,15,286.6
btc-updown-15m-1765620000,1765620000,2025-12,0,690,0.84,35.01,0.85,15.8,126.76,945.9,0.15,15.8,0.16,35.01,945.9,126.76,0,286.6
btc-updown-15m-1765620900,1765620900,2025-12,0,300,0.7,150,0.73,540,976.54,2324.8,0.27,540,0.3,150,2324.8,976.54,462,294
btc-updown-15m-1765620900,1765620900,2025-12,0,450,0.79,297.45,0.8,40,573.95,599,0.2,40,0.21,297.45,599,573.95,40,294
btc-updown-15m-1765620900,1765620900,2025-12,0,600,0.76,609.41,0.77,5,906.11,708.15,0.23,5,0.24,609.41,708.15,906.11,4,294
btc-updown-15m-1765620900,1765620900,2025-12,0,690,0.85,98,0.87,700.95,606.19,1790.95,0.13,700.95,0.15,98,1790.95,606.19,78,294
btc-updown-15m-1765621800,1765621800,2025-12,0,300,0.74,15,0.76,804,275,1674,0.24,804,0.26,15,1674,275,202,296.5
btc-updown-15m-1765621800,1765621800,2025-12,0,450,0.79,527.3,0.8,15,1069,212.56,0.2,15,0.21,527.3,212.56,1069,21,296.5
btc-updown-15m-1765621800,1765621800,2025-12,0,600,0.97,178.32,0.98,838.06,856.19,4790.56,0.02,838.06,0.03,178.32,4790.56,856.19,37,296.5
btc-updown-15m-1765621800,1765621800,2025-12,0,690,0.99,424.14,,,1736.56,0,,,0.01,424.14,0,1736.56,1228,296.5
btc-updown-15m-1765622700,1765622700,2025-12,1,300,0.36,70,0.37,25,296.35,831,0.63,25,0.64,70,831,296.35,56,285.8
btc-updown-15m-1765622700,1765622700,2025-12,1,450,0.28,102,0.3,15.47,1620.06,201.47,0.7,15.47,0.72,102,201.47,1620.06,117,285.8
