slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1766985300,1766985300,2025-12,1,300,0.15,49.98,0.16,138.89,1724.86,1976.11,0.84,138.89,0.85,49.98,1976.11,1724.86,4,290.9
btc-updown-15m-1766985300,1766985300,2025-12,1,450,0.19,3.24,0.2,286.96,562.99,2525.92,0.8,286.96,0.81,3.24,2525.92,562.99,39,290.9
btc-updown-15m-1766985300,1766985300,2025-12,1,600,0.04,28.32,0.05,2087.99,5468.77,3244.01,0.95,2087.99,0.96,28.32,3244.01,5468.77,18,290.9
btc-updown-15m-1766985300,1766985300,2025-12,1,690,0.01,944.92,0.02,508.49,944.92,2550.12,0.98,508.49,0.99,944.92,2550.12,944.92,184,290.9
btc-updown-15m-1766986200,1766986200,2025-12,0,300,0.46,10,0.48,227.28,327.99,486.67,0.52,227.28,0.54,10,486.67,327.99,121,299.6
btc-updown-15m-1766986200,1766986200,2025-12,0,450,0.94,6.46,0.95,274.91,118.08,6048.13,0.05,274.91,0.06,6.46,6048.13,118.08,25,299.6
btc-updown-15m-1766986200,1766986200,2025-12,0,600,0.9,33.6,0.91,80,8517.31,311.55,0.09,80,0.1,33.6,311.55,8517.31,0,299.6
btc-updown-15m-1766986200,1766986200,2025-12,0,690,0.95,1.99,0.96,75,97.99,2939.12,0.04,75,0.05,1.99,2939.12,97.99,15,299.6
btc-updown-15m-1766987100,1766987100,2025-12,1,300,0.22,96.51,0.23,28.06,1362.26,2807.43,0.77,28.06,0.78,96.51,2807.43,1362.26,15,295.8
btc-updown-15m-1766987100,1766987100,2025-12,1,450,0.02,10321.57,0.03,998.78,16343.77,1654.47,0.97,998.78,0.98,10321.57,1654.47,16343.77,67,295.8
btc-updown-15m-1766987100,1766987100,2025-12,1,600,0.01,900.62,0.02,1435.14,900.62,3037.03,0.98,1435.14,0.99,900.62,3037.03,900.62,57,295.8
btc-updown-15m-1766987100,1766987100,2025-12,1,690,0.01,3345.81,0.02,8416.99,3345.81,10262.78,0.98,8416.99,0.99,3345.81,10262.78,3345.81,65,295.8
btc-updown-15m-1766988000,1766988000,2025-12,0,300,0.13,617.48,0.14,2814.07,1937.53,2865.37,0.86,2814.07,0.87,617.48,2865.37,1937.53,2,297.4
btc-updown-15m-1766988000,1766988000,2025-12,0,450,0.5,161.13,0.51,92.4,497.58,296.5,0.49,92.4,0.5,161.13,296.5,497.58,5,297.4
