slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1766295900,1766295900,2025-12,0,300,0.3,1778.24,0.32,303,2784.16,599.62,0.68,303,0.7,1778.24,599.62,2784.16,27,295.9
btc-updown-15m-1766295900,1766295900,2025-12,0,450,0.59,278.31,0.6,112.92,357.31,259.84,0.4,112.92,0.41,278.31,259.84,357.31,0,295.9
btc-updown-15m-1766295900,1766295900,2025-12,0,600,0.82,5,0.83,14.8,291.92,102.73,0.17,14.8,0.18,5,102.73,291.92,3,295.9
btc-updown-15m-1766295900,1766295900,2025-12,0,690,0.77,165,0.78,14.93,343.59,232.45,0.22,14.93,0.23,165,232.45,343.59,0,295.9
btc-updown-15m-1766296800,1766296800,2025-12,0,300,0.47,402,0.49,60.74,1433.92,907.66,0.51,60.74,0.53,402,907.66,1433.92,198,298.7
btc-updown-15m-1766296800,1766296800,2025-12,0,450,0.51,29,0.52,1.28,876.12,311.2,0.48,1.28,0.49,29,311.2,876.12,43,298.7
btc-updown-15m-1766296800,1766296800,2025-12,0,600,0.55,18,0.57,10,529.92,262.93,0.43,10,0.45,18,262.93,529.92,10,298.7
btc-updown-15m-1766296800,1766296800,2025-12,0,690,0.96,5,0.97,519.64,237.91,6123.47,0.03,519.64,0.04,5,6123.47,237.91,25,298.7
btc-updown-15m-1766297700,1766297700,2025-12,1,300,0.59,36.04,0.6,162,497.96,809.12,0.4,162,0.41,36.04,809.12,497.96,38,295
btc-updown-15m-1766297700,1766297700,2025-12,1,450,0.5,20,0.51,5,455.24,445.92,0.49,5,0.5,20,445.92,455.24,83,295
btc-updown-15m-1766297700,1766297700,2025-12,1,600,0.22,155.41,0.23,69.92,241.09,301.44,0.77,69.92,0.78,155.41,301.44,241.09,17,295
btc-updown-15m-1766297700,1766297700,2025-12,1,690,0.12,60.67,0.16,170.92,821.42,404.52,0.84,170.92,0.88,60.67,404.52,821.42,49,295
btc-updown-15m-1766298600,1766298600,2025-12,1,300,0.44,12.3,0.45,88.96,486.5,468.64,0.55,88.96,0.56,12.3,468.64,486.5,6,291.3
btc-updown-15m-1766298600,1766298600,2025-12,1,450,0.34,18.01,0.36,108.61,286.43,684.21,0.64,108.61,0.66,18.01,684.21,286.43,4,291.3
btc-updown-15m-1766298600,1766298600,2025-12,1,600,0.04,351.92,0.05,51.05,4753.84,1518.07,0.95,51.05,0.96,351.92,1518.07,4753.84,5,291.3
btc-updown-15m-1766298600,1766298600,2025-12,1,690,0.02,1295.39,0.04,198.92,5983.28,944.63,0.96,198.92,0.98,1295.39,944.63,5983.28,95,291.3
btc-updown-15m-1766299500,1766299500,2025-12,1,300,0.21,5,0.23,134.48,618.84,508.48,0.77,134.48,0.79,5,508.48,618.84,7,297.2
btc-updown-15m-1766299500,1766299500,2025-12,1,450,0.26,20,0.27,318.92,600.88,842.63,0.73,318.92,0.74,20,842.63,600.88,39,297.2
btc-updown-15m-1766299500,1766299500,2025-12,1,600,0.24,18,0.25,111.92,165.92,434.84,0.75,111.92,0.76,18,434.84,165.92,15,297.2
btc-updown-15m-1766299500,1766299500,2025-12,1,690,0.12,157.34,0.13,70,613.34,162.42,0.87,70,0.88,157.34,162.42,613.34,18,297.2
btc-updown-15m-1766300400,1766300400,2025-12,0,300,0.64,224.14,0.66,102.25,1292.27,359.17,0.34,102.25,0.36,224.14,359.17,1292.27,21,299.3
btc-updown-15m-1766300400,1766300400,2025-12,0,450,0.79,0.76,0.8,319.96,364.68,1308.41,0.2,319.96,0.21,0.76,1308.41,364.68,2,299.3
btc-updown-15m-1766300400,1766300400,2025-12,0,600,0.82,21.59,0.84,411.09,695.62,809.09,0.16,411.09,0.18,21.59,809.09,695.62,41,299.3
