slug,startedAt,isWin,pnl,asOfTimeMs,symbol,session,hourOfDayUTC,dayOfWeekUTC,tf1h_atr14Pct,tf1h_bbWidth,tf1h_adx14,tf1h_ema20,tf1h_ema50,tf1h_ema20Over50,tf1h_rv20,tf1h_rv80,tf1h_rv20Over80,tf15m_hlRangePct,tf15m_wickRatio,tf15m_atr14Pct,tf15m_rv20,error
btc-updown-15m-1766372400,,true,2.17,1766372400000,BTCUSDT,ASIA,3,1,0.005225559402219726,0.012455218667223222,16.30186656270894,88394.182138937,88201.5437379505,0.002184070627593959,0.003430385677014391,0.0040501793097794305,0.8469713103149517,0.0018487119998605453,1.2569060773477136,0.003811271365258389,0.003482880851443397,
btc-updown-15m-1766373300,,true,2.23,1766373300000,BTCUSDT,ASIA,3,1,0.005225559402219726,0.012455218667223222,16.30186656270894,88394.182138937,88201.5437379505,0.002184070627593959,0.003430385677014391,0.0040501793097794305,0.8469713103149517,0.004007888232668903,1.8191379172975581,0.003819330395716273,0.0034581678486722387,
btc-updown-15m-1766374200,,true,2.76,1766374200000,BTCUSDT,ASIA,3,1,0.005225559402219726,0.012455218667223222,16.30186656270894,88394.182138937,88201.5437379505,0.002184070627593959,0.003430385677014391,0.0040501793097794305,0.8469713103149517,0.0030578305456566927,0.4420486610232554,0.0037569604033327302,0.0034859368465630313,
btc-updown-15m-1766396700,,true,2.46,1766396700000,BTCUSDT,EU,9,1,0.005045876013860424,0.017519929423832948,18.84061088618549,88676.09549312558,88372.26116280671,0.0034381187752923204,0.0033150760227464433,0.003284914896809723,1.0091817069495506,0.0025906796547444343,13.050303030303136,0.0030211261216403283,0.002200225278940215,
btc-updown-15m-1766399400,,true,2.21,1766399400000,BTCUSDT,EU,10,1,0.005085733016268798,0.019481261762850314,20.375050692097044,88785.9530654654,88429.46188437402,0.004031362099178093,0.002203873383103567,0.0033023632551548885,0.667362495529039,0.0017728226521614358,17.527972027968392,0.0029136704533174996,0.002249936375907474,
btc-updown-15m-1766400300,,true,3.05,1766400300000,BTCUSDT,EU,10,1,0.005085733016268798,0.019481261762850314,20.375050692097044,88785.9530654654,88429.46188437402,0.004031362099178093,0.002203873383103567,0.0033023632551548885,0.667362495529039,0.0017163520578665067,0.21901971652535557,0.0028241713285241505,0.0022512087538084117,
btc-updown-15m-1766403000,,true,2.17,1766403000000,BTCUSDT,EU,11,1,0.004926117163578063,0.02152015153307942,21.846692958200162,88880.5232498529,88482.42612769571,0.004499165987861264,0.0020953449866961244,0.003285830726044507,0.6376910928757754,0.002692167584727326,4.014959484728277,0.0026388393880647752,0.002212892375955609,
btc-updown-15m-1766403900,,true,2.17,1766403900000,BTCUSDT,EU,11,1,0.004926117163578063,0.02152015153307942,21.846692958200162,88880.5232498529,88482.42612769571,0.004499165987861264,0.0020953449866961244,0.003285830726044507,0.6376910928757754,0.0034975028179619933,9.903124999999221,0.002699148567433977,0.002202846675812831,
btc-updown-15m-1766404800,,true,2.85,1766404800000,BTCUSDT,EU,12,1,0.0049323722031603635,0.023502512422814273,23.579128072632344,88981.9429405437,88539.82623524863,0.004993421876844151,0.0020922729926115637,0.0028903554522963187,0.7238808607257293,0.002793685864902017,2.198624028539017,0.0027035402319704398,0.002186221671519245,
btc-updown-15m-1766405700,,true,2.46,1766405700000,BTCUSDT,EU,12,1,0.0049323722031603635,0.023502512422814273,23.579128072632344,88981.9429405437,88539.82623524863,0.004993421876844151,0.0020922729926115637,0.0028903554522963187,0.7238808607257293,0.0027151536732468342,0.8289483546960019,0.002700193482059357,0.002141463101723846,
