slug,PNL,isWin
btc-updown-15m-1766647800,2.36,true
btc-updown-15m-1766648700,3.05,true
btc-updown-15m-1766649600,-7.74,false
btc-updown-15m-1766651400,2.66,true
btc-updown-15m-1766652300,-6.75,false
btc-updown-15m-1766653200,2.66,true
btc-updown-15m-1766654100,-7.05,false
btc-updown-15m-1766655000,-6.95,false
btc-updown-15m-1766655900,2.66,true
btc-updown-15m-1766657700,2.76,true
btc-updown-15m-1766659500,2.26,true
btc-updown-15m-1766663100,2.46,true
btc-updown-15m-1766664000,-7.74,false
btc-updown-15m-1766666700,3.15,true
btc-updown-15m-1766667600,2.46,true
btc-updown-15m-1766669400,-7.24,false
btc-updown-15m-1766670300,2.46,true
btc-updown-15m-1766674800,2.95,true
btc-updown-15m-1766675700,2.75,true
btc-updown-15m-1766676600,-7.34,false
btc-updown-15m-1766677500,2.26,true
btc-updown-15m-1766678400,2.85,true
btc-updown-15m-1766679300,2.56,true
btc-updown-15m-1766680200,2.46,true
btc-updown-15m-1766682000,-7.93,false
btc-updown-15m-1766682900,2.76,true
btc-updown-15m-1766683800,3.15,true
btc-updown-15m-1766688300,-7.24,false
btc-updown-15m-1766689200,2.07,true
btc-updown-15m-1766691900,-6.79,false
btc-updown-15m-1766692800,1.99,true
btc-updown-15m-1766693700,2.26,true
btc-updown-15m-1766694600,2.07,true
btc-updown-15m-1766695500,2.26,true
btc-updown-15m-1766696400,-7.78,false
btc-updown-15m-1766697300,2.17,true
btc-updown-15m-1766699100,3.25,true
btc-updown-15m-1766700000,-6.65,false
btc-updown-15m-1766701800,-6.95,false
btc-updown-15m-1766707200,-7.54,false
btc-updown-15m-1766708100,2.56,true
btc-updown-15m-1766709000,-7.74,false
btc-updown-15m-1766709900,3.45,true
btc-updown-15m-1766710800,2.17,true
btc-updown-15m-1766713500,3.23,true
btc-updown-15m-1766714400,2.17,true
btc-updown-15m-1766716200,2.46,true
btc-updown-15m-1766718000,2.17,true
btc-updown-15m-1766719800,2.17,true
btc-updown-15m-1766726100,2.46,true
btc-updown-15m-1766727000,2.56,true
btc-updown-15m-1766728800,2.95,true
btc-updown-15m-1766732400,2.36,true
btc-updown-15m-1766735100,2.66,true
btc-updown-15m-1766736900,1.97,true
btc-updown-15m-1766737800,2.95,true
btc-updown-15m-1766738700,2.95,true
btc-updown-15m-1766741400,2.56,true
btc-updown-15m-1766743200,-6.9,false
btc-updown-15m-1766745900,-7.64,false
btc-updown-15m-1766746800,3.05,true
btc-updown-15m-1766747700,2.76,true
btc-updown-15m-1766749500,3.15,true
btc-updown-15m-1766751300,-7.93,false
btc-updown-15m-1766752200,-7.24,false
btc-updown-15m-1766753100,2.07,true
btc-updown-15m-1766754000,2.46,true
btc-updown-15m-1766754900,2.36,true
btc-updown-15m-1766755800,2.66,true
btc-updown-15m-1766756700,2.66,true
btc-updown-15m-1766758500,2.56,true
btc-updown-15m-1766759400,3.05,true
btc-updown-15m-1766761200,2.61,true
btc-updown-15m-1766763000,2.17,true
btc-updown-15m-1766763900,2.46,true
btc-updown-15m-1766766600,-6.65,false
btc-updown-15m-1766767500,2.56,true
btc-updown-15m-1766769300,3.25,true
btc-updown-15m-1766770200,-7.54,false
btc-updown-15m-1766771100,3.15,true
btc-updown-15m-1766772000,-6.85,false
btc-updown-15m-1766772900,3.25,true
btc-updown-15m-1766774700,2.66,true
btc-updown-15m-1766775600,2.85,true
btc-updown-15m-1766776500,2.95,true
btc-updown-15m-1766777400,3.15,true
btc-updown-15m-1766779200,-7.15,false
btc-updown-15m-1766780100,3.05,true
btc-updown-15m-1766781000,-7.15,false
btc-updown-15m-1766782800,2.66,true
btc-updown-15m-1766783700,3.05,true
btc-updown-15m-1766784600,2.66,true
btc-updown-15m-1766785500,-7.54,false
btc-updown-15m-1766786400,-7.74,false
btc-updown-15m-1766788200,-6.95,false
btc-updown-15m-1766789100,2.85,true
btc-updown-15m-1766790000,2.66,true
btc-updown-15m-1766792700,2.56,true
btc-updown-15m-1766794500,-7.34,false
btc-updown-15m-1766797200,2.85,true
btc-updown-15m-1766798100,2.85,true
btc-updown-15m-1766799000,2.85,true
btc-updown-15m-1766799900,3.35,true
btc-updown-15m-1766801700,2.17,true
btc-updown-15m-1766802600,-7.44,false
btc-updown-15m-1766804400,-7.15,false
btc-updown-15m-1766805300,2.43,true
btc-updown-15m-1766807100,2.46,true
btc-updown-15m-1766808900,2.56,true
btc-updown-15m-1766809800,3.35,true
btc-updown-15m-1766810700,2.43,true
btc-updown-15m-1766811600,-6.85,false
btc-updown-15m-1766812500,3.05,true
btc-updown-15m-1766814300,-7.24,false
btc-updown-15m-1766815200,2.95,true
btc-updown-15m-1766817900,3.35,true
btc-updown-15m-1766818800,2.46,true
btc-updown-15m-1766819700,-7.24,false
btc-updown-15m-1766820600,3.05,true
btc-updown-15m-1766823300,3.05,true
btc-updown-15m-1766824200,2.36,true
btc-updown-15m-1766825100,2.36,true
btc-updown-15m-1766826000,2.76,true
btc-updown-15m-1766828700,2.17,true
btc-updown-15m-1766829600,2.85,true
btc-updown-15m-1766832300,2.76,true
btc-updown-15m-1766833200,-6.85,false
btc-updown-15m-1766834100,-6.75,false
btc-updown-15m-1766835000,-6.85,false
btc-updown-15m-1766836800,-6.65,false
btc-updown-15m-1766837700,2.85,true
btc-updown-15m-1766838600,2.26,true
btc-updown-15m-1766840400,2.36,true
btc-updown-15m-1766841300,1.97,true
btc-updown-15m-1766844000,2.66,true
btc-updown-15m-1766846700,3.25,true
btc-updown-15m-1766847600,-7.34,false
btc-updown-15m-1766848500,2.56,true
btc-updown-15m-1766849400,2.46,true
btc-updown-15m-1766851200,-6.65,false
btc-updown-15m-1766852100,2.85,true
btc-updown-15m-1766853000,2.56,true
btc-updown-15m-1766853900,2.95,true
btc-updown-15m-1766854800,3.15,true
btc-updown-15m-1766855700,-7.24,false
btc-updown-15m-1766856600,-6.85,false
btc-updown-15m-1766857500,2.66,true
btc-updown-15m-1766859300,-7.64,false
btc-updown-15m-1766860200,3.35,true
btc-updown-15m-1766862900,-6.65,false
btc-updown-15m-1766865600,3.25,true
btc-updown-15m-1766866500,2.46,true
btc-updown-15m-1766870100,3.25,true
btc-updown-15m-1766871000,2.95,true
btc-updown-15m-1766871900,2.85,true
btc-updown-15m-1766872800,-7.15,false
btc-updown-15m-1766876400,2.95,true
btc-updown-15m-1766878200,3.25,true
btc-updown-15m-1766880900,3.35,true
btc-updown-15m-1766882700,1.97,true
btc-updown-15m-1766884500,2.46,true
btc-updown-15m-1766885400,2.66,true
btc-updown-15m-1766886300,3.25,true
btc-updown-15m-1766887200,2.36,true
