score_test,ev_test,kept_n_test,pnl_total_test,winrate_test,placebo_percentile,score_search,skip_pct_tv,ev_train,ev_val,instability_tv,kept_n_train,kept_n_val,pnl_total_tv,winrate_tv,chunk_valid_n,chunk_ev_std,chunk_beat_baseline_frac,is_single,rule
1.0292592592592593,1.0292592592592593,54,55.58,83.33333333333334,,-0.054144723696792074,0.31075697211155373,0.32435233160621757,0.2192481203007518,0.05255210565273288,386,133,154.35999999999999,76.10789980732177,8,0.3737634122467888,0.875,False,SKIP = (tf15m_wickRatio <= 0.100551206) OR (tf15m_hlRangePct <= 0.0004191261593 OR tf15m_hlRangePct >= 0.005677570903) OR (tf1h_bbWidth >= 0.0306926129)
1.0022641509433963,1.0022641509433963,53,53.120000000000005,83.01886792452831,,-0.08979816945181734,0.3266932270916335,0.3391052631578947,0.18015748031496048,0.0794738914214671,380,127,151.73999999999998,76.13412228796844,8,0.3870177735734407,0.75,False,SKIP = (tf15m_wickRatio <= 0.1322947635) OR (tf15m_hlRangePct <= 0.0004191261593 OR tf15m_hlRangePct >= 0.005677570903) OR (tf1h_bbWidth >= 0.0306926129)
0.9323364485981308,0.9323364485981308,107,99.75999999999999,82.2429906542056,,-0.02435420629735946,0.26294820717131473,0.3413098236775819,0.1970253164556962,0.07214225361094284,397,158,166.63,75.85585585585586,8,0.3155577336508135,0.75,False,SKIP = (tf15m_wickRatio <= 0.100551206) OR (tf15m_atr14Pct >= 0.003114683896) OR (tf15m_hlRangePct >= 0.004087772942)
0.9314018691588785,0.9314018691588785,107,99.66,82.2429906542056,,-0.07187600416403198,0.3120849933598937,0.3432564102564103,0.21218749999999992,0.06553445512820519,390,128,161.03000000000003,76.06177606177607,8,0.3965128436306909,0.75,False,SKIP = (tf15m_wickRatio <= 0.1322947635) OR (tf15m_hlRangePct <= 0.0004191261593 OR tf15m_hlRangePct >= 0.005677570903) OR (tf15m_atr14Pct >= 0.003114683896)
0.9218681318681319,0.9218681318681319,91,83.89,82.41758241758241,,-0.10771407933845917,0.4382470119521913,0.3278947368421052,0.5917,0.1319026315789474,323,100,165.07999999999998,76.8321513002364,8,0.4575893688010445,0.875,False,SKIP = (tf15m_hlRangePct <= 0.0005932537496 OR tf15m_hlRangePct >= 0.004087772942) OR (tf15m_wickRatio <= 0.1322947635 OR tf15m_wickRatio >= 8.419461199) OR (tf15m_atr14Pct >= 0.003114683896)
0.9179245283018869,0.9179245283018869,106,97.30000000000001,82.0754716981132,,-0.07870885259778715,0.27622841965471445,0.35030456852791875,0.14569536423841054,0.1023046021447541,394,151,160.01999999999998,75.77981651376146,8,0.33752366169014447,0.625,False,SKIP = (tf15m_wickRatio <= 0.1322947635) OR (tf15m_atr14Pct >= 0.003114683896) OR (tf15m_hlRangePct >= 0.004087772942)
0.9106666666666667,0.9106666666666667,105,95.62,81.9047619047619,,-0.04857230249605271,0.27091633466135456,0.36040920716112534,0.1970253164556962,0.08169194535271457,391,158,172.05,75.95628415300546,8,0.35033541910676835,0.875,False,SKIP = (tf15m_wickRatio <= 0.100551206) OR (tf15m_hlRangePct >= 0.003863715503) OR (tf15m_atr14Pct >= 0.003114683896)
0.9104716981132075,0.9104716981132075,106,96.50999999999999,82.0754716981132,94.5,0.024440588769109373,0.36786188579017265,0.37728531855955666,0.36034782608695637,0.008468746236300145,361,115,177.64,76.68067226890757,8,0.4253549278818935,0.75,False,SKIP = (tf15m_hlRangePct <= 0.0005932537496 OR tf15m_hlRangePct >= 0.004087772942) OR (tf15m_wickRatio <= 0.100551206) OR (tf15m_atr14Pct >= 0.003114683896)
0.8957692307692308,0.8957692307692308,104,93.16,81.73076923076923,,-0.0959389136441331,0.2841965471447543,0.3696907216494845,0.14569536423841054,0.111997678705537,388,151,165.44,75.88126159554731,8,0.3636000130610002,0.75,False,SKIP = (tf15m_wickRatio <= 0.1322947635) OR (tf15m_hlRangePct >= 0.003863715503) OR (tf15m_atr14Pct >= 0.003114683896)
0.8957142857142857,0.8957142857142857,105,94.05,81.9047619047619,,-0.008575366390410899,0.3798140770252324,0.38748603351955296,0.32256880733944954,0.03245861309005171,358,109,173.88,76.65952890792292,8,0.4355635005119586,0.75,False,SKIP = (tf15m_hlRangePct <= 0.0005932537496 OR tf15m_hlRangePct >= 0.004087772942) OR (tf15m_wickRatio <= 0.1322947635) OR (tf15m_atr14Pct >= 0.003114683896)
0.8952272727272728,0.8952272727272728,88,78.78,81.81818181818183,,-0.10200355474423489,0.3266932270916335,0.30477272727272725,0.14941935483870963,0.07767668621700881,352,155,130.43999999999997,75.34516765285996,8,0.3520062187951272,0.75,False,SKIP = (tf15m_wickRatio <= 0.100551206) OR (tf15m_atr14Pct >= 0.003114683896) OR (tf15m_hlRangePct >= 0.002688801682)
0.885,0.885,72,63.72,81.94444444444444,,-0.09895374365928042,0.28154050464807434,0.3026470588235293,0.2192481203007518,0.04169946926138876,408,133,152.63999999999996,75.97042513863215,8,0.4242480648088247,0.75,False,SKIP = (tf15m_wickRatio <= 0.100551206) OR (tf15m_hlRangePct <= 0.0004191261593 OR tf15m_hlRangePct >= 0.005677570903) OR (tf1h_bbWidth >= 0.03498540081)
0.8772413793103447,0.8772413793103447,87,76.32,81.60919540229885,,-0.13156031246222033,0.33997343957503323,0.31461318051575937,0.09479729729729723,0.10990794160923108,349,148,123.82999999999997,75.25150905432596,8,0.33850912553806745,0.75,False,SKIP = (tf15m_wickRatio <= 0.1322947635) OR (tf15m_atr14Pct >= 0.003114683896) OR (tf15m_hlRangePct >= 0.002688801682)
