slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760550300,16,0,0,4266
btc-updown-15m-1760551200,42,0,0,10518
btc-updown-15m-1760556600,0,0,0,0
btc-updown-15m-1760557500,38,2,2,9627
btc-updown-15m-1760559300,20,4,2,5262
btc-updown-15m-1760560200,46,4,2,11798
btc-updown-15m-1760561100,48,2,2,12328
btc-updown-15m-1760562000,30,0,0,7522
btc-updown-15m-1760563800,16,2,0,4224
btc-updown-15m-1760564700,14,0,0,3660
btc-updown-15m-1760565600,42,4,0,10761
btc-updown-15m-1760567400,32,0,0,8001
btc-updown-15m-1760568300,2,0,0,929
btc-updown-15m-1760569200,52,6,4,12940
btc-updown-15m-1760570100,42,4,0,10901
btc-updown-15m-1760571900,4,0,0,1306
btc-updown-15m-1760572800,42,2,0,10387
btc-updown-15m-1760573700,34,4,2,8803
btc-updown-15m-1760574600,14,4,4,3873
btc-updown-15m-1760576400,6,0,0,1450
btc-updown-15m-1760577300,16,0,0,4065
btc-updown-15m-1760578200,34,2,2,8714
btc-updown-15m-1760579100,28,2,2,7289
btc-updown-15m-1760580900,40,4,2,9999
btc-updown-15m-1760581800,32,2,2,7968
btc-updown-15m-1760582700,20,0,0,5109
btc-updown-15m-1760583600,38,10,6,9637
btc-updown-15m-1760585400,18,2,2,4615
btc-updown-15m-1760586300,30,2,0,7808
btc-updown-15m-1760587200,16,2,0,4142
btc-updown-15m-1760588100,26,4,0,6652
btc-updown-15m-1760589900,40,2,0,9950
btc-updown-15m-1760590800,50,6,4,12714
btc-updown-15m-1760591700,38,0,0,9714
btc-updown-15m-1760593500,6,2,2,1501
btc-updown-15m-1760594400,52,6,6,13027
btc-updown-15m-1760595300,38,4,2,9749
btc-updown-15m-1760596200,44,8,0,11044
btc-updown-15m-1760614200,52,6,6,13029
btc-updown-15m-1760615100,30,4,4,7867
btc-updown-15m-1760616000,16,0,0,4153
btc-updown-15m-1760616900,32,2,0,8191
btc-updown-15m-1760618700,38,2,0,9591
btc-updown-15m-1760619600,22,4,0,5754
btc-updown-15m-1760620500,26,0,0,6785
btc-updown-15m-1760621400,82,8,6,20437
btc-updown-15m-1760623200,44,8,6,11053
btc-updown-15m-1760624100,92,4,2,23266
btc-updown-15m-1760625000,64,6,2,16062
btc-updown-15m-1760625900,18,2,0,4807
btc-updown-15m-1760633100,28,4,4,7062
btc-updown-15m-1760634000,14,2,2,3556
btc-updown-15m-1760634900,72,0,0,18107
btc-updown-15m-1760635800,52,6,4,13089
btc-updown-15m-1760637600,34,2,0,8681
btc-updown-15m-1760638500,102,6,6,25890
btc-updown-15m-1760639400,42,6,4,10669
btc-updown-15m-1760641200,56,2,2,14198
btc-updown-15m-1760642100,98,6,4,24630
btc-updown-15m-1760643000,120,16,10,30334
btc-updown-15m-1760643900,52,6,6,13014
btc-updown-15m-1760645700,62,4,4,15709
btc-updown-15m-1760646600,50,0,0,12426
btc-updown-15m-1760647500,62,6,4,15796
btc-updown-15m-1760648400,38,6,4,9552
btc-updown-15m-1760650200,18,0,0,4844
btc-updown-15m-1760651100,16,0,0,4206
btc-updown-15m-1760652000,28,0,0,7270
btc-updown-15m-1760652900,44,2,2,11254
btc-updown-15m-1760654700,42,0,0,10617
btc-updown-15m-1760655600,28,2,0,7225
btc-updown-15m-1760656500,10,2,0,2481
btc-updown-15m-1760657400,16,4,2,3992
btc-updown-15m-1760659200,38,4,4,9716
btc-updown-15m-1760660100,40,8,6,9948
btc-updown-15m-1760661000,32,4,4,8107
btc-updown-15m-1760661900,42,4,2,10522
btc-updown-15m-1760663700,30,2,2,7909
btc-updown-15m-1760664600,32,4,0,7976
btc-updown-15m-1760665500,42,2,2,10595
btc-updown-15m-1760673600,0,0,0,0
btc-updown-15m-1760674500,26,4,2,6922
btc-updown-15m-1760675400,36,4,0,9263
btc-updown-15m-1760676300,8,0,0,2131
btc-updown-15m-1760678100,38,8,2,9758
btc-updown-15m-1760679000,26,4,4,6485
btc-updown-15m-1760679900,30,4,0,7470
btc-updown-15m-1760680800,54,4,0,13460
btc-updown-15m-1760682600,18,4,4,4819
btc-updown-15m-1760683500,74,4,0,18442
btc-updown-15m-1760684400,82,0,0,20503
btc-updown-15m-1760685300,96,4,4,24095
btc-updown-15m-1760687100,68,2,2,17241
btc-updown-15m-1760712300,0,0,0,0
btc-updown-15m-1760713200,30,2,2,7779
btc-updown-15m-1760714100,26,4,0,6596
btc-updown-15m-1760715900,26,2,2,6856
btc-updown-15m-1760716800,28,2,0,7177
btc-updown-15m-1760717700,78,4,0,19383
btc-updown-15m-1760718600,62,4,4,15455
btc-updown-15m-1760720400,52,6,2,13253
btc-updown-15m-1760721300,24,0,0,6052
btc-updown-15m-1760722200,46,2,0,11568
btc-updown-15m-1760724000,28,4,2,6947
btc-updown-15m-1760724900,30,2,2,7782
btc-updown-15m-1760725800,64,6,4,15638
btc-updown-15m-1760726700,42,2,0,10654
btc-updown-15m-1760728500,40,0,0,10131
btc-updown-15m-1760729400,18,0,0,4748
btc-updown-15m-1760730300,52,0,0,13128
btc-updown-15m-1760731200,36,2,0,9118
btc-updown-15m-1760733000,32,2,0,8214
btc-updown-15m-1760733900,28,4,4,7270
btc-updown-15m-1760734800,12,0,0,3254
btc-updown-15m-1760747400,30,6,2,7563
btc-updown-15m-1760749200,28,6,0,7079
btc-updown-15m-1760750100,18,0,0,4881
btc-updown-15m-1760751000,18,2,0,4748
btc-updown-15m-1760751900,22,2,2,5446
btc-updown-15m-1760753700,30,4,2,7746
btc-updown-15m-1760754600,16,0,0,3942
btc-updown-15m-1760755500,32,0,0,8197
btc-updown-15m-1760756400,16,0,0,4225
btc-updown-15m-1760758200,26,2,0,6547
btc-updown-15m-1760814900,10,0,0,2842
btc-updown-15m-1760815800,28,0,0,7288
btc-updown-15m-1760817600,26,0,0,6703
btc-updown-15m-1760818500,18,6,4,4806
btc-updown-15m-1760819400,32,10,10,8079
btc-updown-15m-1760820300,20,2,2,5216
btc-updown-15m-1760822100,22,4,4,5509
btc-updown-15m-1760823000,26,8,4,6415
btc-updown-15m-1760823900,16,4,0,4092
btc-updown-15m-1760824800,26,6,2,6815
btc-updown-15m-1760873400,0,0,0,0
btc-updown-15m-1760874300,50,6,2,12529
btc-updown-15m-1760875200,54,6,4,13429
btc-updown-15m-1760876100,56,8,0,14245
btc-updown-15m-1760877900,36,6,4,9178
btc-updown-15m-1760878800,26,8,2,6840
btc-updown-15m-1760879700,46,4,0,11644
btc-updown-15m-1760880600,28,4,0,7024
btc-updown-15m-1760882400,46,4,2,11563
btc-updown-15m-1760883300,10,0,0,2427
btc-updown-15m-1760884200,58,2,2,14335
btc-updown-15m-1760885100,34,2,0,8934
btc-updown-15m-1760886900,44,2,2,10951
btc-updown-15m-1760887800,38,2,0,9714
btc-updown-15m-1760888700,30,6,6,7376
btc-updown-15m-1760890500,36,4,0,9073
btc-updown-15m-1760891400,36,4,0,9176
btc-updown-15m-1760892300,22,2,0,5699
btc-updown-15m-1760893200,28,0,0,7262
btc-updown-15m-1760895000,38,0,0,9750
btc-updown-15m-1760940900,0,0,0,0
btc-updown-15m-1760941800,34,4,2,8537
btc-updown-15m-1760942700,54,6,2,13518
btc-updown-15m-1760944500,38,4,4,9596
btc-updown-15m-1760945400,36,2,2,8939
btc-updown-15m-1760946300,32,6,4,8149
btc-updown-15m-1760947200,42,2,2,10676
btc-updown-15m-1760949000,60,10,4,14883
btc-updown-15m-1760949900,18,2,0,4625
btc-updown-15m-1760950800,50,2,2,12431
btc-updown-15m-1760951700,14,2,2,3561
btc-updown-15m-1760953500,50,8,2,12479
btc-updown-15m-1760954400,58,10,6,14532
btc-updown-15m-1760955300,56,8,8,14099
btc-updown-15m-1760956200,0,0,0,119
btc-updown-15m-1760958000,68,10,6,17006
btc-updown-15m-1760958900,66,6,6,16356
btc-updown-15m-1760959800,48,2,0,11899
btc-updown-15m-1760961600,46,4,4,11737
btc-updown-15m-1760962500,50,8,6,12337
btc-updown-15m-1760963400,56,14,10,14141
btc-updown-15m-1760964300,52,8,8,12830
btc-updown-15m-1760966100,50,2,2,12338
btc-updown-15m-1760967000,78,6,2,19359
btc-updown-15m-1760967900,74,8,4,18737
btc-updown-15m-1760968800,74,2,2,18441
btc-updown-15m-1760974200,84,8,6,20985
btc-updown-15m-1760975100,78,14,10,19608
btc-updown-15m-1760976000,80,10,8,20258
btc-updown-15m-1760976900,80,6,6,20310
btc-updown-15m-1760978700,78,8,4,19648
btc-updown-15m-1760979600,72,4,2,18259
btc-updown-15m-1760980500,56,8,4,14365
btc-updown-15m-1760981400,20,10,4,5204
btc-updown-15m-1760983200,44,6,4,11201
btc-updown-15m-1760984100,58,6,4,14519
btc-updown-15m-1760985000,50,4,0,12545
btc-updown-15m-1760986800,50,2,0,12497
btc-updown-15m-1760987700,26,0,0,6538
btc-updown-15m-1760988600,60,8,6,15132
btc-updown-15m-1760989500,64,4,2,16188
btc-updown-15m-1760991300,46,8,6,11672
btc-updown-15m-1760992200,36,2,2,8807
btc-updown-15m-1760993100,32,2,0,8153
btc-updown-15m-1760994000,28,0,0,7199
btc-updown-15m-1760995800,16,2,2,4196
btc-updown-15m-1760996700,18,2,2,4817
btc-updown-15m-1760997600,38,10,6,9774
btc-updown-15m-1760998500,38,8,4,9823
btc-updown-15m-1761000300,30,10,6,7741
btc-updown-15m-1761001200,20,4,4,5059
btc-updown-15m-1761002100,26,4,2,6558
btc-updown-15m-1761003000,32,12,6,8072
btc-updown-15m-1761004800,20,2,0,5116
btc-updown-15m-1761005700,36,6,0,9241
btc-updown-15m-1761006600,36,4,0,8891
btc-updown-15m-1761007500,46,6,2,11160
btc-updown-15m-1761009300,30,2,0,7773
btc-updown-15m-1761010200,30,0,0,7878
btc-updown-15m-1761011100,30,0,0,7430
btc-updown-15m-1761012900,40,4,2,10259
btc-updown-15m-1761016500,54,4,2,13414
btc-updown-15m-1761017400,36,8,4,9326
btc-updown-15m-1761018300,16,2,0,4148
btc-updown-15m-1761020100,76,2,2,18877
btc-updown-15m-1761021000,36,4,4,9174
btc-updown-15m-1761021900,54,8,8,13429
btc-updown-15m-1761022800,72,4,4,18093
btc-updown-15m-1761024600,48,4,2,12223
btc-updown-15m-1761025500,38,8,8,9495
btc-updown-15m-1761026400,62,18,8,15452
btc-updown-15m-1761027300,10,0,0,2541
btc-updown-15m-1761036300,8,0,0,1969
btc-updown-15m-1761037200,54,6,4,13515
btc-updown-15m-1761038100,44,4,0,11003
btc-updown-15m-1761039000,40,0,0,9933
btc-updown-15m-1761040800,54,6,2,13012
btc-updown-15m-1761041700,18,0,0,4871
btc-updown-15m-1761042600,8,2,2,1907
btc-updown-15m-1761043500,4,0,0,987
btc-updown-15m-1761045300,34,0,0,8380
btc-updown-15m-1761046200,46,4,4,11395
btc-updown-15m-1761047100,20,4,2,4965
btc-updown-15m-1761048900,4,0,0,987
btc-updown-15m-1761049800,46,4,0,11601
btc-updown-15m-1761050700,16,2,0,4107
btc-updown-15m-1761051600,50,6,2,12238
btc-updown-15m-1761053400,88,2,0,21779
btc-updown-15m-1761054300,60,10,2,15004
btc-updown-15m-1761055200,20,0,0,4953
btc-updown-15m-1761056100,26,0,0,6721
btc-updown-15m-1761057900,4,0,0,1383
btc-updown-15m-1761058800,68,4,4,17037
btc-updown-15m-1761059700,58,0,0,14442
btc-updown-15m-1761060600,108,8,4,27066
btc-updown-15m-1761062400,102,14,10,25608
btc-updown-15m-1761063300,88,4,4,22228
btc-updown-15m-1761064200,98,16,4,24198
btc-updown-15m-1761065100,96,6,6,24128
btc-updown-15m-1761066900,22,2,2,5674
btc-updown-15m-1761067800,126,10,10,31556
btc-updown-15m-1761068700,86,0,0,21815
btc-updown-15m-1761069600,96,8,4,24004
btc-updown-15m-1761071400,6,0,0,1696
btc-updown-15m-1761072300,54,4,4,13672
btc-updown-15m-1761073200,74,6,6,18725
btc-updown-15m-1761075000,70,4,2,17519
btc-updown-15m-1761075900,62,4,0,15765
btc-updown-15m-1761076800,54,4,2,13433
btc-updown-15m-1761077700,32,2,0,8182
btc-updown-15m-1761079500,50,2,2,12394
btc-updown-15m-1761080400,54,0,0,13367
btc-updown-15m-1761081300,16,4,2,4223
btc-updown-15m-1761082200,20,2,0,5285
btc-updown-15m-1761084000,22,2,0,5596
btc-updown-15m-1761084900,30,2,2,7640
btc-updown-15m-1761085800,10,0,0,2519
btc-updown-15m-1761086700,46,4,2,11496
btc-updown-15m-1761088500,56,2,0,14113
btc-updown-15m-1761089400,14,0,0,3610
btc-updown-15m-1761090300,72,2,2,18187
btc-updown-15m-1761091200,72,6,4,18353
btc-updown-15m-1761093000,114,10,2,28401
btc-updown-15m-1761093900,56,6,2,14303
btc-updown-15m-1761094800,42,8,6,10559
btc-updown-15m-1761095700,44,10,2,11007
btc-updown-15m-1761097500,58,10,4,14465
btc-updown-15m-1761098400,44,2,0,10940
btc-updown-15m-1761099300,32,6,4,8074
btc-updown-15m-1761101100,50,4,4,12502
btc-updown-15m-1761102000,50,6,4,12723
btc-updown-15m-1761102900,42,8,4,10482
btc-updown-15m-1761103800,40,4,2,10264
btc-updown-15m-1761105600,30,2,0,7753
btc-updown-15m-1761106500,62,2,0,15441
btc-updown-15m-1761107400,42,4,0,10779
btc-updown-15m-1761108300,60,2,2,15283
btc-updown-15m-1761110100,40,4,0,9921
btc-updown-15m-1761111000,46,6,4,11408
btc-updown-15m-1761111900,42,2,0,10436
btc-updown-15m-1761112800,38,0,0,9611
btc-updown-15m-1761114600,60,4,2,15164
btc-updown-15m-1761115500,58,6,4,14359
btc-updown-15m-1761116400,30,2,2,7553
btc-updown-15m-1761117300,28,0,0,7135
btc-updown-15m-1761119100,62,2,2,15401
btc-updown-15m-1761120000,32,6,2,7910
btc-updown-15m-1761120900,48,0,0,11891
btc-updown-15m-1761121800,50,8,6,12852
btc-updown-15m-1761123600,40,2,2,9882
btc-updown-15m-1761124500,62,6,4,15500
btc-updown-15m-1761125400,48,2,0,11826
btc-updown-15m-1761127200,60,4,4,14768
btc-updown-15m-1761128100,52,4,0,12881
btc-updown-15m-1761129000,52,2,2,12949
btc-updown-15m-1761129900,60,6,4,14921
btc-updown-15m-1761131700,82,6,4,20134
btc-updown-15m-1761132600,60,4,2,15289
btc-updown-15m-1761133500,64,2,2,16000
btc-updown-15m-1761134400,72,6,4,18135
btc-updown-15m-1761136200,68,6,4,17318
btc-updown-15m-1761137100,56,4,4,14371
btc-updown-15m-1761138000,78,2,2,19787
btc-updown-15m-1761138900,78,6,4,19515
btc-updown-15m-1761140700,110,12,12,27450
btc-updown-15m-1761141600,66,8,4,16667
btc-updown-15m-1761147000,44,10,4,11224
btc-updown-15m-1761147900,98,12,6,24768
btc-updown-15m-1761149700,72,2,0,17941
btc-updown-15m-1761150600,98,10,4,24578
btc-updown-15m-1761151500,72,2,0,18034
btc-updown-15m-1761152400,46,2,0,11509
btc-updown-15m-1761154200,76,10,4,19268
btc-updown-15m-1761155100,78,10,8,19673
btc-updown-15m-1761156000,86,8,8,21605
btc-updown-15m-1761157800,82,6,2,20766
btc-updown-15m-1761158700,42,4,4,10410
btc-updown-15m-1761159600,40,0,0,10057
btc-updown-15m-1761160500,42,6,0,10524
btc-updown-15m-1761162300,68,2,2,16903
btc-updown-15m-1761163200,62,6,6,15659
btc-updown-15m-1761164100,24,0,0,6392
btc-updown-15m-1761165000,38,2,2,9598
btc-updown-15m-1761166800,14,0,0,3835
btc-updown-15m-1761174900,30,0,0,7539
btc-updown-15m-1761175800,56,4,0,14203
btc-updown-15m-1761176700,66,10,4,16640
btc-updown-15m-1761178500,62,6,4,15732
btc-updown-15m-1761179400,30,4,4,7546
btc-updown-15m-1761180300,28,4,4,7131
btc-updown-15m-1761181200,62,10,10,15670
btc-updown-15m-1761183000,68,6,2,16830
btc-updown-15m-1761183900,38,12,10,9657
btc-updown-15m-1761184800,52,4,4,12876
btc-updown-15m-1761185700,14,0,0,3471
btc-updown-15m-1761187500,84,16,10,20990
btc-updown-15m-1761188400,32,0,0,8346
btc-updown-15m-1761189300,22,2,2,5491
btc-updown-15m-1761191100,66,8,8,16645
btc-updown-15m-1761192000,58,8,8,14483
btc-updown-15m-1761192900,12,0,0,2911
btc-updown-15m-1761193800,42,0,0,10286
btc-updown-15m-1761195600,42,12,4,10393
btc-updown-15m-1761196500,36,0,0,9152
btc-updown-15m-1761197400,20,2,0,4956
btc-updown-15m-1761198300,8,0,0,2329
btc-updown-15m-1761200100,2,0,0,507
btc-updown-15m-1761201000,76,10,8,19163
btc-updown-15m-1761201900,74,6,4,18792
btc-updown-15m-1761202800,44,0,0,10934
btc-updown-15m-1761204600,30,0,0,7392
btc-updown-15m-1761205500,72,14,8,17984
btc-updown-15m-1761206400,12,0,0,2959
btc-updown-15m-1761207300,74,8,4,18492
btc-updown-15m-1761209100,64,6,4,15854
btc-updown-15m-1761210000,52,4,4,12924
btc-updown-15m-1761210900,44,6,4,11213
btc-updown-15m-1761211800,64,14,12,16382
btc-updown-15m-1761213600,64,6,4,16234
btc-updown-15m-1761214500,70,4,2,17398
btc-updown-15m-1761215400,74,6,6,18437
btc-updown-15m-1761217200,60,4,2,14770
btc-updown-15m-1761218100,42,6,2,10731
btc-updown-15m-1761219000,20,0,0,5047
btc-updown-15m-1761219900,102,14,12,25413
btc-updown-15m-1761221700,70,4,4,17576
btc-updown-15m-1761222600,80,8,8,20141
btc-updown-15m-1761223500,78,4,2,19538
btc-updown-15m-1761224400,48,12,10,12232
btc-updown-15m-1761226200,58,12,10,14495
btc-updown-15m-1761227100,100,10,10,25222
btc-updown-15m-1761228000,84,14,12,21233
btc-updown-15m-1761228900,88,6,6,21796
btc-updown-15m-1761230700,96,14,14,23921
btc-updown-15m-1761231600,82,12,12,20439
btc-updown-15m-1761232500,94,14,14,23777
btc-updown-15m-1761233400,102,22,18,25707
btc-updown-15m-1761235200,100,16,14,25173
btc-updown-15m-1761236100,76,6,6,19066
btc-updown-15m-1761237000,94,14,12,23710
btc-updown-15m-1761237900,32,2,2,7984
btc-updown-15m-1761239700,80,10,8,20129
btc-updown-15m-1761240600,32,8,8,8174
btc-updown-15m-1761241500,48,12,10,12087
btc-updown-15m-1761243300,82,14,8,20536
btc-updown-15m-1761244200,68,4,4,16919
btc-updown-15m-1761245100,80,14,12,19929
btc-updown-15m-1761246000,56,4,4,14126
btc-updown-15m-1761247800,46,8,8,11613
btc-updown-15m-1761248700,76,10,8,19188
btc-updown-15m-1761249600,56,6,6,14241
btc-updown-15m-1761250500,54,2,0,13369
btc-updown-15m-1761252300,80,6,4,20020
btc-updown-15m-1761253200,56,12,6,14038
btc-updown-15m-1761254100,54,10,6,13394
btc-updown-15m-1761255000,34,6,6,8559
btc-updown-15m-1761256800,22,0,0,5712
btc-updown-15m-1761257700,48,4,2,12198
btc-updown-15m-1761258600,50,8,0,12537
btc-updown-15m-1761259500,52,10,10,13242
btc-updown-15m-1761261300,64,8,4,15905
btc-updown-15m-1761262200,46,2,0,11732
btc-updown-15m-1761263100,46,4,2,11502
btc-updown-15m-1761264000,52,4,2,12865
btc-updown-15m-1761265800,32,0,0,8159
btc-updown-15m-1761266700,42,4,2,10621
btc-updown-15m-1761267600,68,8,6,17159
btc-updown-15m-1761277500,38,4,4,9754
btc-updown-15m-1761278400,44,2,0,11168
btc-updown-15m-1761279300,44,6,2,10985
btc-updown-15m-1761280200,68,8,6,16917
btc-updown-15m-1761282000,58,8,8,14568
btc-updown-15m-1761282900,56,6,6,13895
btc-updown-15m-1761283800,30,2,2,7834
btc-updown-15m-1761284700,58,2,2,14521
btc-updown-15m-1761286500,54,6,4,13495
btc-updown-15m-1761287400,30,2,2,7404
btc-updown-15m-1761288300,46,6,6,11295
btc-updown-15m-1761289200,50,8,6,12141
btc-updown-15m-1761291000,50,6,6,12108
btc-updown-15m-1761291900,60,6,4,15195
btc-updown-15m-1761292800,62,4,4,15541
btc-updown-15m-1761293700,48,4,4,11950
btc-updown-15m-1761295500,50,2,0,12628
btc-updown-15m-1761296400,62,8,8,15323
btc-updown-15m-1761297300,48,8,2,12190
btc-updown-15m-1761298200,38,4,4,9310
btc-updown-15m-1761300000,46,8,2,11539
btc-updown-15m-1761300900,30,12,12,7415
btc-updown-15m-1761301800,46,2,2,11621
btc-updown-15m-1761303600,48,6,4,12073
