slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1764871200,1764871200,2025-12,1,780,0.2,698,0.24,375,848.76,805.66,0.76,375,0.8,698,805.66,848.76,14,779.6
btc-updown-15m-1764871200,1764871200,2025-12,1,840,0.36,49.63,0.4,14,273.53,462,0.6,14,0.64,49.63,462,273.53,176,779.6
btc-updown-15m-1764871200,1764871200,2025-12,1,870,0.06,1200,0.07,245,1409,398.8,0.93,245,0.94,1200,398.8,1409,11,779.6
btc-updown-15m-1764871200,1764871200,2025-12,1,885,0.01,2401.18,0.02,152,2401.18,692.62,0.98,152,0.99,2401.18,692.62,2401.18,194,779.6
btc-updown-15m-1764871200,1764871200,2025-12,1,897,,,0.01,367,0,1930.31,0.99,367,,,1930.31,0,11,779.6
btc-updown-15m-1764871200,1764871200,2025-12,1,899,,,0.01,45.38,0,1472.38,0.99,45.38,,,1472.38,0,0,779.6
btc-updown-15m-1764872100,1764872100,2025-12,0,780,0.61,70,0.63,13.25,2818.23,630.25,0.37,13.25,0.39,70,630.25,2818.23,15,778.4
btc-updown-15m-1764872100,1764872100,2025-12,0,840,0.91,28,0.92,2046.73,325,2925.23,0.08,2046.73,0.09,28,2925.23,325,52,778.4
btc-updown-15m-1764872100,1764872100,2025-12,0,870,0.98,2539.42,0.99,1317.51,5128.53,1317.51,0.01,1317.51,0.02,2539.42,1317.51,5128.53,74,778.4
btc-updown-15m-1764872100,1764872100,2025-12,0,885,0.99,1886.27,,,6841.24,0,,,0.01,1886.27,0,6841.24,427,778.4
btc-updown-15m-1764872100,1764872100,2025-12,0,897,0.99,3986.88,,,6988.85,0,,,0.01,3986.88,0,6988.85,367,778.4
btc-updown-15m-1764872100,1764872100,2025-12,0,899,0.99,4632.95,,,7634.92,0,,,0.01,4632.95,0,7634.92,53,778.4
btc-updown-15m-1764873000,1764873000,2025-12,1,780,,,0.01,2192.48,0,4908.54,0.99,2192.48,,,4908.54,0,711,769.1
btc-updown-15m-1764873000,1764873000,2025-12,1,840,,,0.01,3999.26,0,6950.99,0.99,3999.26,,,6950.99,0,1803,769.1
btc-updown-15m-1764873000,1764873000,2025-12,1,870,,,0.01,4811.63,0,7698.36,0.99,4811.63,,,7698.36,0,126,769.1
btc-updown-15m-1764873000,1764873000,2025-12,1,885,,,0.01,4926.83,0,7908.56,0.99,4926.83,,,7908.56,0,527,769.1
btc-updown-15m-1764873000,1764873000,2025-12,1,897,,,0.01,5675.6,0,6479.33,0.99,5675.6,,,6479.33,0,151,769.1
btc-updown-15m-1764873000,1764873000,2025-12,1,899,,,0.01,5765.4,0,6669.13,0.99,5765.4,,,6669.13,0,5,769.1
btc-updown-15m-1764873900,1764873900,2025-12,0,780,0.48,70,0.49,179.89,363,2620.89,0.51,179.89,0.52,70,2620.89,363,4,778.9
btc-updown-15m-1764873900,1764873900,2025-12,0,840,0.87,12,0.9,205,2216.48,245.72,0.1,205,0.13,12,245.72,2216.48,3,778.9
btc-updown-15m-1764873900,1764873900,2025-12,0,870,0.98,25,0.99,557.57,2478.66,557.57,0.01,557.57,0.02,25,557.57,2478.66,199,778.9
btc-updown-15m-1764873900,1764873900,2025-12,0,885,0.99,1221.07,,,3386.47,0,,,0.01,1221.07,0,3386.47,311,778.9
btc-updown-15m-1764873900,1764873900,2025-12,0,897,0.99,1895.9,,,2225.9,0,,,0.01,1895.9,0,2225.9,73,778.9
btc-updown-15m-1764873900,1764873900,2025-12,0,899,0.99,2451.9,,,2889.9,0,,,0.01,2451.9,0,2889.9,145,778.9
btc-updown-15m-1764874800,1764874800,2025-12,1,780,,,0.01,2248.7,0,3651.03,0.99,2248.7,,,3651.03,0,323,722
btc-updown-15m-1764874800,1764874800,2025-12,1,840,,,0.01,4273.37,0,7954.37,0.99,4273.37,,,7954.37,0,27,722
btc-updown-15m-1764874800,1764874800,2025-12,1,870,,,0.01,4418.47,0,7489.45,0.99,4418.47,,,7489.45,0,164,722
btc-updown-15m-1764874800,1764874800,2025-12,1,885,,,0.01,4439.63,0,6032.61,0.99,4439.63,,,6032.61,0,395,722
btc-updown-15m-1764874800,1764874800,2025-12,1,897,,,0.01,5032.19,0,6116.17,0.99,5032.19,,,6116.17,0,26,722
btc-updown-15m-1764874800,1764874800,2025-12,1,899,,,0.01,5041.19,0,6225.17,0.99,5041.19,,,6225.17,0,819,722
btc-updown-15m-1764876600,1764876600,2025-12,0,780,0.99,7013.06,,,7827.81,0,,,0.01,7013.06,0,7827.81,410,752
btc-updown-15m-1764876600,1764876600,2025-12,0,840,0.99,10385.19,,,11033.94,0,,,0.01,10385.19,0,11033.94,255,752
btc-updown-15m-1764876600,1764876600,2025-12,0,870,0.99,10463.42,,,11605.17,0,,,0.01,10463.42,0,11605.17,5,752
btc-updown-15m-1764876600,1764876600,2025-12,0,885,0.99,10509.48,,,11598.23,0,,,0.01,10509.48,0,11598.23,81,752
btc-updown-15m-1764876600,1764876600,2025-12,0,897,0.99,10687.68,,,11776.43,0,,,0.01,10687.68,0,11776.43,323,752
btc-updown-15m-1764876600,1764876600,2025-12,0,899,0.99,10867.48,,,11856.23,0,,,0.01,10867.48,0,11856.23,42,752
btc-updown-15m-1764877500,1764877500,2025-12,0,780,0.85,336.6,0.87,31,611.9,967.3,0.13,31,0.15,336.6,967.3,611.9,1,776.5
btc-updown-15m-1764877500,1764877500,2025-12,0,840,0.85,16.29,0.88,488,623.29,1736.8,0.12,488,0.15,16.29,1736.8,623.29,28,776.5
btc-updown-15m-1764877500,1764877500,2025-12,0,870,0.95,86,0.97,2526,705.95,7300.56,0.03,2526,0.05,86,7300.56,705.95,46,776.5
btc-updown-15m-1764877500,1764877500,2025-12,0,885,0.92,106,0.93,2042.37,727.2,2157.37,0.07,2042.37,0.08,106,2157.37,727.2,7,776.5
btc-updown-15m-1764877500,1764877500,2025-12,0,897,0.97,70,0.98,638.13,642,4053.95,0.02,638.13,0.03,70,4053.95,642,4,776.5
btc-updown-15m-1764877500,1764877500,2025-12,0,899,0.97,50,0.99,529.31,145,529.31,0.01,529.31,0.03,50,529.31,145,5,776.5
btc-updown-15m-1764878400,1764878400,2025-12,0,780,0.32,2242,0.33,786.35,3135.2,925.87,0.67,786.35,0.68,2242,925.87,3135.2,39,779.6
btc-updown-15m-1764878400,1764878400,2025-12,0,840,0.93,165.58,0.95,2140.36,587.75,2476.36,0.05,2140.36,0.07,165.58,2476.36,587.75,51,779.6
