slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1778123700,1778123700,2026-05,1,780,0.04,33.3,0.041,30.83,163.85,40.83,0.959,30.83,0.96,33.3,40.83,163.85,6,778.1
btc-updown-15m-1778123700,1778123700,2026-05,1,840,0.004,78.83,0.006,51,5507.65,261,0.994,51,0.996,78.83,261,5507.65,11,778.1
btc-updown-15m-1778123700,1778123700,2026-05,1,870,0.001,5178.82,0.002,205,5178.82,1873.65,0.998,205,0.999,5178.82,1873.65,5178.82,23,778.1
btc-updown-15m-1778123700,1778123700,2026-05,1,885,0.001,3554.33,0.002,1511.71,3554.33,3343.69,0.998,1511.71,0.999,3554.33,3343.69,3554.33,221,778.1
btc-updown-15m-1778123700,1778123700,2026-05,1,897,,,0.001,542.52,0,987.52,0.999,542.52,,,987.52,0,70,778.1
btc-updown-15m-1778123700,1778123700,2026-05,1,899,,,0.001,6801.39,0,7246.39,0.999,6801.39,,,7246.39,0,39,778.1
btc-updown-15m-1778125500,1778125500,2026-05,1,780,,,0.01,1076.99,0,3736.57,0.99,1076.99,,,3736.57,0,206,776.6
btc-updown-15m-1778125500,1778125500,2026-05,1,840,,,0.01,3792.91,0,6700.25,0.99,3792.91,,,6700.25,0,217,776.6
btc-updown-15m-1778125500,1778125500,2026-05,1,870,,,0.01,13904.87,0,15904.21,0.99,13904.87,,,15904.21,0,216,776.6
btc-updown-15m-1778125500,1778125500,2026-05,1,885,,,0.01,16889.42,0,18494,0.99,16889.42,,,18494,0,20,776.6
btc-updown-15m-1778125500,1778125500,2026-05,1,897,,,0.01,22874.07,0,23477.17,0.99,22874.07,,,23477.17,0,23,776.6
btc-updown-15m-1778125500,1778125500,2026-05,1,899,,,0.01,30627.65,0,31230.75,0.99,30627.65,,,31230.75,0,17,776.6
btc-updown-15m-1778126400,1778126400,2026-05,0,780,0.45,261.06,0.47,19.36,591.06,92.36,0.53,19.36,0.55,261.06,92.36,591.06,0,775.8
btc-updown-15m-1778126400,1778126400,2026-05,0,840,0.8,53.9,0.81,45.29,112.4,123.29,0.19,45.29,0.2,53.9,123.29,112.4,11,775.8
btc-updown-15m-1778126400,1778126400,2026-05,0,870,0.98,501.23,0.99,1242.48,1171.19,1242.48,0.01,1242.48,0.02,501.23,1242.48,1171.19,3,775.8
btc-updown-15m-1778126400,1778126400,2026-05,0,885,0.99,7959.87,,,8859.69,0,,,0.01,7959.87,0,8859.69,17,775.8
btc-updown-15m-1778126400,1778126400,2026-05,0,897,0.99,9456.76,,,9897.09,0,,,0.01,9456.76,0,9897.09,18,775.8
btc-updown-15m-1778126400,1778126400,2026-05,0,899,0.99,24589,,,25929.33,0,,,0.01,24589,0,25929.33,22,775.8
btc-updown-15m-1778127300,1778127300,2026-05,0,780,0.89,24.02,0.9,93.18,313.1,418.92,0.1,93.18,0.11,24.02,418.92,313.1,7,778
btc-updown-15m-1778127300,1778127300,2026-05,0,840,0.94,2.67,0.95,5,85.67,1608.69,0.05,5,0.06,2.67,1608.69,85.67,0,778
btc-updown-15m-1778127300,1778127300,2026-05,0,870,0.99,2742.25,,,3989.81,0,,,0.01,2742.25,0,3989.81,7,778
btc-updown-15m-1778127300,1778127300,2026-05,0,885,0.98,16,0.99,367.62,332.65,367.62,0.01,367.62,0.02,16,367.62,332.65,3,778
btc-updown-15m-1778127300,1778127300,2026-05,0,897,0.99,5849.3,,,5991.95,0,,,0.01,5849.3,0,5991.95,10,778
btc-updown-15m-1778127300,1778127300,2026-05,0,899,0.99,26881.8,,,27024.45,0,,,0.01,26881.8,0,27024.45,12,778
btc-updown-15m-1778128200,1778128200,2026-05,1,780,0.04,525.5,0.05,185.92,2704.23,1298.55,0.95,185.92,0.96,525.5,1298.55,2704.23,166,772.1
btc-updown-15m-1778128200,1778128200,2026-05,1,840,0.04,131.3,0.05,462.52,1458.3,1229.69,0.95,462.52,0.96,131.3,1229.69,1458.3,78,772.1
