slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1777898700,1777898700,2026-05,1,780,0.35,18.6,0.36,999.85,370.6,1550.95,0.64,999.85,0.65,18.6,1550.95,370.6,25,778.5
btc-updown-15m-1777898700,1777898700,2026-05,1,840,0.14,60.25,0.15,516.55,880.09,1698.43,0.85,516.55,0.86,60.25,1698.43,880.09,8,778.5
btc-updown-15m-1777898700,1777898700,2026-05,1,870,0.05,150.35,0.06,215.05,414.05,435.92,0.94,215.05,0.95,150.35,435.92,414.05,13,778.5
btc-updown-15m-1777898700,1777898700,2026-05,1,885,,,0.01,1530.3,0,2532.88,0.99,1530.3,,,2532.88,0,12,778.5
btc-updown-15m-1777898700,1777898700,2026-05,1,897,,,0.01,12136.57,0,12672.57,0.99,12136.57,,,12672.57,0,230,778.5
btc-updown-15m-1777898700,1777898700,2026-05,1,899,,,0.01,27152.35,0,27688.35,0.99,27152.35,,,27688.35,0,18,778.5
btc-updown-15m-1777900500,1777900500,2026-05,0,780,0.8,2073.52,0.81,30.93,2841.45,79.91,0.19,30.93,0.2,2073.52,79.91,2841.45,1,779.9
btc-updown-15m-1777900500,1777900500,2026-05,0,840,0.86,250.42,0.87,63.97,934.69,93.27,0.13,63.97,0.14,250.42,93.27,934.69,1,779.9
btc-updown-15m-1777900500,1777900500,2026-05,0,870,0.98,312.27,0.99,838.29,995.72,838.29,0.01,838.29,0.02,312.27,838.29,995.72,13,779.9
btc-updown-15m-1777900500,1777900500,2026-05,0,885,0.99,2158.91,,,2789.68,0,,,0.01,2158.91,0,2789.68,20,779.9
btc-updown-15m-1777900500,1777900500,2026-05,0,897,0.99,5741.66,,,6287.43,0,,,0.01,5741.66,0,6287.43,19,779.9
btc-updown-15m-1777900500,1777900500,2026-05,0,899,0.99,14749.32,,,15295.09,0,,,0.01,14749.32,0,15295.09,9,779.9
btc-updown-15m-1777901400,1777901400,2026-05,1,780,0.16,933.67,0.17,84.14,1313.5,915.34,0.83,84.14,0.84,933.67,915.34,1313.5,0,778.1
btc-updown-15m-1777901400,1777901400,2026-05,1,840,0.05,646.03,0.06,757.95,2493.21,2096.33,0.94,757.95,0.95,646.03,2096.33,2493.21,34,778.1
btc-updown-15m-1777901400,1777901400,2026-05,1,870,0.04,168.94,0.05,61.68,1145.42,401.65,0.95,61.68,0.96,168.94,401.65,1145.42,43,778.1
btc-updown-15m-1777901400,1777901400,2026-05,1,885,,,0.01,13855.1,0,14497.25,0.99,13855.1,,,14497.25,0,244,778.1
btc-updown-15m-1777901400,1777901400,2026-05,1,897,,,0.001,2151.35,0,19485.66,0.999,2151.35,,,19485.66,0,20,778.1
btc-updown-15m-1777901400,1777901400,2026-05,1,899,,,0.001,3019.7,0,3039.8,0.999,3019.7,,,3039.8,0,8,778.1
btc-updown-15m-1777902300,1777902300,2026-05,1,780,0.15,1336.33,0.16,8.65,1694.02,149.73,0.84,8.65,0.85,1336.33,149.73,1694.02,26,779
btc-updown-15m-1777902300,1777902300,2026-05,1,840,0.04,168.44,0.05,420.71,2809.94,1475.33,0.95,420.71,0.96,168.44,1475.33,2809.94,22,779
btc-updown-15m-1777902300,1777902300,2026-05,1,870,0.02,264.12,0.03,243.69,1656.51,1322.87,0.97,243.69,0.98,264.12,1322.87,1656.51,1,779
btc-updown-15m-1777902300,1777902300,2026-05,1,885,,,0.01,5689.58,0,6214.79,0.99,5689.58,,,6214.79,0,12,779
btc-updown-15m-1777902300,1777902300,2026-05,1,897,,,0.01,25105.72,0,25984.84,0.99,25105.72,,,25984.84,0,17,779
btc-updown-15m-1777902300,1777902300,2026-05,1,899,,,0.01,40345.7,0,41224.82,0.99,40345.7,,,41224.82,0,11,779
btc-updown-15m-1777903200,1777903200,2026-05,0,780,0.9,25,0.91,291.03,141.74,865.33,0.09,291.03,0.1,25,865.33,141.74,1,777
btc-updown-15m-1777903200,1777903200,2026-05,0,840,0.96,1218.62,0.97,847.64,1664.42,3406.66,0.03,847.64,0.04,1218.62,3406.66,1664.42,19,777
btc-updown-15m-1777903200,1777903200,2026-05,0,870,0.99,22915.96,,,23573.97,0,,,0.01,22915.96,0,23573.97,13,777
btc-updown-15m-1777903200,1777903200,2026-05,0,885,0.99,27804.46,,,28060.47,0,,,0.01,27804.46,0,28060.47,210,777
btc-updown-15m-1777903200,1777903200,2026-05,0,897,0.99,44286.85,,,44482.86,0,,,0.01,44286.85,0,44482.86,20,777
btc-updown-15m-1777903200,1777903200,2026-05,0,899,0.99,50557.85,,,50753.86,0,,,0.01,50557.85,0,50753.86,48,777
btc-updown-15m-1777905000,1777905000,2026-05,0,780,0.997,899.32,0.998,7.22,2517.53,3294.23,0.002,7.22,0.003,899.32,3294.23,2517.53,167,779.4
btc-updown-15m-1777905000,1777905000,2026-05,0,840,0.999,33812.78,,,36005.56,0,,,0.001,33812.78,0,36005.56,21,779.4
btc-updown-15m-1777905000,1777905000,2026-05,0,870,0.999,40468.73,,,42661.51,0,,,0.001,40468.73,0,42661.51,17,779.4
btc-updown-15m-1777905000,1777905000,2026-05,0,885,0.999,40368.73,,,42461.51,0,,,0.001,40368.73,0,42461.51,14,779.4
btc-updown-15m-1777905000,1777905000,2026-05,0,897,0.999,42906.43,,,44999.21,0,,,0.001,42906.43,0,44999.21,78,779.4
btc-updown-15m-1777905000,1777905000,2026-05,0,899,0.999,43764.77,,,45857.55,0,,,0.001,43764.77,0,45857.55,1,779.4
btc-updown-15m-1777905900,1777905900,2026-05,0,780,0.999,16625.25,,,17177.25,0,,,0.001,16625.25,0,17177.25,217,750.3
btc-updown-15m-1777905900,1777905900,2026-05,0,840,0.999,30904.13,,,31356.13,0,,,0.001,30904.13,0,31356.13,17,750.3
btc-updown-15m-1777905900,1777905900,2026-05,0,870,0.999,30804.13,,,31256.13,0,,,0.001,30804.13,0,31256.13,20,750.3
btc-updown-15m-1777905900,1777905900,2026-05,0,885,0.999,25609.14,,,25646.24,0,,,0.001,25609.14,0,25646.24,218,750.3
btc-updown-15m-1777905900,1777905900,2026-05,0,897,0.999,27981.87,,,28018.97,0,,,0.001,27981.87,0,28018.97,95,750.3
btc-updown-15m-1777905900,1777905900,2026-05,0,899,0.999,28832.67,,,28869.77,0,,,0.001,28832.67,0,28869.77,8,750.3
btc-updown-15m-1777906800,1777906800,2026-05,1,780,0.02,36.32,0.03,405.42,1794.89,1900.05,0.97,405.42,0.98,36.32,1900.05,1794.89,122,776.8
btc-updown-15m-1777906800,1777906800,2026-05,1,840,,,0.01,3019.11,0,5563.73,0.99,3019.11,,,5563.73,0,10,776.8
btc-updown-15m-1777906800,1777906800,2026-05,1,870,,,0.001,910.01,0,3042.02,0.999,910.01,,,3042.02,0,15,776.8
btc-updown-15m-1777906800,1777906800,2026-05,1,885,,,0.001,1402.32,0,2263.3,0.999,1402.32,,,2263.3,0,220,776.8
btc-updown-15m-1777906800,1777906800,2026-05,1,897,,,0.001,9147.05,0,10008.03,0.999,9147.05,,,10008.03,0,27,776.8
