slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1775298600,1775298600,2026-04,0,780,0.99,14935.64,,,16635.09,0,,,0.01,14935.64,0,16635.09,154,764
btc-updown-15m-1775298600,1775298600,2026-04,0,840,0.99,28663.24,,,30505.38,0,,,0.01,28663.24,0,30505.38,3,764
btc-updown-15m-1775298600,1775298600,2026-04,0,870,0.99,34239.99,,,36067.13,0,,,0.01,34239.99,0,36067.13,120,764
btc-updown-15m-1775298600,1775298600,2026-04,0,885,0.99,41557.35,,,42962.8,0,,,0.01,41557.35,0,42962.8,18,764
btc-updown-15m-1775298600,1775298600,2026-04,0,897,0.99,49681.02,,,50381.49,0,,,0.01,49681.02,0,50381.49,77,764
btc-updown-15m-1775298600,1775298600,2026-04,0,899,0.99,53285.01,,,53985.48,0,,,0.01,53285.01,0,53985.48,93,764
btc-updown-15m-1775299500,1775299500,2026-04,0,780,0.997,50,0.998,145.99,110.87,8942.05,0.002,145.99,0.003,50,8942.05,110.87,65,740
btc-updown-15m-1775299500,1775299500,2026-04,0,840,0.993,450.95,0.994,147.86,874.26,308.86,0.006,147.86,0.007,450.95,308.86,874.26,30,740
btc-updown-15m-1775299500,1775299500,2026-04,0,870,0.999,8642.8,,,12806.9,0,,,0.001,8642.8,0,12806.9,283,740
btc-updown-15m-1775299500,1775299500,2026-04,0,885,0.999,8510.65,,,12674.75,0,,,0.001,8510.65,0,12674.75,84,740
btc-updown-15m-1775299500,1775299500,2026-04,0,897,0.999,8880.56,,,9885.56,0,,,0.001,8880.56,0,9885.56,302,740
btc-updown-15m-1775299500,1775299500,2026-04,0,899,0.999,9201.16,,,10206.16,0,,,0.001,9201.16,0,10206.16,88,740
btc-updown-15m-1775300400,1775300400,2026-04,0,780,0.36,8.43,0.37,51,153.43,300.94,0.63,51,0.64,8.43,300.94,153.43,63,764.5
