slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1770365700,1770365700,2026-02,1,780,0.12,391.24,0.13,23.07,5030.17,1119.19,0.87,23.07,0.88,391.24,1119.19,5030.17,114,779.2
btc-updown-15m-1770365700,1770365700,2026-02,1,840,,,0.01,12178.62,0,17046.9,0.99,12178.62,,,17046.9,0,37,779.2
btc-updown-15m-1770365700,1770365700,2026-02,1,870,,,0.01,22259.08,0,27413.36,0.99,22259.08,,,27413.36,0,265,779.2
btc-updown-15m-1770365700,1770365700,2026-02,1,885,,,0.01,37921.44,0,42801.72,0.99,37921.44,,,42801.72,0,1,779.2
btc-updown-15m-1770365700,1770365700,2026-02,1,897,,,0.01,75646.39,0,78916.67,0.99,75646.39,,,78916.67,0,263,779.2
btc-updown-15m-1770365700,1770365700,2026-02,1,899,,,0.01,80318.4,0,83588.68,0.99,80318.4,,,83588.68,0,8,779.2
btc-updown-15m-1770366600,1770366600,2026-02,1,780,0.11,2196.67,0.12,509.58,3399.27,3040.97,0.88,509.58,0.89,2196.67,3040.97,3399.27,5,779.8
btc-updown-15m-1770366600,1770366600,2026-02,1,840,0.15,37,0.16,5,2847.5,2078.58,0.84,5,0.85,37,2078.58,2847.5,2,779.8
btc-updown-15m-1770366600,1770366600,2026-02,1,870,0.06,1756.03,0.07,39.63,2284.02,100.63,0.93,39.63,0.94,1756.03,100.63,2284.02,9,779.8
btc-updown-15m-1770366600,1770366600,2026-02,1,885,0.07,20.11,0.08,1642.97,336.11,2403.97,0.92,1642.97,0.93,20.11,2403.97,336.11,9,779.8
btc-updown-15m-1770366600,1770366600,2026-02,1,897,,,0.01,15019.2,0,15709.45,0.99,15019.2,,,15709.45,0,39,779.8
btc-updown-15m-1770366600,1770366600,2026-02,1,899,,,0.01,18772.49,0,19584.54,0.99,18772.49,,,19584.54,0,36,779.8
btc-updown-15m-1770367500,1770367500,2026-02,0,780,0.95,334.14,0.96,2777.27,3975.74,10321.84,0.04,2777.27,0.05,334.14,10321.84,3975.74,0,779.4
btc-updown-15m-1770367500,1770367500,2026-02,0,840,0.86,2619.54,0.87,9.98,4332.68,211.79,0.13,9.98,0.14,2619.54,211.79,4332.68,22,779.4
btc-updown-15m-1770367500,1770367500,2026-02,0,870,0.99,7972.73,,,11162.67,0,,,0.01,7972.73,0,11162.67,364,779.4
btc-updown-15m-1770367500,1770367500,2026-02,0,885,0.99,39138.12,,,41418.06,0,,,0.01,39138.12,0,41418.06,42,779.4
btc-updown-15m-1770367500,1770367500,2026-02,0,897,0.99,55901.74,,,58151.68,0,,,0.01,55901.74,0,58151.68,23,779.4
btc-updown-15m-1770367500,1770367500,2026-02,0,899,0.99,95675.31,,,97895.25,0,,,0.01,95675.31,0,97895.25,5,779.4
btc-updown-15m-1770368400,1770368400,2026-02,0,780,0.88,402.78,0.89,68,6493.66,3132.03,0.11,68,0.12,402.78,3132.03,6493.66,5,779.3
btc-updown-15m-1770368400,1770368400,2026-02,0,840,0.95,1950.8,0.97,743.87,3103.6,23379.69,0.03,743.87,0.05,1950.8,23379.69,3103.6,5,779.3
btc-updown-15m-1770368400,1770368400,2026-02,0,870,0.99,22155.78,,,29945.34,0,,,0.01,22155.78,0,29945.34,7,779.3
btc-updown-15m-1770368400,1770368400,2026-02,0,885,0.99,30085.7,,,37100.13,0,,,0.01,30085.7,0,37100.13,173,779.3
btc-updown-15m-1770368400,1770368400,2026-02,0,897,0.99,72403.51,,,77705.94,0,,,0.01,72403.51,0,77705.94,97,779.3
btc-updown-15m-1770368400,1770368400,2026-02,0,899,0.99,80367.41,,,85669.84,0,,,0.01,80367.41,0,85669.84,103,779.3
btc-updown-15m-1770369300,1770369300,2026-02,0,780,0.997,5,0.998,777.98,3018.39,5465.78,0.002,777.98,0.003,5,5465.78,3018.39,3,777.3
btc-updown-15m-1770369300,1770369300,2026-02,0,840,0.999,35365.65,,,38942.73,0,,,0.001,35365.65,0,38942.73,13,777.3
btc-updown-15m-1770369300,1770369300,2026-02,0,870,0.999,53656.96,,,63491.86,0,,,0.001,53656.96,0,63491.86,46,777.3
btc-updown-15m-1770369300,1770369300,2026-02,0,885,0.999,149800.27,,,159635.17,0,,,0.001,149800.27,0,159635.17,64,777.3
btc-updown-15m-1770369300,1770369300,2026-02,0,897,0.999,173082.26,,,180244.3,0,,,0.001,173082.26,0,180244.3,161,777.3
btc-updown-15m-1770369300,1770369300,2026-02,0,899,0.999,172424.25,,,179581.29,0,,,0.001,172424.25,0,179581.29,61,777.3
btc-updown-15m-1770371100,1770371100,2026-02,1,780,0.36,23.05,0.38,80,1309.22,2438.55,0.62,80,0.64,23.05,2438.55,1309.22,48,775.8
btc-updown-15m-1770371100,1770371100,2026-02,1,840,0.27,284.92,0.28,167.14,2309.02,709.64,0.72,167.14,0.73,284.92,709.64,2309.02,29,775.8
btc-updown-15m-1770371100,1770371100,2026-02,1,870,0.12,285,0.15,55.31,738.11,117.21,0.85,55.31,0.88,285,117.21,738.11,89,775.8
btc-updown-15m-1770371100,1770371100,2026-02,1,885,0.06,785.02,0.07,34.68,4221.58,1947.68,0.93,34.68,0.94,785.02,1947.68,4221.58,4,775.8
btc-updown-15m-1770371100,1770371100,2026-02,1,897,,,0.01,43277.82,0,44829.45,0.99,43277.82,,,44829.45,0,13,775.8
btc-updown-15m-1770371100,1770371100,2026-02,1,899,,,0.01,77553.07,0,79009.6,0.99,77553.07,,,79009.6,0,6,775.8
btc-updown-15m-1770372000,1770372000,2026-02,0,780,0.04,147.6,0.05,293.14,5888.65,6508.75,0.95,293.14,0.96,147.6,6508.75,5888.65,0,779.4
btc-updown-15m-1770372000,1770372000,2026-02,0,840,0.02,246.08,0.03,444.46,13680.18,3894.72,0.97,444.46,0.98,246.08,3894.72,13680.18,10,779.4
btc-updown-15m-1770372000,1770372000,2026-02,0,870,,,0.01,17298.46,0,18636.1,0.99,17298.46,,,18636.1,0,107,779.4
btc-updown-15m-1770372000,1770372000,2026-02,0,885,0.04,1079.25,0.05,1481.44,4009.88,3050.59,0.95,1481.44,0.96,1079.25,3050.59,4009.88,4,779.4
btc-updown-15m-1770372000,1770372000,2026-02,0,897,0.7,47.26,0.78,5,712.71,45,0.22,5,0.3,47.26,45,712.71,17,779.4
btc-updown-15m-1770372000,1770372000,2026-02,0,899,0.91,25,0.93,63.91,38,2617.18,0.07,63.91,0.09,25,2617.18,38,16,779.4
btc-updown-15m-1770372900,1770372900,2026-02,0,780,0.91,364.07,0.92,9114.12,5821.03,9906.12,0.08,9114.12,0.09,364.07,9906.12,5821.03,24,778.9
btc-updown-15m-1770372900,1770372900,2026-02,0,840,0.98,423.78,0.99,908.71,2169.1,908.71,0.01,908.71,0.02,423.78,908.71,2169.1,70,778.9
btc-updown-15m-1770372900,1770372900,2026-02,0,870,0.99,9612.77,,,11511.45,0,,,0.01,9612.77,0,11511.45,220,778.9
btc-updown-15m-1770372900,1770372900,2026-02,0,885,0.99,15840.73,,,17501.38,0,,,0.01,15840.73,0,17501.38,250,778.9
btc-updown-15m-1770372900,1770372900,2026-02,0,897,0.999,43505.55,,,118614.56,0,,,0.001,43505.55,0,118614.56,122,778.9
btc-updown-15m-1770372900,1770372900,2026-02,0,899,0.999,94229.16,,,174628.13,0,,,0.001,94229.16,0,174628.13,56,778.9
btc-updown-15m-1770373800,1770373800,2026-02,0,780,0.41,290.75,0.42,20.62,5811.34,1040.45,0.58,20.62,0.59,290.75,1040.45,5811.34,5,779.4
btc-updown-15m-1770373800,1770373800,2026-02,0,840,0.58,5,0.59,100.54,117,3152.88,0.41,100.54,0.42,5,3152.88,117,10,779.4
btc-updown-15m-1770373800,1770373800,2026-02,0,870,0.47,763.06,0.48,68,1094.06,172,0.52,68,0.53,763.06,172,1094.06,2,779.4
btc-updown-15m-1770373800,1770373800,2026-02,0,885,0.88,19.25,0.9,428.5,355.41,524.83,0.1,428.5,0.12,19.25,524.83,355.41,0,779.4
btc-updown-15m-1770373800,1770373800,2026-02,0,897,0.95,2250.72,0.96,184.52,3028.41,4755.92,0.04,184.52,0.05,2250.72,4755.92,3028.41,6,779.4
btc-updown-15m-1770373800,1770373800,2026-02,0,899,0.99,36626.49,,,36741.97,0,,,0.01,36626.49,0,36741.97,22,779.4
btc-updown-15m-1770374700,1770374700,2026-02,1,780,0.12,1528.84,0.13,21.54,6179.66,107.35,0.87,21.54,0.88,1528.84,107.35,6179.66,0,779.8
btc-updown-15m-1770374700,1770374700,2026-02,1,840,0.03,446.76,0.04,118.48,20398.89,1142.28,0.96,118.48,0.97,446.76,1142.28,20398.89,3,779.8
