slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1767282300,1767282300,2026-01,0,780,0.74,154.1,0.79,324.67,391.8,820.49,0.21,324.67,0.26,154.1,820.49,391.8,12,777.5
btc-updown-15m-1767282300,1767282300,2026-01,0,840,0.78,332.01,0.79,128,1334.87,658,0.21,128,0.22,332.01,658,1334.87,46,777.5
btc-updown-15m-1767282300,1767282300,2026-01,0,870,0.93,20,0.94,17.91,77.15,723.43,0.06,17.91,0.07,20,723.43,77.15,23,777.5
btc-updown-15m-1767282300,1767282300,2026-01,0,885,0.82,6,0.9,73,442.03,201.5,0.1,73,0.18,6,201.5,442.03,4,777.5
btc-updown-15m-1767282300,1767282300,2026-01,0,897,0.99,26713.28,,,37066.92,0,,,0.01,26713.28,0,37066.92,60,777.5
btc-updown-15m-1767282300,1767282300,2026-01,0,899,0.99,34941.06,,,45089,0,,,0.01,34941.06,0,45089,47,777.5
btc-updown-15m-1767283200,1767283200,2026-01,1,780,0.01,405.29,0.02,1045.51,405.29,3402.26,0.98,1045.51,0.99,405.29,3402.26,405.29,306,761.7
btc-updown-15m-1767283200,1767283200,2026-01,1,840,,,0.01,7986.33,0,10135.98,0.99,7986.33,,,10135.98,0,1031,761.7
btc-updown-15m-1767283200,1767283200,2026-01,1,870,,,0.01,12313.38,0,13851.53,0.99,12313.38,,,13851.53,0,57,761.7
btc-updown-15m-1767283200,1767283200,2026-01,1,885,,,0.01,14492.53,0,16075.12,0.99,14492.53,,,16075.12,0,294,761.7
btc-updown-15m-1767283200,1767283200,2026-01,1,897,,,0.01,16500.4,0,17992.2,0.99,16500.4,,,17992.2,0,20,761.7
btc-updown-15m-1767283200,1767283200,2026-01,1,899,,,0.01,19774.62,0,21266.42,0.99,19774.62,,,21266.42,0,58,761.7
btc-updown-15m-1767284100,1767284100,2026-01,0,780,0.34,120.2,0.38,83.13,244.2,669.13,0.62,83.13,0.66,120.2,669.13,244.2,4,778.4
btc-updown-15m-1767284100,1767284100,2026-01,0,840,0.7,7.8,0.72,31,42.8,677.73,0.28,31,0.3,7.8,677.73,42.8,9,778.4
btc-updown-15m-1767284100,1767284100,2026-01,0,870,0.98,830.3,0.99,6526.55,860.3,6526.55,0.01,6526.55,0.02,830.3,6526.55,860.3,3,778.4
btc-updown-15m-1767284100,1767284100,2026-01,0,885,0.99,2.76,,,88.37,0,,,0.01,2.76,0,88.37,7,778.4
btc-updown-15m-1767284100,1767284100,2026-01,0,897,0.99,2746.87,,,3296.36,0,,,0.01,2746.87,0,3296.36,184,778.4
btc-updown-15m-1767284100,1767284100,2026-01,0,899,0.99,9138.77,,,9708.82,0,,,0.01,9138.77,0,9708.82,159,778.4
btc-updown-15m-1767285000,1767285000,2026-01,1,780,0.7,119,0.73,17.41,275.61,53.41,0.27,17.41,0.3,119,53.41,275.61,320,779.1
btc-updown-15m-1767285000,1767285000,2026-01,1,840,0.31,3.3,0.32,50,168.9,170.39,0.68,50,0.69,3.3,170.39,168.9,25,779.1
btc-updown-15m-1767285000,1767285000,2026-01,1,870,,,0.01,29.99,0,1125.56,0.99,29.99,,,1125.56,0,80,779.1
btc-updown-15m-1767285000,1767285000,2026-01,1,885,0.02,352.34,0.03,162.29,1147.81,1242.91,0.97,162.29,0.98,352.34,1242.91,1147.81,45,779.1
btc-updown-15m-1767285000,1767285000,2026-01,1,897,,,0.01,3798.24,0,4357.73,0.99,3798.24,,,4357.73,0,325,779.1
btc-updown-15m-1767285000,1767285000,2026-01,1,899,,,0.01,7675.92,0,8240.6,0.99,7675.92,,,8240.6,0,138,779.1
btc-updown-15m-1767285900,1767285900,2026-01,0,780,0.98,263.8,0.99,7895.98,2485.27,7895.98,0.01,7895.98,0.02,263.8,7895.98,2485.27,46,772.8
btc-updown-15m-1767285900,1767285900,2026-01,0,840,0.99,6279.2,,,8159.29,0,,,0.01,6279.2,0,8159.29,121,772.8
btc-updown-15m-1767285900,1767285900,2026-01,0,870,0.99,6759.32,,,8547.41,0,,,0.01,6759.32,0,8547.41,834,772.8
btc-updown-15m-1767285900,1767285900,2026-01,0,885,0.99,6956.9,,,8697.99,0,,,0.01,6956.9,0,8697.99,292,772.8
btc-updown-15m-1767285900,1767285900,2026-01,0,897,0.99,9156.16,,,11395.15,0,,,0.01,9156.16,0,11395.15,162,772.8
btc-updown-15m-1767285900,1767285900,2026-01,0,899,0.99,13397.38,,,15636.37,0,,,0.01,13397.38,0,15636.37,218,772.8
btc-updown-15m-1767287700,1767287700,2026-01,0,780,0.99,8612.71,,,10404.81,0,,,0.01,8612.71,0,10404.81,181,752.9
btc-updown-15m-1767287700,1767287700,2026-01,0,840,0.99,17941.39,0.999,114.21,19735.59,114.21,0.001,114.21,0.01,17941.39,114.21,19735.59,57,752.9
btc-updown-15m-1767287700,1767287700,2026-01,0,870,0.999,4046.84,,,24480.8,0,,,0.001,4046.84,0,24480.8,107,752.9
btc-updown-15m-1767287700,1767287700,2026-01,0,885,0.999,4046.84,,,26104.77,0,,,0.001,4046.84,0,26104.77,191,752.9
btc-updown-15m-1767287700,1767287700,2026-01,0,897,0.999,5062.06,,,27204.03,0,,,0.001,5062.06,0,27204.03,248,752.9
btc-updown-15m-1767287700,1767287700,2026-01,0,899,0.999,5062.06,,,31752.21,0,,,0.001,5062.06,0,31752.21,4,752.9
btc-updown-15m-1767288600,1767288600,2026-01,0,780,0.99,6325.76,,,8322.41,0,,,0.01,6325.76,0,8322.41,82,690.7
btc-updown-15m-1767288600,1767288600,2026-01,0,840,0.99,5446.06,,,7246.51,0,,,0.01,5446.06,0,7246.51,706,690.7
btc-updown-15m-1767288600,1767288600,2026-01,0,870,0.99,6386.58,,,8168.23,0,,,0.01,6386.58,0,8168.23,694,690.7
btc-updown-15m-1767288600,1767288600,2026-01,0,885,0.99,6408.61,,,8173.26,0,,,0.01,6408.61,0,8173.26,121,690.7
