month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-11,840,down,two_sided,26,4,1,0.25,0.265,615.4,1045.3
2025-11,840,down,two_sided,28,13,3,0.2308,0.2831,76.4,332.0
2025-11,840,down,two_sided,30,12,2,0.1667,0.305,28.0,216.5
2025-11,840,down,two_sided,32,9,4,0.4444,0.3256,35.6,421.0
2025-11,840,down,two_sided,34,14,3,0.2143,0.3457,18.0,409.4
2025-11,840,down,two_sided,36,8,5,0.625,0.3675,82.0,764.6
2025-11,840,down,two_sided,38,8,3,0.375,0.3813,13.0,204.8
2025-11,840,down,two_sided,40,11,5,0.4545,0.4036,20.0,151.8
2025-11,840,down,two_sided,42,10,5,0.5,0.426,11.0,296.8
2025-11,840,down,two_sided,44,12,10,0.8333,0.4458,22.7,188.4
2025-11,840,down,two_sided,46,7,3,0.4286,0.4629,52.0,436.1
2025-11,840,down,two_sided,48,32,19,0.5938,0.4878,50544.0,96906.1
2025-11,840,down,two_sided,50,15,6,0.4,0.5013,114.3,107197.2
2025-11,840,down,two_sided,52,4,4,1.0,0.5225,46.5,127.6
2025-11,840,down,two_sided,54,9,7,0.7778,0.5467,35.0,83.0
2025-11,840,down,two_sided,56,15,12,0.8,0.5713,66.0,307.0
2025-11,840,down,two_sided,58,5,2,0.4,0.59,47.6,443.6
2025-11,840,down,two_sided,60,5,2,0.4,0.606,20.0,104.0
2025-11,840,down,two_sided,62,9,6,0.6667,0.6244,50.0,231.0
2025-11,840,down,two_sided,64,8,7,0.875,0.645,10.0,253.4
2025-11,840,down,two_sided,66,11,10,0.9091,0.6618,15.0,133.6
2025-11,840,down,two_sided,68,5,3,0.6,0.682,16.0,46.0
2025-11,840,down,two_sided,70,10,8,0.8,0.706,15.0,58.0
2025-11,840,down,two_sided,72,12,8,0.6667,0.7233,42.5,123.0
2025-11,840,down,two_sided,74,10,8,0.8,0.744,22.5,94.1
2025-11,840,down,two_sided,76,14,12,0.8571,0.765,31.9,169.4
2025-11,840,down,two_sided,78,10,9,0.9,0.785,19.0,115.3
2025-11,840,down,two_sided,80,22,21,0.9545,0.805,32.4,185.5
2025-11,840,down,two_sided,82,8,7,0.875,0.8263,14.0,57.0
2025-11,840,down,two_sided,84,25,21,0.84,0.8444,26.0,126.0
2025-11,840,down,two_sided,86,20,18,0.9,0.8655,15.4,85.0
2025-11,840,down,two_sided,88,19,19,1.0,0.8842,15.0,136.0
2025-11,840,down,two_sided,90,28,26,0.9286,0.905,25.0,294.0
2025-11,840,down,two_sided,92,24,23,0.9583,0.9242,42.2,170.2
2025-11,840,down,two_sided,94,47,45,0.9574,0.9457,30.0,271.5
2025-11,840,down,two_sided,96,57,56,0.9825,0.9649,90.0,452.0
2025-11,840,down,two_sided,98,66,66,1.0,0.9817,346.2,1136.3
2025-11,840,up,bid_only,96,5,5,1.0,0.968,238.9,431.0
2025-11,840,up,bid_only,98,558,557,0.9982,0.9899,2839.7,3898.9
