token,t_sec,band,n,p_win,avg_ask,dev_c,fn,p25_spread_c,med_spread_c,margin_c,dev_m_p50_c,z,months_agree,dev_lo_c,n_lo,dev_hi_c,n_hi,depth_take,n_stale,dev_fresh_c
UP,600,94,580,0.9552,0.9457,0.95,71,1.0,1.0,-1.53,-0.05,1.1,6,2.1,503,0.6,747,3454.0,4,0.92
UP,600,96,747,0.9719,0.9659,0.6,99,1.0,1.0,-1.9,-0.4,1.0,4,0.95,580,0.66,1051,5401.0,0,0.6
UP,600,98,1051,0.9933,0.9868,0.66,71,0.35,1.0,-1.23,-0.34,2.62,7,0.6,747,,,2032.0,0,0.66
UP,690,0,518,0.0039,0.0079,-0.41,121,0.4,1.0,-0.82,-1.41,-1.5,3,,,-1.44,1155,2653.0,0,-0.41
UP,690,2,1155,0.0104,0.0248,-1.44,96,1.0,1.0,-2.48,-2.44,-4.83,8,-0.41,518,-1.81,654,1293.0,2,-1.44
UP,690,4,654,0.026,0.0441,-1.81,76,1.0,1.0,-2.88,-2.81,-2.91,8,-1.44,1155,-2.2,517,1092.0,4,-1.8
UP,690,6,517,0.0426,0.0646,-2.2,56,1.0,1.0,-3.31,-3.2,-2.48,7,-1.81,654,-1.49,416,946.0,4,-2.17
UP,690,8,416,0.0697,0.0846,-1.49,50,1.0,1.0,-2.63,-2.49,-1.2,6,-2.2,517,-1.34,395,957.0,3,-1.44
UP,690,10,395,0.0911,0.1045,-1.34,45,1.0,1.0,-2.5,-2.34,-0.93,6,-1.49,416,-4.13,310,815.0,4,-1.25
UP,690,12,310,0.0839,0.1252,-4.13,28,1.0,1.0,-5.33,-5.13,-2.63,6,-1.34,395,-0.38,298,576.0,5,-3.99
UP,690,14,298,0.1409,0.1448,-0.38,31,1.0,1.0,-1.61,-1.38,-0.19,4,-4.13,310,-3.25,257,803.0,4,-0.18
UP,690,16,257,0.1323,0.1648,-3.25,23,1.0,1.0,-4.51,-4.25,-1.54,7,-0.38,298,-1.85,252,630.0,5,-2.99
UP,690,18,252,0.1667,0.1852,-1.85,35,1.0,1.0,-3.14,-2.85,-0.79,6,-3.25,257,0.28,236,770.0,2,-1.72
UP,690,20,236,0.2076,0.2048,0.28,15,1.0,1.0,-1.04,-0.72,0.11,4,-1.85,252,-2.57,221,668.0,4,0.64
UP,690,22,221,0.1991,0.2248,-2.57,23,1.0,1.0,-3.92,-3.57,-0.96,5,0.28,236,-0.64,197,960.0,2,-2.38
UP,690,24,197,0.2386,0.245,-0.64,29,1.0,1.0,-2.03,-1.64,-0.21,3,-2.57,221,-3.58,183,615.0,1,-1.03
UP,690,26,183,0.2295,0.2653,-3.58,24,1.0,1.0,-4.99,-4.58,-1.15,3,-0.64,197,-8.09,191,595.0,6,-4.49
UP,690,28,191,0.2042,0.2851,-8.09,16,1.0,1.0,-9.54,-9.09,-2.78,6,-3.58,183,-6.82,203,937.0,5,-8.61
UP,690,30,203,0.2365,0.3046,-6.82,22,1.0,1.5,-8.29,-8.32,-2.29,6,-8.09,191,-7.22,194,826.0,3,-7.46
UP,690,32,194,0.2526,0.3247,-7.22,21,1.0,1.0,-8.72,-8.22,-2.31,5,-6.82,203,0.64,148,782.0,4,-7.2
UP,690,36,171,0.3099,0.365,-5.51,13,1.0,1.0,-7.08,-6.51,-1.56,5,0.64,148,-0.13,146,534.0,1,-5.92
UP,690,40,165,0.4303,0.4049,2.54,12,1.0,1.0,0.91,1.54,0.66,4,-0.13,146,-1.64,181,513.0,3,2.72
UP,690,42,181,0.4088,0.4252,-1.64,11,1.0,1.0,-3.3,-2.64,-0.45,3,2.54,165,-1.97,155,279.0,5,-1.04
UP,690,44,155,0.4258,0.4455,-1.97,18,1.0,1.0,-3.67,-2.97,-0.5,3,-1.64,181,-0.68,155,1071.0,1,-1.69
UP,690,46,155,0.4581,0.4648,-0.68,16,1.0,1.0,-2.4,-1.68,-0.17,5,-1.97,155,3.01,165,456.0,10,1.1
UP,690,48,165,0.5152,0.4851,3.01,24,1.0,1.0,1.25,2.01,0.77,5,-0.68,155,-0.13,507,1607.0,19,3.56
UP,690,50,507,0.5049,0.5063,-0.13,49,1.0,1.0,-1.92,-1.13,-0.06,4,3.01,165,0.18,148,3257.0,335,4.73
UP,690,56,236,0.5381,0.5704,-3.22,23,1.0,1.0,-5.11,-4.22,-0.99,5,4.64,147,5.2,81,437.0,5,-3.37
UP,690,60,152,0.5855,0.6049,-1.93,21,1.0,1.0,-3.88,-2.93,-0.48,3,5.2,81,4.03,170,475.0,3,-0.75
UP,690,62,170,0.6647,0.6244,4.03,24,1.0,1.0,2.06,3.03,1.11,5,-1.93,152,-5.09,170,589.0,2,4.23
UP,690,64,170,0.5941,0.645,-5.09,18,1.0,1.0,-7.1,-6.09,-1.35,4,4.03,170,-3.01,167,687.0,3,-4.62
UP,690,66,167,0.6347,0.6648,-3.01,20,1.0,1.0,-5.05,-4.01,-0.81,4,-5.09,170,2.46,172,745.0,8,-2.96
UP,690,68,172,0.7093,0.6847,2.46,26,1.0,1.0,0.39,1.46,0.71,5,-3.01,167,3.7,167,519.0,4,2.96
UP,690,70,167,0.7425,0.7055,3.7,21,1.0,1.0,1.6,2.7,1.09,4,2.46,172,-2.68,202,664.0,4,3.06
UP,690,72,202,0.698,0.7249,-2.68,24,1.0,1.0,-4.81,-3.68,-0.83,4,3.7,167,-1.66,206,725.0,3,-2.63
UP,690,74,206,0.7282,0.7447,-1.66,25,1.0,1.0,-3.82,-2.66,-0.53,5,-2.68,202,2.67,211,324.0,4,-2.19
UP,690,76,211,0.7915,0.7648,2.67,30,1.0,1.0,0.48,1.67,0.95,5,-1.66,206,-1.13,203,663.0,2,2.46
UP,690,78,203,0.7734,0.7847,-1.13,22,1.0,1.0,-3.36,-2.13,-0.39,4,2.67,211,-0.6,209,816.0,4,-1.58
UP,690,80,209,0.799,0.805,-0.6,30,1.0,1.0,-2.86,-1.6,-0.22,3,-1.13,203,-5.31,246,752.0,4,-0.99
UP,690,82,246,0.7724,0.8255,-5.31,31,1.0,1.0,-7.6,-6.31,-1.99,7,-0.6,209,0.33,243,1011.0,4,-5.28
UP,690,84,243,0.8477,0.8445,0.33,35,1.0,1.0,-1.99,-0.67,0.14,4,-5.31,246,2.14,273,961.0,7,0.3
UP,690,86,273,0.8864,0.8651,2.14,43,1.0,1.0,-0.21,1.14,1.11,6,0.33,243,-1.18,293,1092.0,3,2.02
UP,690,88,293,0.8737,0.8855,-1.18,44,1.0,1.0,-3.56,-2.18,-0.61,4,2.14,273,1.78,363,960.0,4,-1.36
UP,690,90,363,0.9229,0.9051,1.78,49,1.0,1.0,-0.64,0.78,1.27,6,-1.18,293,-0.51,440,1085.0,4,1.69
UP,690,92,440,0.9205,0.9256,-0.51,60,1.0,1.0,-2.96,-1.51,-0.4,5,1.78,363,-1.22,553,1701.0,1,-0.53
UP,690,94,553,0.9331,0.9453,-1.22,68,1.0,1.0,-3.7,-2.22,-1.15,6,-0.51,440,-0.19,782,2572.0,5,-1.29
UP,690,96,782,0.9642,0.9661,-0.19,87,1.0,1.0,-2.7,-1.19,-0.28,5,-1.22,553,0.11,1796,5088.0,1,-0.19
UP,690,98,1796,0.9894,0.9884,0.11,133,0.2,1.0,-1.64,-0.89,0.44,5,-0.19,782,,,2349.0,3,0.1
