token,t_sec,band,n,p_win,avg_ask,dev_c,fn,p25_spread_c,med_spread_c,margin_c,dev_m_p50_c,z,months_agree,dev_lo_c,n_lo,dev_hi_c,n_hi,depth_take,n_stale,dev_fresh_c
DOWN,690,96,672,0.9747,0.9665,0.82,96,1.0,1.0,-1.69,-0.18,1.35,5,1.37,539,0.18,1745,4853.0,4,0.8
DOWN,690,98,1745,0.9903,0.9884,0.18,121,0.4,1.0,-1.76,-0.82,0.77,5,0.82,672,,,2656.0,2,0.18
UP,300,8,178,0.0674,0.0851,-1.77,23,1.0,1.0,-2.9,-2.77,-0.94,5,-1.08,109,-3.89,209,1148.0,0,-1.77
UP,300,10,209,0.067,0.1059,-3.89,31,1.0,1.0,-5.06,-4.89,-2.25,7,-1.77,178,-1.15,247,896.0,0,-3.89
UP,300,12,247,0.1134,0.1249,-1.15,25,1.0,1.0,-2.35,-2.15,-0.57,4,-3.89,209,-0.89,258,937.0,0,-1.15
UP,300,14,258,0.1357,0.1445,-0.89,33,1.0,1.0,-2.11,-1.89,-0.42,5,-1.15,247,-5.39,279,787.0,1,-0.83
UP,300,16,279,0.1111,0.165,-5.39,32,1.0,1.0,-6.65,-6.39,-2.87,8,-0.89,258,-2.73,317,995.0,1,-5.35
UP,300,18,317,0.1577,0.185,-2.73,47,1.0,1.0,-4.02,-3.73,-1.33,6,-5.39,279,-0.3,366,1154.0,0,-2.73
UP,300,20,366,0.2022,0.2052,-0.3,37,1.0,1.0,-1.62,-1.3,-0.14,6,-2.73,317,0.27,399,672.0,0,-0.3
UP,300,22,399,0.2281,0.2253,0.27,61,1.0,1.0,-1.08,-0.73,0.13,5,-0.3,366,-0.8,392,900.0,0,0.27
UP,300,24,392,0.2372,0.2453,-0.8,48,1.0,1.0,-2.19,-1.8,-0.37,3,0.27,399,0.85,409,766.0,0,-0.8
UP,300,26,409,0.2738,0.2653,0.85,40,1.0,1.0,-0.56,-0.15,0.39,5,-0.8,392,-3.92,390,821.0,1,0.68
UP,300,28,390,0.2462,0.2853,-3.92,53,1.0,1.0,-5.36,-4.92,-1.79,5,0.85,409,0.31,386,677.0,1,-3.85
UP,300,30,386,0.3083,0.3052,0.31,44,1.0,1.0,-1.17,-0.69,0.13,4,-3.92,390,-1.83,421,754.0,2,0.47
UP,300,32,421,0.3064,0.3247,-1.83,53,1.0,1.0,-3.33,-2.83,-0.81,5,0.31,386,-1.9,439,601.0,2,-1.68
UP,300,34,439,0.3257,0.3448,-1.9,55,1.0,1.0,-3.44,-2.9,-0.85,5,-1.83,421,0.09,476,734.0,0,-1.9
UP,300,36,476,0.3655,0.3646,0.09,48,1.0,1.0,-1.48,-0.91,0.04,4,-1.9,439,-0.01,452,708.0,0,0.09
UP,300,38,452,0.385,0.385,-0.01,46,1.0,1.0,-1.61,-1.01,-0.0,4,0.09,476,4.63,483,593.0,1,-0.14
UP,300,40,483,0.4513,0.405,4.63,55,1.0,1.0,3.0,3.63,2.05,6,-0.01,452,-0.94,419,679.0,1,4.73
UP,300,42,419,0.4153,0.4246,-0.94,61,1.0,1.0,-2.6,-1.94,-0.39,6,4.63,483,-1.0,462,595.0,3,-0.64
UP,300,44,462,0.4351,0.445,-1.0,62,1.0,1.0,-2.69,-2.0,-0.43,7,-0.94,419,4.13,484,799.0,2,-0.8
UP,300,46,484,0.5062,0.4649,4.13,55,1.0,1.0,2.4,3.13,1.82,6,-1.0,462,5.02,469,742.0,6,4.55
UP,300,48,469,0.5352,0.485,5.02,59,1.0,1.0,3.26,4.02,2.18,6,4.13,484,-3.59,830,943.0,20,5.17
UP,300,50,830,0.4699,0.5058,-3.59,82,1.0,1.0,-5.38,-4.59,-2.07,8,5.02,469,-2.21,444,1306.0,361,-3.59
UP,300,52,444,0.5023,0.5244,-2.21,59,1.0,1.0,-4.03,-3.21,-0.93,5,-3.59,830,-1.59,427,705.0,21,-1.86
UP,300,54,427,0.5293,0.5452,-1.59,53,1.0,1.0,-3.45,-2.59,-0.66,3,-2.21,444,-2.97,637,533.0,12,-1.75
UP,300,56,637,0.54,0.5697,-2.97,49,1.0,1.0,-4.86,-3.97,-1.5,5,-1.59,427,2.5,213,969.0,3,-3.03
UP,300,58,213,0.615,0.59,2.5,41,1.0,1.0,0.58,1.5,0.75,4,-2.97,637,-3.06,430,774.0,0,2.5
UP,300,60,430,0.5744,0.605,-3.06,42,1.0,1.0,-5.0,-4.06,-1.28,7,2.5,213,-3.95,420,861.0,1,-2.93
UP,300,62,420,0.5857,0.6252,-3.95,35,1.0,1.0,-5.92,-4.95,-1.64,8,-3.06,430,-3.8,407,666.0,1,-4.04
UP,300,64,407,0.6069,0.6448,-3.8,46,1.0,1.0,-5.8,-4.8,-1.57,6,-3.95,420,-3.05,444,712.0,1,-3.89
UP,300,66,444,0.6351,0.6656,-3.05,45,1.0,1.0,-5.09,-4.05,-1.33,6,-3.8,407,3.6,444,1206.0,1,-3.13
UP,300,68,444,0.7207,0.6847,3.6,53,1.0,1.0,1.53,2.6,1.69,7,-3.05,444,-1.46,438,819.0,0,3.6
UP,300,70,438,0.6895,0.7041,-1.46,59,1.0,1.0,-3.56,-2.46,-0.66,5,3.6,444,0.47,426,837.0,1,-1.53
UP,300,72,426,0.73,0.7253,0.47,54,1.0,1.0,-1.66,-0.53,0.22,6,-1.46,438,0.02,427,665.0,1,0.41
UP,300,74,427,0.7447,0.7445,0.02,49,1.0,1.0,-2.14,-0.98,0.01,5,0.47,426,-1.03,404,698.0,0,0.02
UP,300,76,404,0.755,0.7652,-1.03,40,1.0,1.0,-3.22,-2.03,-0.48,5,0.02,427,-2.03,357,948.0,0,-1.03
UP,300,78,357,0.7647,0.785,-2.03,52,1.0,1.0,-4.25,-3.03,-0.9,5,-1.03,404,0.65,376,774.0,0,-2.03
UP,300,80,376,0.8112,0.8047,0.65,30,1.0,1.0,-1.6,-0.35,0.32,3,-2.03,357,4.51,324,681.0,1,0.6
UP,300,82,324,0.8704,0.8252,4.51,46,1.0,1.0,2.22,3.51,2.42,7,0.65,376,4.03,322,869.0,0,4.51
UP,300,84,322,0.8851,0.8448,4.03,40,1.0,1.0,1.71,3.03,2.27,6,4.51,324,-1.85,254,1100.0,0,4.03
UP,300,86,254,0.8465,0.8649,-1.85,29,1.0,1.0,-4.2,-2.85,-0.82,5,4.03,322,1.21,252,961.0,1,-1.91
UP,300,88,252,0.8968,0.8847,1.21,23,1.0,1.0,-1.17,0.21,0.63,7,-1.85,254,0.47,232,1120.0,0,1.21
UP,300,90,232,0.9095,0.9047,0.47,29,1.0,1.0,-1.94,-0.53,0.25,5,1.21,252,-2.03,188,1398.0,0,0.47
UP,300,92,188,0.9043,0.9246,-2.03,17,1.0,1.0,-4.47,-3.03,-0.95,4,0.47,232,2.92,114,2082.0,0,-2.03
UP,450,2,226,0.0088,0.0259,-1.7,33,1.0,1.0,-2.74,-2.7,-2.73,6,-1.31,18,-1.03,342,2066.0,0,-1.7
UP,450,4,342,0.0351,0.0454,-1.03,38,1.0,1.0,-2.1,-2.03,-1.03,5,-1.7,226,-3.51,401,1374.0,2,-1.01
UP,450,6,401,0.0299,0.065,-3.51,51,1.0,1.0,-4.61,-4.51,-4.13,8,-1.03,342,-2.74,400,928.0,0,-3.51
UP,450,8,400,0.0575,0.0849,-2.74,49,1.0,1.0,-3.87,-3.74,-2.36,7,-3.51,401,-2.24,398,1131.0,1,-2.73
UP,450,10,398,0.0829,0.1053,-2.24,48,1.0,1.0,-3.4,-3.24,-1.62,6,-2.74,400,-0.91,379,1047.0,1,-2.22
UP,450,12,379,0.1161,0.1252,-0.91,58,1.0,1.0,-2.11,-1.91,-0.55,5,-2.24,398,-0.45,399,951.0,1,-0.88
UP,450,14,399,0.1404,0.1449,-0.45,35,1.0,1.0,-1.68,-1.45,-0.26,4,-0.91,379,-3.3,357,917.0,1,-0.42
UP,450,16,357,0.1317,0.1647,-3.3,48,1.0,1.0,-4.56,-4.3,-1.85,5,-0.45,399,-5.61,326,652.0,0,-3.3
UP,450,18,326,0.1288,0.1849,-5.61,49,1.0,1.0,-6.9,-6.61,-3.02,8,-3.3,357,1.35,347,1288.0,0,-5.61
UP,450,20,347,0.219,0.2056,1.35,38,1.0,1.0,0.03,0.35,0.61,3,-5.61,326,1.87,390,860.0,1,1.41
UP,450,22,390,0.2436,0.2248,1.87,50,1.0,1.0,0.52,0.87,0.86,5,1.35,347,-0.67,365,682.0,0,1.87
UP,450,24,365,0.2384,0.2451,-0.67,42,1.0,1.0,-2.05,-1.67,-0.3,5,1.87,390,2.84,365,952.0,1,-0.88
UP,450,26,365,0.2932,0.2647,2.84,38,1.0,1.0,1.43,1.84,1.19,5,-0.67,365,-2.06,306,788.0,2,2.73
UP,450,28,306,0.2647,0.2853,-2.06,38,1.0,1.0,-3.51,-3.06,-0.82,5,2.84,365,-6.84,347,702.0,3,-1.8
UP,450,30,347,0.2363,0.3047,-6.84,45,1.0,1.0,-8.32,-7.84,-3.0,7,-2.06,306,1.67,310,821.0,1,-6.77
UP,450,32,310,0.3419,0.3253,1.67,35,1.0,1.0,0.16,0.67,0.62,4,-6.84,347,1.43,348,937.0,4,1.79
UP,450,34,348,0.3592,0.3449,1.43,43,1.0,1.0,-0.11,0.43,0.56,6,1.67,310,-1.59,295,846.0,0,1.43
UP,450,36,295,0.3492,0.3651,-1.59,21,1.0,1.0,-3.16,-2.59,-0.57,5,1.43,348,-2.33,293,714.0,0,-1.59
UP,450,38,293,0.3618,0.3851,-2.33,36,1.0,1.0,-3.93,-3.33,-0.83,5,-1.59,295,-3.36,288,705.0,1,-2.55
UP,450,40,288,0.3715,0.4051,-3.36,33,1.0,1.0,-4.99,-4.36,-1.18,5,-2.33,293,-4.75,326,770.0,2,-3.1
UP,450,42,326,0.3773,0.4248,-4.75,46,1.0,1.0,-6.41,-5.75,-1.77,5,-3.36,288,3.24,293,633.0,3,-4.4
UP,450,44,293,0.4778,0.4455,3.24,45,1.0,1.0,1.54,2.24,1.11,5,-4.75,326,-4.32,287,649.0,3,3.73
UP,450,46,287,0.4216,0.4648,-4.32,25,1.0,1.0,-6.05,-5.32,-1.48,7,3.24,293,-0.06,279,938.0,6,-3.78
UP,450,48,279,0.4839,0.4845,-0.06,37,1.0,1.0,-1.82,-1.06,-0.02,4,-4.32,287,-0.37,631,771.0,20,0.2
UP,450,50,631,0.5024,0.5061,-0.37,64,1.0,1.0,-2.16,-1.37,-0.19,3,-0.06,279,-2.3,309,1562.0,351,3.07
UP,450,52,309,0.5016,0.5246,-2.3,39,1.0,1.0,-4.12,-3.3,-0.81,4,-0.37,631,-0.49,296,827.0,22,-1.61
UP,450,54,296,0.5405,0.5455,-0.49,30,1.0,1.0,-2.34,-1.49,-0.17,5,-2.3,309,-1.91,452,732.0,12,-1.02
UP,450,56,452,0.5509,0.57,-1.91,39,1.0,1.0,-3.8,-2.91,-0.82,6,-0.49,296,-5.67,150,721.0,2,-1.89
UP,450,58,150,0.5333,0.59,-5.67,26,1.0,1.0,-7.59,-6.67,-1.39,6,-1.91,452,1.64,296,933.0,0,-5.67
UP,450,60,296,0.6216,0.6052,1.64,33,1.0,1.0,-0.31,0.64,0.58,5,-5.67,150,4.37,317,662.0,2,2.06
UP,450,62,317,0.6688,0.6251,4.37,29,1.0,1.0,2.39,3.37,1.65,7,1.64,296,-3.01,299,858.0,1,4.27
UP,450,64,299,0.6154,0.6455,-3.01,29,1.0,1.0,-5.02,-4.01,-1.07,5,4.37,317,-2.66,354,737.0,2,-2.94
UP,450,66,354,0.6384,0.665,-2.66,37,1.0,1.0,-4.7,-3.66,-1.04,5,-3.01,299,-2.55,317,831.0,2,-2.59
UP,450,68,317,0.6593,0.6848,-2.55,40,1.0,1.0,-4.62,-3.55,-0.96,6,-2.66,354,-1.15,342,610.0,3,-2.56
UP,450,70,342,0.693,0.7045,-1.15,43,1.0,1.0,-3.25,-2.15,-0.46,5,-2.55,317,-6.22,338,801.0,1,-1.24
UP,450,72,338,0.6627,0.7249,-6.22,44,1.0,1.0,-8.35,-7.22,-2.42,6,-1.15,342,0.51,328,791.0,1,-6.32
