month,episodes,checked,mismatches,raw_pct,stale_explained,hard_pct
2025-10,954,7716,860,11.146,496,4.717
2025-11,2118,52186,3684,7.059,2664,1.955
2025-12,2671,55608,2334,4.197,1366,1.741
2026-01,2592,78633,2303,2.929,1329,1.239
2026-02,2438,103700,3074,2.964,1747,1.28
2026-03,2726,125562,3152,2.51,1726,1.136
2026-04,2630,81388,2217,2.724,1094,1.38
2026-05,997,22562,786,3.484,340,1.977
