month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-11,600,up,bid_only,98,25,25,1.0,0.988,1012.3,2573.5
2025-11,600,up,two_sided,0,69,1,0.0145,0.01,1227.9,1227.9
2025-11,600,up,two_sided,2,88,2,0.0227,0.0238,437.3,3649.0
2025-11,600,up,two_sided,4,94,2,0.0213,0.0451,148.0,2125.9
2025-11,600,up,two_sided,6,65,3,0.0462,0.0643,131.7,2268.9
2025-11,600,up,two_sided,8,58,6,0.1034,0.0853,60.0,1326.5
2025-11,600,up,two_sided,10,63,3,0.0476,0.1057,146.2,1561.1
2025-11,600,up,two_sided,12,52,6,0.1154,0.1238,108.1,1143.3
2025-11,600,up,two_sided,14,50,7,0.14,0.1456,87.3,864.0
2025-11,600,up,two_sided,16,38,4,0.1053,0.1661,81.3,787.4
2025-11,600,up,two_sided,18,37,6,0.1622,0.1857,138.0,815.0
2025-11,600,up,two_sided,20,36,7,0.1944,0.205,83.0,865.1
2025-11,600,up,two_sided,22,31,10,0.3226,0.2252,111.0,685.4
2025-11,600,up,two_sided,24,33,8,0.2424,0.2455,90.0,932.8
2025-11,600,up,two_sided,26,21,5,0.2381,0.2657,22.8,342.8
2025-11,600,up,two_sided,28,38,5,0.1316,0.2853,65.0,726.5
2025-11,600,up,two_sided,30,33,9,0.2727,0.3058,50.0,586.5
2025-11,600,up,two_sided,32,28,12,0.4286,0.3268,143.6,721.6
2025-11,600,up,two_sided,34,29,14,0.4828,0.3452,49.6,485.9
2025-11,600,up,two_sided,36,21,6,0.2857,0.3667,70.0,602.0
2025-11,600,up,two_sided,38,23,6,0.2609,0.3852,60.0,945.0
2025-11,600,up,two_sided,40,31,13,0.4194,0.4048,155.0,844.0
2025-11,600,up,two_sided,42,20,11,0.55,0.4255,46.6,676.1
2025-11,600,up,two_sided,44,24,14,0.5833,0.4458,33.5,816.4
2025-11,600,up,two_sided,46,25,16,0.64,0.4644,38.8,1004.3
2025-11,600,up,two_sided,48,48,26,0.5417,0.4867,41006.1,70386.7
2025-11,600,up,two_sided,50,31,20,0.6452,0.5023,100.0,2009.0
2025-11,600,up,two_sided,52,19,13,0.6842,0.5258,28.8,659.7
2025-11,600,up,two_sided,54,25,16,0.64,0.5456,26.0,363.0
2025-11,600,up,two_sided,56,53,33,0.6226,0.5698,57.0,386.4
2025-11,600,up,two_sided,58,10,5,0.5,0.59,11.0,365.5
2025-11,600,up,two_sided,60,31,18,0.5806,0.6029,50.0,490.0
2025-11,600,up,two_sided,62,19,15,0.7895,0.6242,26.0,433.8
2025-11,600,up,two_sided,64,29,22,0.7586,0.6448,46.0,529.8
2025-11,600,up,two_sided,66,34,20,0.5882,0.6653,44.5,653.5
2025-11,600,up,two_sided,68,24,23,0.9583,0.6858,42.3,593.0
2025-11,600,up,two_sided,70,30,24,0.8,0.7047,40.0,748.9
2025-11,600,up,two_sided,72,30,26,0.8667,0.724,33.1,327.0
2025-11,600,up,two_sided,74,36,27,0.75,0.7456,52.5,570.4
2025-11,600,up,two_sided,76,33,25,0.7576,0.7655,60.0,501.5
2025-11,600,up,two_sided,78,29,23,0.7931,0.7838,50.0,676.5
2025-11,600,up,two_sided,80,39,33,0.8462,0.8059,46.3,523.0
2025-11,600,up,two_sided,82,36,30,0.8333,0.8258,40.0,528.4
2025-11,600,up,two_sided,84,52,43,0.8269,0.845,57.5,536.9
2025-11,600,up,two_sided,86,48,43,0.8958,0.8652,40.0,490.5
2025-11,600,up,two_sided,88,47,44,0.9362,0.8864,40.0,344.0
2025-11,600,up,two_sided,90,50,48,0.96,0.9048,83.0,687.9
2025-11,600,up,two_sided,92,70,63,0.9,0.9253,74.7,642.5
2025-11,600,up,two_sided,94,87,85,0.977,0.9447,66.1,766.1
2025-11,600,up,two_sided,96,99,99,1.0,0.9656,143.8,1302.5
2025-11,600,up,two_sided,98,41,41,1.0,0.98,166.5,1214.5
2025-11,690,down,bid_only,96,2,2,1.0,0.965,20.4,1629.7
2025-11,690,down,bid_only,98,136,134,0.9853,0.989,1005.6,2341.1
2025-11,690,down,two_sided,0,116,1,0.0086,0.0099,1278.9,1278.9
2025-11,690,down,two_sided,2,127,4,0.0315,0.025,235.0,2986.1
2025-11,690,down,two_sided,4,79,3,0.038,0.0446,200.4,2252.2
2025-11,690,down,two_sided,6,53,3,0.0566,0.0647,121.0,1646.6
2025-11,690,down,two_sided,8,59,6,0.1017,0.0851,78.7,1301.5
2025-11,690,down,two_sided,10,40,4,0.1,0.1045,84.4,1301.1
2025-11,690,down,two_sided,12,28,4,0.1429,0.1239,52.7,580.9
2025-11,690,down,two_sided,14,31,2,0.0645,0.1442,36.8,594.0
2025-11,690,down,two_sided,16,36,7,0.1944,0.1631,87.5,694.8
2025-11,690,down,two_sided,18,21,4,0.1905,0.1862,121.5,754.1
2025-11,690,down,two_sided,20,23,4,0.1739,0.2065,50.0,525.0
2025-11,690,down,two_sided,22,25,6,0.24,0.2248,50.0,732.3
2025-11,690,down,two_sided,24,25,6,0.24,0.2456,63.6,515.4
2025-11,690,down,two_sided,26,25,3,0.12,0.2636,40.0,373.0
2025-11,690,down,two_sided,28,33,6,0.1818,0.2839,101.4,860.8
2025-11,690,down,two_sided,30,16,3,0.1875,0.3037,89.5,496.9
2025-11,690,down,two_sided,32,31,8,0.2581,0.3242,70.0,739.0
2025-11,690,down,two_sided,34,24,8,0.3333,0.3446,28.1,544.7
2025-11,690,down,two_sided,36,19,5,0.2632,0.3637,55.0,455.5
2025-11,690,down,two_sided,38,18,5,0.2778,0.3867,37.5,373.9
2025-11,690,down,two_sided,40,29,12,0.4138,0.4038,100.0,621.0
2025-11,690,down,two_sided,42,21,9,0.4286,0.4243,32.5,337.7
2025-11,690,down,two_sided,44,18,4,0.2222,0.445,33.5,381.2
2025-11,690,down,two_sided,46,14,4,0.2857,0.4664,35.0,659.7
2025-11,690,down,two_sided,48,38,17,0.4474,0.4882,51230.3,89093.5
2025-11,690,down,two_sided,50,32,18,0.5625,0.5034,38.0,771.5
2025-11,690,down,two_sided,52,23,12,0.5217,0.5261,40.0,524.0
2025-11,690,down,two_sided,54,28,18,0.6429,0.5457,20.0,482.5
2025-11,690,down,two_sided,56,33,22,0.6667,0.5733,46.0,471.0
2025-11,690,down,two_sided,58,9,6,0.6667,0.59,77.0,896.6
2025-11,690,down,two_sided,60,12,6,0.5,0.6017,24.0,475.8
2025-11,690,down,two_sided,62,17,15,0.8824,0.6253,47.0,261.8
2025-11,690,down,two_sided,64,24,11,0.4583,0.6475,42.3,212.6
2025-11,690,down,two_sided,66,19,13,0.6842,0.6653,34.4,363.5
2025-11,690,down,two_sided,68,15,12,0.8,0.6867,55.0,616.0
2025-11,690,down,two_sided,70,25,19,0.76,0.706,36.0,586.8
2025-11,690,down,two_sided,72,27,20,0.7407,0.7244,51.2,702.0
2025-11,690,down,two_sided,74,23,16,0.6957,0.7435,49.0,509.2
2025-11,690,down,two_sided,76,27,23,0.8519,0.7656,77.0,917.7
2025-11,690,down,two_sided,78,21,18,0.8571,0.7867,44.0,256.0
2025-11,690,down,two_sided,80,21,20,0.9524,0.8052,30.0,237.0
2025-11,690,down,two_sided,82,28,24,0.8571,0.8243,34.5,302.5
2025-11,690,down,two_sided,84,32,27,0.8438,0.8469,28.5,254.9
2025-11,690,down,two_sided,86,48,47,0.9792,0.8646,60.0,379.0
2025-11,690,down,two_sided,88,48,43,0.8958,0.884,51.7,581.0
2025-11,690,down,two_sided,90,61,59,0.9672,0.9043,58.0,498.0
2025-11,690,down,two_sided,92,54,50,0.9259,0.9239,97.5,572.8
2025-11,690,down,two_sided,94,78,76,0.9744,0.9458,100.2,529.5
2025-11,690,down,two_sided,96,116,114,0.9828,0.9671,140.4,991.2
2025-11,690,down,two_sided,98,84,84,1.0,0.9803,205.5,1173.3
2025-11,690,up,bid_only,96,2,2,1.0,0.97,273.1,1234.2
2025-11,690,up,bid_only,98,120,120,1.0,0.9892,1151.0,2326.0
2025-11,690,up,two_sided,0,115,0,0.0,0.01,1116.0,1185.8
2025-11,690,up,two_sided,2,123,3,0.0244,0.0239,391.9,3574.4
2025-11,690,up,two_sided,4,75,2,0.0267,0.0449,331.0,2262.3
2025-11,690,up,two_sided,6,57,3,0.0526,0.0658,250.0,1926.2
