month,t_sec,band_c,n,med_spread,p90_spread,med_top3_bid,p90_top3_bid,med_top3_ask,p90_top3_ask
ALL,0.0,26,1,0.25,0.25,132.5,132.5,600.7,600.7
ALL,0.0,34,1,0.01,0.01,1213.0,1213.0,858.7,858.7
ALL,0.0,36,3,0.01,0.01,1245.0,2119.5,3241.0,22023.6
ALL,0.0,38,12,0.02,0.078,667.0,1371.2,1214.0,2531.8
ALL,0.0,40,31,0.01,0.03,278.7,919.7,799.4,2813.4
ALL,0.0,42,85,0.02,0.05,243.7,925.0,930.8,3139.1
ALL,0.0,44,180,0.01,0.07,330.9,1188.1,955.4,4042.2
ALL,0.0,46,256,0.01,0.03,414.9,1988.6,712.1,4331.8
ALL,0.0,48,387,0.01,0.03,379.3,2170.4,468.9,3107.7
ALL,0.0,50,419,0.01,0.03,551.3,3682.7,432.9,3737.7
ALL,0.0,52,260,0.01,0.04,749.1,3453.1,493.3,2315.6
ALL,0.0,54,214,0.01,0.04,740.0,3659.5,352.5,1310.5
ALL,0.0,56,101,0.02,0.06,1119.9,3361.5,260.2,852.6
ALL,0.0,58,21,0.02,0.04,884.8,3119.4,333.8,819.6
ALL,0.0,60,7,0.06,0.088,1625.5,4897.2,313.6,770.3
ALL,0.0,62,2,0.06,0.084,2766.2,4520.7,541.3,874.0
ALL,0.0,64,2,0.025,0.037,763.0,806.7,1601.2,2289.0
ALL,0.0,66,1,0.25,0.25,729.9,729.9,235.0,235.0
ALL,0.0,70,1,0.4,0.4,137.0,137.0,6165.4,6165.4
ALL,0.0,84,1,0.08,0.08,1088.6,1088.6,745.8,745.8
ALL,15.0,20,1,0.01,0.01,1872.2,1872.2,986.3,986.3
ALL,15.0,22,1,0.05,0.05,111.5,111.5,125.1,125.1
ALL,15.0,26,1,0.08,0.08,39.4,39.4,90.0,90.0
ALL,15.0,28,3,0.01,0.01,461.5,611.1,343.9,951.3
ALL,15.0,30,1,0.01,0.01,339.0,339.0,535.1,535.1
ALL,15.0,32,11,0.02,0.04,474.5,1445.6,655.6,1984.5
ALL,15.0,34,14,0.01,0.031,622.1,1039.6,723.3,1371.8
ALL,15.0,36,28,0.01,0.02,754.1,1569.7,579.1,1702.5
ALL,15.0,38,41,0.01,0.03,812.0,1286.3,644.1,1533.7
ALL,15.0,40,78,0.01,0.03,615.9,2216.2,766.4,1690.8
ALL,15.0,42,124,0.01,0.05,819.5,2277.5,855.8,3777.1
ALL,15.0,44,159,0.01,0.03,832.5,2560.9,1136.1,4574.7
ALL,15.0,46,226,0.01,0.03,873.8,3613.5,1265.1,5199.1
ALL,15.0,48,284,0.01,0.02,946.5,4021.4,1039.3,3672.7
ALL,15.0,50,323,0.01,0.03,1060.8,4196.0,827.2,4239.8
ALL,15.0,52,210,0.01,0.04,976.3,3771.2,654.6,2273.6
ALL,15.0,54,173,0.01,0.05,976.5,3700.4,682.5,2361.8
ALL,15.0,56,137,0.01,0.04,1118.0,3577.6,827.9,2805.1
ALL,15.0,58,65,0.01,0.026,714.1,2853.8,646.4,1859.4
ALL,15.0,60,48,0.01,0.03,866.6,2163.0,756.3,2174.2
ALL,15.0,62,23,0.01,0.02,550.4,2158.9,721.9,2048.1
ALL,15.0,64,16,0.01,0.015,628.9,2674.5,648.8,2419.2
ALL,15.0,66,5,0.02,0.03,247.3,669.7,153.6,1457.2
ALL,15.0,68,6,0.03,0.075,320.0,721.8,582.1,1348.8
ALL,15.0,70,3,0.01,0.01,1190.0,1410.9,908.7,1190.2
ALL,15.0,72,2,0.01,0.01,495.2,573.5,1552.0,2516.2
ALL,15.0,74,1,0.01,0.01,208.5,208.5,1281.6,1281.6
ALL,15.0,78,2,0.025,0.037,671.4,1119.1,272.0,397.7
ALL,15.0,80,1,0.01,0.01,730.4,730.4,406.6,406.6
ALL,15.0,84,1,0.02,0.02,601.9,601.9,1384.7,1384.7
ALL,30.0,16,2,0.01,0.01,587.0,922.8,762.1,1189.8
ALL,30.0,22,2,0.015,0.019,2733.4,3656.8,963.7,1063.8
ALL,30.0,24,3,0.01,0.01,1079.6,1140.3,1636.7,2089.6
ALL,30.0,26,3,0.01,0.106,734.3,1232.7,719.0,720.6
ALL,30.0,28,7,0.02,0.114,290.7,1300.8,231.2,684.3
ALL,30.0,30,17,0.01,0.03,523.0,2457.9,368.0,2702.7
ALL,30.0,32,23,0.01,0.018,616.7,1765.8,666.8,1816.1
ALL,30.0,34,18,0.01,0.013,425.5,1136.4,532.4,1479.4
ALL,30.0,36,50,0.01,0.021,1143.5,2756.8,1031.6,3534.2
ALL,30.0,38,59,0.01,0.032,926.5,2364.5,822.7,2558.7
ALL,30.0,40,100,0.01,0.03,858.8,2663.6,941.1,2839.0
ALL,30.0,42,138,0.01,0.04,584.9,2786.9,912.7,3224.9
ALL,30.0,44,153,0.01,0.04,842.9,2829.4,1107.7,3733.3
ALL,30.0,46,197,0.01,0.03,928.4,3514.2,1074.9,3844.9
ALL,30.0,48,194,0.01,0.03,1138.3,4202.4,1088.3,4318.8
ALL,30.0,50,238,0.01,0.03,1261.6,4644.6,1070.4,4733.8
ALL,30.0,52,181,0.01,0.04,1045.5,3595.9,965.3,2808.0
ALL,30.0,54,164,0.01,0.02,1106.7,3164.6,853.6,2596.3
ALL,30.0,56,124,0.01,0.04,733.0,2780.8,622.4,2488.0
ALL,30.0,58,98,0.01,0.03,963.0,2225.9,833.9,2465.2
ALL,30.0,60,89,0.01,0.04,859.8,2029.4,723.1,1907.3
ALL,30.0,62,43,0.01,0.038,974.8,2765.7,919.6,2282.5
ALL,30.0,64,34,0.01,0.027,609.6,2059.3,838.8,2658.0
ALL,30.0,66,21,0.01,0.03,817.0,2458.8,664.6,2078.5
ALL,30.0,68,9,0.01,0.022,799.9,2207.1,1217.7,2132.6
ALL,30.0,70,3,0.01,0.01,559.4,922.0,748.6,1089.1
ALL,30.0,72,6,0.01,0.015,422.5,1783.0,844.1,2157.6
ALL,30.0,74,6,0.01,0.02,483.6,3350.1,397.7,2705.0
ALL,30.0,76,1,0.01,0.01,6210.4,6210.4,3175.2,3175.2
ALL,30.0,78,2,0.01,0.01,1176.0,1318.9,965.2,1341.6
ALL,30.0,80,1,0.01,0.01,1696.9,1696.9,1070.0,1070.0
ALL,30.0,82,1,0.04,0.04,1793.4,1793.4,1668.0,1668.0
ALL,30.0,84,1,0.01,0.01,651.4,651.4,207.2,207.2
ALL,45.0,16,2,0.01,0.01,1133.5,1499.1,772.9,812.7
ALL,45.0,18,1,0.01,0.01,1396.0,1396.0,633.2,633.2
ALL,45.0,20,4,0.01,0.024,206.9,223.7,329.1,605.9
ALL,45.0,22,3,0.01,0.018,2064.1,2612.3,811.1,4108.7
ALL,45.0,24,7,0.01,0.01,2507.9,2962.2,732.0,1775.8
ALL,45.0,26,8,0.01,0.026,1147.1,2859.9,980.3,2586.4
ALL,45.0,28,14,0.02,0.075,334.5,1408.2,266.7,1065.6
ALL,45.0,30,23,0.01,0.01,893.6,1646.0,810.6,2740.0
ALL,45.0,32,38,0.01,0.033,917.4,2025.1,615.0,1862.1
ALL,45.0,34,49,0.01,0.042,512.2,2454.5,979.5,2584.2
ALL,45.0,36,45,0.01,0.02,774.0,2806.5,959.7,2637.5
ALL,45.0,38,78,0.01,0.03,1052.0,2916.6,939.3,3394.5
ALL,45.0,40,103,0.01,0.03,705.4,2584.6,788.0,2896.3
ALL,45.0,42,123,0.01,0.03,847.1,2768.4,722.0,2461.9
ALL,45.0,44,149,0.01,0.032,804.1,2472.2,1144.8,3622.9
ALL,45.0,46,168,0.01,0.03,909.6,3446.9,1177.3,4535.5
ALL,45.0,48,155,0.01,0.02,1066.0,3784.5,1116.0,4464.4
ALL,45.0,50,215,0.01,0.03,1386.2,4542.3,1253.0,4598.7
ALL,45.0,52,149,0.01,0.04,950.1,2830.8,770.3,2892.1
ALL,45.0,54,113,0.01,0.028,1061.3,3278.5,875.0,2482.8
ALL,45.0,56,148,0.01,0.03,881.9,2563.7,1002.0,2336.8
ALL,45.0,58,101,0.01,0.02,932.4,2472.8,904.2,2686.1
ALL,45.0,60,78,0.01,0.04,685.3,2367.5,787.9,1789.4
ALL,45.0,62,67,0.01,0.03,805.0,2668.7,817.9,3059.5
ALL,45.0,64,44,0.01,0.02,800.3,2826.2,1022.9,3212.8
ALL,45.0,66,38,0.01,0.03,687.9,1756.4,1109.4,2305.3
ALL,45.0,68,20,0.01,0.02,764.8,2162.6,1017.8,2793.6
ALL,45.0,70,16,0.01,0.03,876.5,3481.9,865.5,1260.0
ALL,45.0,72,12,0.01,0.028,1045.7,3060.1,813.0,2449.7
ALL,45.0,74,5,0.01,0.022,324.5,438.8,337.8,666.4
ALL,45.0,76,1,0.01,0.01,1565.0,1565.0,427.6,427.6
ALL,45.0,78,6,0.01,0.015,768.3,1327.4,1198.5,2651.3
ALL,45.0,80,2,0.01,0.01,1999.2,2399.4,1419.1,1716.8
ALL,45.0,82,2,0.01,0.01,411.6,598.5,462.8,548.1
ALL,45.0,86,1,0.01,0.01,214.2,214.2,399.0,399.0
ALL,60.0,14,1,0.01,0.01,1237.4,1237.4,553.0,553.0
ALL,60.0,16,6,0.01,0.02,821.9,1841.7,646.6,989.0
ALL,60.0,18,1,0.01,0.01,2815.4,2815.4,2798.0,2798.0
ALL,60.0,20,5,0.01,0.01,876.4,1516.9,413.4,2743.6
ALL,60.0,22,10,0.01,0.031,732.7,2484.5,666.5,1956.1
ALL,60.0,24,7,0.01,0.036,499.7,1267.0,281.8,583.3
ALL,60.0,26,15,0.01,0.038,1285.0,4870.3,969.4,2946.5
ALL,60.0,28,20,0.01,0.042,873.0,2223.2,1352.1,3672.6
ALL,60.0,30,30,0.01,0.042,848.5,2035.4,736.8,1686.2
ALL,60.0,32,40,0.01,0.041,691.8,3482.4,731.7,2381.2
ALL,60.0,34,60,0.01,0.031,829.8,2870.0,913.9,2421.3
ALL,60.0,36,67,0.01,0.034,892.7,2533.0,925.5,2407.6
ALL,60.0,38,79,0.01,0.022,855.7,2469.9,984.6,2175.8
ALL,60.0,40,98,0.01,0.03,767.1,2830.5,768.5,2283.4
ALL,60.0,42,126,0.01,0.04,897.9,3519.2,873.1,2999.4
ALL,60.0,44,144,0.01,0.03,957.5,2731.6,1109.0,4031.7
ALL,60.0,46,131,0.01,0.03,945.0,2998.1,1250.3,5016.4
ALL,60.0,48,141,0.01,0.02,1071.6,4979.7,1048.6,4355.4
ALL,60.0,50,182,0.01,0.03,1458.7,5235.3,1252.5,5044.9
ALL,60.0,52,142,0.01,0.04,936.4,3459.2,807.1,2189.7
ALL,60.0,54,113,0.01,0.02,1112.7,2461.2,841.6,2489.5
ALL,60.0,56,122,0.01,0.04,977.2,2749.5,880.4,2203.9
ALL,60.0,58,98,0.01,0.02,1008.4,2686.7,928.3,3016.2
ALL,60.0,60,92,0.01,0.03,868.1,3187.3,670.0,3100.4
ALL,60.0,62,68,0.01,0.033,844.4,2998.4,895.5,2371.7
ALL,60.0,64,60,0.01,0.041,882.5,2538.9,851.9,2206.1
ALL,60.0,66,30,0.01,0.011,661.3,1801.5,940.0,3061.5
ALL,60.0,68,34,0.01,0.02,1012.1,2477.2,782.3,2852.7
ALL,60.0,70,18,0.01,0.04,726.5,1727.9,1230.4,2336.7
ALL,60.0,72,20,0.01,0.04,871.7,2636.8,782.3,2841.2
ALL,60.0,74,11,0.01,0.01,1135.0,1660.7,960.3,2638.4
ALL,60.0,76,4,0.02,0.034,579.7,735.2,542.2,1095.9
ALL,60.0,78,6,0.01,0.025,454.7,1231.5,763.6,2083.0
ALL,60.0,80,3,0.01,0.01,1192.3,1248.3,1257.5,1905.6
ALL,60.0,82,3,0.01,0.01,775.7,1481.2,2055.0,3617.3
ALL,60.0,84,1,0.01,0.01,712.8,712.8,486.5,486.5
ALL,60.0,86,1,0.01,0.01,282.9,282.9,497.1,497.1
ALL,75.0,10,1,0.01,0.01,1974.4,1974.4,243.0,243.0
ALL,75.0,12,2,0.01,0.01,861.6,1180.3,1170.6,1675.9
ALL,75.0,14,2,0.01,0.01,378.7,591.6,590.8,678.6
ALL,75.0,16,4,0.01,0.01,967.2,1520.1,376.1,1011.5
ALL,75.0,18,1,0.01,0.01,403.3,403.3,269.5,269.5
ALL,75.0,20,11,0.01,0.03,1036.0,2694.6,820.2,2995.6
ALL,75.0,22,14,0.01,0.027,744.6,3562.4,574.3,3566.8
ALL,75.0,24,27,0.01,0.03,920.0,3596.8,835.0,2788.8
ALL,75.0,26,22,0.01,0.029,723.0,2446.9,1374.9,3010.8
ALL,75.0,28,31,0.01,0.03,884.4,1883.2,1018.2,1851.6
ALL,75.0,30,36,0.01,0.04,854.4,1860.0,746.4,1896.3
ALL,75.0,32,38,0.01,0.043,1094.9,4062.9,967.6,2717.0
ALL,75.0,34,68,0.01,0.033,854.1,2271.8,883.3,2290.9
ALL,75.0,36,91,0.01,0.03,782.7,2126.0,871.2,2658.2
ALL,75.0,38,90,0.01,0.03,833.9,2916.2,983.8,2779.1
ALL,75.0,40,102,0.01,0.03,1048.1,2805.2,856.5,2706.5
ALL,75.0,42,107,0.01,0.03,1104.2,3075.6,846.9,3495.6
ALL,75.0,44,113,0.01,0.038,1060.6,3398.4,1152.4,4250.3
ALL,75.0,46,105,0.01,0.03,940.6,2709.3,1015.1,3193.5
ALL,75.0,48,128,0.01,0.03,1114.1,3572.3,1021.5,5381.4
ALL,75.0,50,148,0.01,0.03,1327.0,5058.3,1185.4,4792.9
ALL,75.0,52,132,0.01,0.03,868.1,4186.2,806.7,3100.2
ALL,75.0,54,99,0.01,0.022,886.4,2826.1,1004.6,2582.9
ALL,75.0,56,120,0.01,0.04,763.3,2506.6,879.9,2915.6
ALL,75.0,58,89,0.01,0.02,1049.8,2560.9,857.7,1856.1
ALL,75.0,60,75,0.01,0.036,1015.7,2274.8,816.5,1922.9
ALL,75.0,62,70,0.01,0.03,773.0,2552.4,901.5,2247.1
ALL,75.0,64,72,0.01,0.03,912.2,2677.1,1006.3,3160.5
ALL,75.0,66,49,0.01,0.03,847.5,2165.8,1135.1,3239.5
ALL,75.0,68,37,0.01,0.03,846.4,2214.0,515.3,3371.8
ALL,75.0,70,22,0.01,0.02,1050.6,2712.3,1055.2,2874.3
ALL,75.0,72,28,0.01,0.033,519.3,1690.1,477.8,1544.4
ALL,75.0,74,25,0.01,0.04,868.4,2632.3,856.6,3346.8
ALL,75.0,76,9,0.01,0.052,658.1,2249.2,904.0,2515.3
ALL,75.0,78,7,0.01,0.036,501.3,1348.0,707.7,1476.9
ALL,75.0,80,5,0.01,0.032,1166.2,1844.4,983.9,2461.0
ALL,75.0,82,3,0.02,0.02,1303.7,1743.1,1116.8,2720.2
ALL,75.0,84,3,0.01,0.01,655.9,1803.7,705.0,716.0
ALL,75.0,86,2,0.02,0.028,2088.9,3298.3,1592.1,2452.2
ALL,75.0,88,1,0.01,0.01,1542.4,1542.4,1673.1,1673.1
ALL,90.0,8,1,0.01,0.01,3421.5,3421.5,962.8,962.8
ALL,90.0,12,4,0.01,0.01,1484.9,1891.1,859.2,1238.1
ALL,90.0,14,3,0.01,0.026,971.6,1439.1,734.8,3127.8
ALL,90.0,16,5,0.01,0.022,1802.7,1830.4,461.6,995.6
ALL,90.0,18,4,0.01,0.017,493.9,735.5,645.5,1692.4
ALL,90.0,20,14,0.01,0.04,938.5,1502.4,707.5,1200.0
ALL,90.0,22,26,0.01,0.02,743.1,2732.6,1264.1,3822.9
ALL,90.0,24,27,0.01,0.03,1106.9,2444.4,1065.4,2320.7
ALL,90.0,26,32,0.01,0.03,985.5,3368.7,645.2,1468.9
ALL,90.0,28,35,0.01,0.04,714.0,2690.3,801.4,4100.1
ALL,90.0,30,47,0.01,0.03,752.5,3172.9,780.0,2638.3
ALL,90.0,32,50,0.01,0.05,1357.6,3174.8,886.9,2935.5
ALL,90.0,34,73,0.01,0.02,1016.2,2907.0,741.3,2374.5
ALL,90.0,36,76,0.01,0.03,980.6,3179.2,814.4,2997.7
ALL,90.0,38,93,0.01,0.038,703.7,3422.1,785.0,2837.6
ALL,90.0,40,88,0.01,0.02,974.1,2931.5,823.6,2422.6
ALL,90.0,42,96,0.01,0.04,905.9,2672.6,824.2,2395.0
ALL,90.0,44,95,0.01,0.03,957.5,2577.5,1211.0,3816.5
ALL,90.0,46,112,0.01,0.03,824.8,2568.8,866.7,2907.3
ALL,90.0,48,121,0.01,0.03,1445.8,5535.6,1498.9,4981.6
ALL,90.0,50,134,0.01,0.02,1389.5,5059.4,1409.7,5017.9
ALL,90.0,52,104,0.01,0.04,680.1,3223.2,824.8,2940.8
ALL,90.0,54,111,0.01,0.04,904.0,2843.5,923.2,2674.9
ALL,90.0,56,109,0.01,0.032,792.7,2809.7,928.8,2684.3
ALL,90.0,58,89,0.01,0.02,848.0,2034.4,792.5,2737.1
ALL,90.0,60,73,0.01,0.03,981.6,3027.6,1111.5,3179.2
ALL,90.0,62,73,0.01,0.028,931.8,2990.8,837.0,2930.3
ALL,90.0,64,61,0.01,0.03,824.3,2661.0,761.3,2466.3
ALL,90.0,66,64,0.01,0.037,976.1,2532.5,1161.3,2864.0
ALL,90.0,68,42,0.01,0.03,912.8,3363.9,754.2,2403.2
ALL,90.0,70,27,0.01,0.02,803.0,1973.7,885.0,2995.0
ALL,90.0,72,31,0.01,0.03,1108.8,2401.7,1099.6,3991.7
ALL,90.0,74,19,0.01,0.04,1193.3,2187.0,978.5,2958.5
ALL,90.0,76,22,0.01,0.02,890.0,1993.0,806.7,2520.3
ALL,90.0,78,6,0.02,0.035,1579.1,2448.7,919.9,1990.6
ALL,90.0,80,8,0.01,0.022,672.9,2057.5,1341.6,2239.6
ALL,90.0,82,4,0.01,0.01,306.1,3485.5,1052.4,4621.1
ALL,90.0,84,6,0.01,0.045,274.8,2173.5,639.9,1058.0
ALL,90.0,86,2,0.01,0.01,1070.0,1134.6,1442.1,1575.9
ALL,90.0,88,1,0.01,0.01,887.6,887.6,2740.3,2740.3
ALL,90.0,90,1,0.01,0.01,1464.6,1464.6,3562.3,3562.3
ALL,105.0,6,1,0.01,0.01,3325.2,3325.2,1215.0,1215.0
ALL,105.0,8,1,0.01,0.01,2841.5,2841.5,500.0,500.0
ALL,105.0,10,2,0.01,0.01,2202.9,3191.6,1295.4,1474.5
ALL,105.0,14,9,0.01,0.026,1431.0,2417.4,757.8,2410.1
ALL,105.0,16,12,0.01,0.019,1342.1,2956.7,1203.0,4220.3
ALL,105.0,18,14,0.01,0.02,841.3,3189.2,533.5,1964.9
ALL,105.0,20,19,0.01,0.04,1066.9,2246.0,803.8,1898.2
ALL,105.0,22,19,0.01,0.032,959.3,3301.4,608.4,2478.2
ALL,105.0,24,23,0.01,0.02,1442.7,2678.3,686.0,2894.2
ALL,105.0,26,43,0.01,0.036,834.4,2726.2,1290.9,2444.1
ALL,105.0,28,47,0.01,0.03,760.0,3040.6,1081.1,2370.9
ALL,105.0,30,49,0.01,0.032,1087.1,3361.5,782.9,3209.8
ALL,105.0,32,54,0.01,0.04,886.7,2426.7,780.5,2786.3
ALL,105.0,34,72,0.01,0.029,1235.4,3568.4,1200.4,3677.6
ALL,105.0,36,74,0.01,0.03,956.0,3260.6,709.6,2748.2
ALL,105.0,38,94,0.01,0.03,867.2,2500.9,818.2,3444.9
ALL,105.0,40,85,0.01,0.046,968.0,2299.6,854.4,2855.1
ALL,105.0,42,93,0.01,0.04,824.7,2826.8,1000.0,2717.0
ALL,105.0,44,91,0.01,0.04,921.9,3303.5,995.9,2272.2
ALL,105.0,46,85,0.01,0.03,1204.8,3929.1,1054.2,3962.0
ALL,105.0,48,110,0.01,0.03,1149.3,3541.6,1249.7,4092.8
ALL,105.0,50,130,0.01,0.02,1339.2,5257.6,1311.4,5483.6
ALL,105.0,52,107,0.01,0.024,1282.0,3740.0,921.0,2594.4
ALL,105.0,54,81,0.01,0.03,833.5,4088.4,809.7,2628.3
ALL,105.0,56,106,0.01,0.04,767.9,2833.0,796.5,2336.2
ALL,105.0,58,92,0.01,0.02,1018.2,2087.1,857.3,2066.6
ALL,105.0,60,66,0.01,0.035,890.5,2111.9,657.5,1694.4
ALL,105.0,62,74,0.01,0.02,798.0,2962.9,778.8,3219.4
ALL,105.0,64,75,0.01,0.02,976.5,2963.9,1008.5,3672.9
ALL,105.0,66,50,0.01,0.04,1110.3,2900.5,1218.1,2464.0
ALL,105.0,68,49,0.01,0.03,793.8,3135.5,902.5,2372.5
ALL,105.0,70,38,0.01,0.023,748.8,1843.8,727.4,2478.4
ALL,105.0,72,31,0.01,0.05,620.0,1742.8,669.2,2005.7
ALL,105.0,74,26,0.01,0.02,1233.5,2907.7,782.4,2640.7
ALL,105.0,76,21,0.01,0.02,1430.7,2824.4,912.8,2640.4
ALL,105.0,78,20,0.01,0.02,1061.5,2152.4,731.5,1985.2
ALL,105.0,80,7,0.01,0.034,432.6,1963.1,708.6,1319.4
ALL,105.0,82,9,0.01,0.036,1236.6,2262.6,839.4,2438.4
ALL,105.0,84,4,0.01,0.01,1187.3,2403.4,819.2,1383.5
ALL,105.0,86,3,0.01,0.034,815.4,3030.3,627.5,1418.8
ALL,105.0,88,3,0.01,0.01,1714.6,3831.3,2168.7,4786.5
ALL,120.0,6,2,0.01,0.01,2466.0,2710.7,893.7,1282.4
ALL,120.0,10,3,0.01,0.018,1968.6,3999.1,977.2,1155.5
ALL,120.0,12,4,0.01,0.01,1246.7,1956.2,1299.5,1904.8
ALL,120.0,14,10,0.01,0.041,1695.0,3168.4,783.2,2349.7
ALL,120.0,16,10,0.01,0.011,990.1,2137.0,760.2,1883.5
ALL,120.0,18,16,0.01,0.035,1398.1,4562.8,1602.7,5512.5
ALL,120.0,20,24,0.01,0.02,1310.4,3706.6,1014.6,3425.1
ALL,120.0,22,19,0.01,0.042,985.7,2482.3,859.1,2159.1
ALL,120.0,24,35,0.01,0.03,973.4,3373.0,696.9,2835.9
ALL,120.0,26,47,0.01,0.03,955.7,2901.6,883.9,2487.8
ALL,120.0,28,43,0.01,0.028,951.6,2569.7,925.8,2351.7
ALL,120.0,30,56,0.01,0.025,900.9,3922.0,920.6,5244.7
ALL,120.0,32,62,0.01,0.049,1132.3,3219.4,663.7,3343.7
ALL,120.0,34,81,0.01,0.03,853.7,2456.4,943.5,2441.1
ALL,120.0,36,82,0.01,0.039,843.3,3036.7,791.7,2248.4
ALL,120.0,38,85,0.01,0.04,914.2,2789.0,1059.2,3182.5
ALL,120.0,40,66,0.01,0.025,718.9,2761.2,907.5,2343.4
ALL,120.0,42,88,0.01,0.05,900.4,2496.1,698.0,2291.0
ALL,120.0,44,82,0.01,0.03,851.9,2825.0,924.8,3031.6
ALL,120.0,46,100,0.01,0.03,1163.6,3130.1,1151.1,3209.7
ALL,120.0,48,93,0.01,0.02,1238.0,4540.3,942.6,4720.8
ALL,120.0,50,113,0.01,0.02,1369.0,5651.5,1481.4,5403.3
ALL,120.0,52,101,0.01,0.03,962.8,2424.6,913.6,3248.3
ALL,120.0,54,93,0.01,0.03,901.0,2841.8,1015.0,2513.6
ALL,120.0,56,100,0.01,0.05,874.8,2492.5,869.4,3063.9
ALL,120.0,58,77,0.01,0.02,1164.6,3149.2,796.0,2891.5
ALL,120.0,60,65,0.01,0.02,816.1,2998.4,831.6,1910.6
ALL,120.0,62,70,0.01,0.03,1048.0,3295.9,765.2,2310.5
ALL,120.0,64,62,0.01,0.03,1021.0,3314.6,1121.8,2693.4
ALL,120.0,66,55,0.01,0.042,970.2,2729.3,656.0,2728.1
ALL,120.0,68,50,0.01,0.02,1264.2,2623.9,1194.0,2451.6
ALL,120.0,70,37,0.01,0.02,794.7,2715.2,572.7,1901.7
ALL,120.0,72,48,0.01,0.04,714.6,2530.6,734.5,2394.0
ALL,120.0,74,22,0.01,0.01,1156.0,1859.8,999.9,2762.6
ALL,120.0,76,32,0.01,0.019,1103.2,2732.9,1021.6,2199.1
ALL,120.0,78,21,0.01,0.03,1239.9,2401.5,1139.9,1701.0
ALL,120.0,80,12,0.01,0.01,1803.7,2203.3,922.4,1656.8
ALL,120.0,82,8,0.01,0.033,1677.6,2387.3,1838.1,3845.2
ALL,120.0,84,7,0.01,0.018,603.3,1925.7,562.5,1042.4
ALL,120.0,86,4,0.01,0.017,1595.0,2004.8,2261.5,4674.4
ALL,120.0,88,4,0.01,0.01,517.8,2215.5,2012.6,3081.6
ALL,135.0,4,1,0.01,0.01,4165.0,4165.0,640.2,640.2
ALL,135.0,6,1,0.02,0.02,697.8,697.8,667.0,667.0
ALL,135.0,8,5,0.01,0.01,1209.9,2259.8,618.8,1270.2
ALL,135.0,10,3,0.01,0.026,1434.7,1526.7,1224.3,1609.6
ALL,135.0,12,10,0.01,0.021,1181.7,2469.8,1101.0,2479.3
ALL,135.0,14,11,0.01,0.03,1048.9,4358.4,1518.8,3599.0
ALL,135.0,16,17,0.01,0.044,622.7,2814.2,869.2,1721.9
ALL,135.0,18,18,0.01,0.02,988.1,2186.0,910.0,2375.0
ALL,135.0,20,28,0.01,0.033,1339.6,4319.9,1000.2,3613.0
ALL,135.0,22,26,0.01,0.04,824.7,2312.1,831.9,2477.3
ALL,135.0,24,30,0.01,0.021,919.3,3596.3,1026.2,3078.2
ALL,135.0,26,37,0.01,0.03,819.1,3319.2,1024.5,2788.4
ALL,135.0,28,58,0.01,0.04,1251.1,3670.3,985.2,2317.3
ALL,135.0,30,57,0.01,0.03,801.2,2603.5,701.3,2775.3
ALL,135.0,32,64,0.01,0.04,967.0,2950.6,1376.5,3653.8
ALL,135.0,34,68,0.01,0.05,933.9,2458.1,739.0,2276.9
ALL,135.0,36,72,0.01,0.04,937.2,2588.8,797.9,2508.5
ALL,135.0,38,89,0.01,0.03,857.9,3118.6,1061.8,3583.4
ALL,135.0,40,64,0.01,0.03,768.8,2858.1,565.6,1836.1
ALL,135.0,42,69,0.01,0.04,707.1,3195.3,988.0,2714.8
ALL,135.0,44,85,0.01,0.05,736.7,2684.1,673.2,2435.3
ALL,135.0,46,72,0.01,0.02,1052.1,3689.4,822.1,3517.4
ALL,135.0,48,102,0.01,0.03,1059.5,3914.9,1109.5,3613.0
ALL,135.0,50,125,0.01,0.02,1648.2,5504.1,1220.5,5004.4
ALL,135.0,52,75,0.01,0.03,866.1,3551.0,704.5,3384.5
ALL,135.0,54,98,0.01,0.03,909.0,2687.4,747.4,2557.4
ALL,135.0,56,97,0.01,0.04,981.1,2621.8,795.0,2894.7
ALL,135.0,58,71,0.01,0.03,911.0,3030.3,880.0,2592.4
ALL,135.0,60,67,0.01,0.034,901.7,2901.3,635.6,1900.9
ALL,135.0,62,63,0.01,0.03,1018.9,2597.3,831.4,2306.9
ALL,135.0,64,63,0.01,0.03,744.0,2246.5,851.1,2435.8
ALL,135.0,66,57,0.01,0.034,664.1,2478.8,1015.6,2714.8
ALL,135.0,68,60,0.01,0.03,987.7,3194.6,932.4,2724.9
ALL,135.0,70,48,0.01,0.023,1070.1,4168.2,1145.1,2634.8
ALL,135.0,72,37,0.01,0.02,1042.0,2812.5,870.0,1930.4
ALL,135.0,74,33,0.01,0.02,910.0,2887.8,969.6,2789.8
ALL,135.0,76,33,0.01,0.018,1255.5,2721.5,1208.3,2878.3
ALL,135.0,78,26,0.01,0.035,886.6,2357.9,1039.0,2103.5
ALL,135.0,80,11,0.01,0.03,601.9,1932.5,964.2,2122.0
ALL,135.0,82,15,0.01,0.032,1207.9,2073.7,956.6,1586.3
ALL,135.0,84,10,0.01,0.03,819.6,2938.5,851.5,2395.8
ALL,135.0,86,6,0.01,0.02,867.5,2395.6,1240.8,1778.5
ALL,135.0,88,4,0.01,0.017,1750.8,3074.9,2032.5,3160.5
ALL,135.0,90,3,0.01,0.018,2661.6,3887.3,1473.5,7327.3
