month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-11,840,up,two_sided,10,22,1,0.0455,0.1036,21.1,167.3
2025-11,840,up,two_sided,12,22,2,0.0909,0.125,11.0,88.3
2025-11,840,up,two_sided,14,20,1,0.05,0.1455,35.0,115.7
2025-11,840,up,two_sided,16,19,3,0.1579,0.1626,15.0,76.8
2025-11,840,up,two_sided,18,14,1,0.0714,0.1879,26.5,185.5
2025-11,840,up,two_sided,20,16,1,0.0625,0.2031,18.0,124.0
2025-11,840,up,two_sided,22,12,2,0.1667,0.2258,31.9,109.5
2025-11,840,up,two_sided,24,11,2,0.1818,0.2436,22.0,224.4
2025-11,840,up,two_sided,26,10,2,0.2,0.264,24.0,81.0
2025-11,840,up,two_sided,28,14,3,0.2143,0.2843,35.0,123.0
2025-11,840,up,two_sided,30,5,3,0.6,0.302,17.0,36.0
2025-11,840,up,two_sided,32,6,1,0.1667,0.3233,12.5,40.5
2025-11,840,up,two_sided,34,13,2,0.1538,0.3431,12.1,133.6
2025-11,840,up,two_sided,36,8,0,0.0,0.365,38.5,521.3
2025-11,840,up,two_sided,38,8,4,0.5,0.3838,37.5,173.0
2025-11,840,up,two_sided,40,7,5,0.7143,0.4071,47.6,978.4
2025-11,840,up,two_sided,42,12,2,0.1667,0.4258,60.5,214.9
2025-11,840,up,two_sided,44,9,3,0.3333,0.4467,65.0,307.0
2025-11,840,up,two_sided,46,4,0,0.0,0.4625,18.0,290.5
2025-11,840,up,two_sided,48,5,2,0.4,0.484,73.0,132.2
2025-11,840,up,two_sided,50,38,19,0.5,0.5066,1355.4,111619.8
2025-11,840,up,two_sided,52,9,2,0.2222,0.5222,70.0,436.1
2025-11,840,up,two_sided,54,12,4,0.3333,0.5458,19.0,186.1
2025-11,840,up,two_sided,56,15,6,0.4,0.5693,12.0,259.0
2025-11,840,up,two_sided,58,4,4,1.0,0.59,24.5,303.5
2025-11,840,up,two_sided,60,8,2,0.25,0.6013,8.0,102.0
2025-11,840,up,two_sided,62,13,7,0.5385,0.6246,20.0,246.0
2025-11,840,up,two_sided,64,10,7,0.7,0.648,18.0,409.4
2025-11,840,up,two_sided,66,11,8,0.7273,0.6645,25.0,421.0
2025-11,840,up,two_sided,68,10,7,0.7,0.686,77.8,364.2
2025-11,840,up,two_sided,70,10,8,0.8,0.704,28.0,277.0
2025-11,840,up,two_sided,72,11,9,0.8182,0.7218,76.4,538.1
2025-11,840,up,two_sided,74,9,7,0.7778,0.7478,82.8,693.8
2025-11,840,up,two_sided,76,16,10,0.625,0.7625,20.6,402.9
2025-11,840,up,two_sided,78,18,17,0.9444,0.7856,26.5,288.8
2025-11,840,up,two_sided,80,15,11,0.7333,0.8047,144.0,418.3
2025-11,840,up,two_sided,82,16,15,0.9375,0.8275,20.5,171.5
