slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1770875100,1770875100,9.2,-0.035,0.445,0.09,0.09,0.09
btc-updown-15m-1770875100,1770875100,19.2,-0.04,0.415,0.17,0.12,0.05
btc-updown-15m-1770875100,1770875100,29.2,0.03,0.445,0.08,0.13,-0.04
btc-updown-15m-1770875100,1770875100,39.3,0.08,0.535,0,0.07,-0.12
btc-updown-15m-1770875100,1770875100,49.3,0.045,0.585,-0.05,-0.05,-0.2
btc-updown-15m-1770875100,1770875100,59.3,-0.06,0.525,0.05,0.07,-0.15
btc-updown-15m-1770875100,1770875100,69.7,0.03,0.555,0.05,-0.02,-0.15
btc-updown-15m-1770875100,1770875100,88.5,0.04,0.575,0.02,-0.17,-0.12
btc-updown-15m-1770875100,1770875100,98.5,0.03,0.605,-0.07,-0.19,-0.12
btc-updown-15m-1770875100,1770875100,108.5,-0.07,0.535,-0.07,-0.15,-0.05
btc-updown-15m-1770875100,1770875100,118.5,0.06,0.595,-0.19,-0.22,-0.17
btc-updown-15m-1770875100,1770875100,128.5,-0.06,0.535,-0.12,-0.15,-0.15
btc-updown-15m-1770875100,1770875100,138.6,-0.07,0.465,-0.08,-0.02,-0.05
btc-updown-15m-1770875100,1770875100,148.6,-0.06,0.405,-0.03,0.05,-0.06
btc-updown-15m-1770875100,1770875100,170.5,-0.035,0.38,0.065,0.105,-0.035
btc-updown-15m-1770875100,1770875100,180.5,-0.03,0.355,0.1,0.07,-0.06
btc-updown-15m-1770875100,1770875100,190.5,0.08,0.425,0.06,-0.05,-0.12
btc-updown-15m-1770875100,1770875100,202.4,0.03,0.445,0.04,-0.06,-0.14
btc-updown-15m-1770875100,1770875100,214.7,0.035,0.48,-0.085,-0.135,-0.155
btc-updown-15m-1770875100,1770875100,234.3,-0.04,0.445,-0.05,-0.1,-0.17
btc-updown-15m-1770875100,1770875100,244.3,-0.05,0.395,-0.05,-0.11,-0.14
btc-updown-15m-1770875100,1770875100,259,0.035,0.415,-0.07,-0.13,-0.13
btc-updown-15m-1770875100,1770875100,269,-0.07,0.345,-0.03,-0.04,-0.07
btc-updown-15m-1770875100,1770875100,279.5,0.03,0.375,-0.065,-0.06,-0.1
btc-updown-15m-1770875100,1770875100,289.5,-0.03,0.345,-0.06,-0.07,-0.09
btc-updown-15m-1770875100,1770875100,300,-0.035,0.31,-0.005,-0.065,-0.045
btc-updown-15m-1770875100,1770875100,314.7,-0.035,0.275,0,-0.04,0
btc-updown-15m-1770875100,1770875100,325.3,0.035,0.305,-0.04,-0.02,-0.05
btc-updown-15m-1770875100,1770875100,341.3,-0.035,0.31,-0.075,-0.035,0.055
btc-updown-15m-1770875100,1770875100,359.1,-0.03,0.245,0.03,0.02,0.1
btc-updown-15m-1770875100,1770875100,376.2,0.03,0.275,0,0.005,-0.01
btc-updown-15m-1770875100,1770875100,407.3,-0.03,0.245,0.05,0.13,0.09
btc-updown-15m-1770875100,1770875100,446.3,-0.04,0.255,0.09,0.05,0.09
btc-updown-15m-1770875100,1770875100,456.3,0.08,0.335,-0.03,-0.06,0.07
btc-updown-15m-1770875100,1770875100,466.3,0.04,0.375,-0.11,-0.04,0.12
btc-updown-15m-1770875100,1770875100,476.3,-0.03,0.345,-0.04,0.12,-0.01
btc-updown-15m-1770875100,1770875100,486.3,-0.04,0.305,-0.03,0.14,0.22
btc-updown-15m-1770875100,1770875100,496.3,-0.04,0.265,0.07,0.18,0.365
btc-updown-15m-1770875100,1770875100,506.3,0.04,0.305,0.16,0.04,0.49
btc-updown-15m-1770875100,1770875100,519.1,0.045,0.33,0.135,0.085,0.415
btc-updown-15m-1770875100,1770875100,529.2,0.06,0.395,0.06,0.04,0.31
btc-updown-15m-1770875100,1770875100,539.2,0.08,0.475,-0.075,-0.14,0.17
btc-updown-15m-1770875100,1770875100,549.5,-0.035,0.46,-0.035,0.075,0.255
btc-updown-15m-1770875100,1770875100,559.9,0.04,0.445,-0.02,0.22,0.26
btc-updown-15m-1770875100,1770875100,571.4,0.03,0.455,-0.12,0.36,0.26
btc-updown-15m-1770875100,1770875100,584.3,0.035,0.49,0.125,0.225,0.175
btc-updown-15m-1770875100,1770875100,594.3,-0.1,0.395,0.38,0.34,0.26
btc-updown-15m-1770875100,1770875100,604.4,0.07,0.46,0.325,0.225,0.235
btc-updown-15m-1770875100,1770875100,614.4,0.17,0.615,0.1,0.09,0
btc-updown-15m-1770875100,1770875100,624.4,0.16,0.775,-0.04,-0.03,-0.15
btc-updown-15m-1770875100,1770875100,635.3,-0.03,0.755,-0.05,-0.03,-0.04
btc-updown-15m-1770875100,1770875100,645.3,-0.04,0.715,-0.01,-0.05,-0.11
btc-updown-15m-1770875100,1770875100,658.8,-0.035,0.67,0.065,-0.015,0.075
btc-updown-15m-1770875100,1770875100,668.8,0.045,0.715,-0.01,0.01,0.13
