slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1778269500,1778269500,48.4,-0.03,0.505,-0.01,0.05,0.07
btc-updown-15m-1778269500,1778269500,100.3,0.03,0.525,-0.05,0.05,0.09
btc-updown-15m-1778269500,1778269500,110.3,0.04,0.565,0,0.01,0.05
btc-updown-15m-1778269500,1778269500,120.4,-0.04,0.525,0.05,0.1,0.04
btc-updown-15m-1778269500,1778269500,130.4,-0.05,0.475,0.1,0.14,0.09
btc-updown-15m-1778269500,1778269500,140.4,0.09,0.565,0.01,0.05,0.06
btc-updown-15m-1778269500,1778269500,179.5,0.03,0.605,0.01,-0.04,-0.03
btc-updown-15m-1778269500,1778269500,230.8,-0.03,0.585,0.04,-0.02,0.02
btc-updown-15m-1778269500,1778269500,253.9,0.03,0.595,-0.03,0,0.02
btc-updown-15m-1778269500,1778269500,263.9,0.03,0.625,-0.06,-0.06,-0.01
btc-updown-15m-1778269500,1778269500,280.8,-0.03,0.595,0.02,-0.02,0.02
btc-updown-15m-1778269500,1778269500,290.8,-0.03,0.565,0.02,0.04,0.04
btc-updown-15m-1778269500,1778269500,301.3,0.035,0.6,-0.015,0.005,0.105
btc-updown-15m-1778269500,1778269500,311.3,-0.03,0.615,-0.04,-0.01,0.09
btc-updown-15m-1778269500,1778269500,321.4,-0.03,0.585,0.02,0.03,0.14
btc-updown-15m-1778269500,1778269500,348,0.03,0.605,0.01,0,0.15
btc-updown-15m-1778269500,1778269500,414.8,0.03,0.635,0.09,0.1,-0.03
btc-updown-15m-1778269500,1778269500,424.8,0.05,0.705,0,-0.02,-0.025
btc-updown-15m-1778269500,1778269500,442.1,0.03,0.735,0.02,-0.09,-0.02
btc-updown-15m-1778269500,1778269500,456.9,-0.03,0.695,-0.01,-0.07,0
btc-updown-15m-1778269500,1778269500,467,0.06,0.755,-0.11,-0.15,-0.04
btc-updown-15m-1778269500,1778269500,477,-0.07,0.685,-0.04,-0.08,0.06
btc-updown-15m-1778269500,1778269500,492.3,-0.03,0.655,-0.04,0.05,0.04
btc-updown-15m-1778269500,1778269500,518.6,-0.03,0.615,0.06,0.08,-0.12
btc-updown-15m-1778269500,1778269500,539.3,0.035,0.64,0.055,0.105,-0.295
btc-updown-15m-1778269500,1778269500,549.3,0.035,0.675,0.02,0.02,-0.34
btc-updown-15m-1778269500,1778269500,559.7,0.035,0.71,0.005,0.015,-0.455
btc-updown-15m-1778269500,1778269500,593.2,0.03,0.745,-0.01,-0.38,-0.55
btc-updown-15m-1778269500,1778269500,603.2,-0.055,0.695,-0.1,-0.35,-0.46
btc-updown-15m-1778269500,1778269500,616.5,0.03,0.725,-0.31,-0.48,-0.51
btc-updown-15m-1778269500,1778269500,630.1,-0.03,0.695,-0.35,-0.49,-0.17
btc-updown-15m-1778269500,1778269500,640.1,-0.2,0.495,-0.16,-0.29,0.01
