slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1777818600,1777818600,32.8,-0.035,0.46,-0.015,-0.055,-0.015
btc-updown-15m-1777818600,1777818600,45.6,0.03,0.445,-0.02,-0.04,0
btc-updown-15m-1777818600,1777818600,112.8,-0.03,0.375,0.07,0.07,0.21
btc-updown-15m-1777818600,1777818600,122.8,-0.03,0.345,0.1,0.1,0.25
btc-updown-15m-1777818600,1777818600,132.8,0.105,0.45,-0.005,0.135,0.155
btc-updown-15m-1777818600,1777818600,183.2,0.04,0.485,0.12,0.11,0.21
btc-updown-15m-1777818600,1777818600,193.3,0.065,0.585,0,0.02,0.11
btc-updown-15m-1777818600,1777818600,298.3,0.03,0.635,0.06,0.07,-0.05
btc-updown-15m-1777818600,1777818600,308.3,0.06,0.695,0.01,0.02,-0.09
btc-updown-15m-1777818600,1777818600,374.8,-0.04,0.675,-0.07,0.06,-0.1
btc-updown-15m-1777818600,1777818600,384.9,-0.035,0.655,-0.07,0.07,0
btc-updown-15m-1777818600,1777818600,394.9,-0.07,0.585,0.01,0.14,0.07
btc-updown-15m-1777818600,1777818600,429.7,0.03,0.615,0.12,-0.01,0.08
btc-updown-15m-1777818600,1777818600,439.7,0.11,0.725,0.01,-0.06,-0.03
btc-updown-15m-1777818600,1777818600,473.8,-0.03,0.705,-0.04,0,-0.03
btc-updown-15m-1777818600,1777818600,483.8,-0.095,0.605,0.05,0.11,0.06
btc-updown-15m-1777818600,1777818600,493.8,-0.03,0.575,0.08,0.12,0.08
btc-updown-15m-1777818600,1777818600,503.9,0.09,0.665,0.04,0.03,0.03
btc-updown-15m-1777818600,1777818600,525.8,0.03,0.685,0,0.03,-0.01
btc-updown-15m-1777818600,1777818600,590.3,-0.035,0.68,0.005,-0.005,0.055
btc-updown-15m-1777818600,1777818600,616.2,-0.03,0.635,0.04,0.06,0.11
btc-updown-15m-1777818600,1777818600,626.2,0.06,0.695,-0.02,-0.02,0.08
btc-updown-15m-1777818600,1777818600,636.2,-0.04,0.655,0.02,0.05,0.14
btc-updown-15m-1777818600,1777818600,670.8,0.035,0.695,0.01,0.05,0.13
btc-updown-15m-1777818600,1777818600,696,0.035,0.71,0.03,0.085,0.245
btc-updown-15m-1777818600,1777818600,706.4,0.03,0.735,0.01,0.06,0.22
btc-updown-15m-1777818600,1777818600,742.7,0.03,0.775,0.02,0.18,0.2
btc-updown-15m-1777818600,1777818600,788.6,0.04,0.825,0.13,0.14,
btc-updown-15m-1777818600,1777818600,799.6,0.04,0.865,0.1,0.11,
btc-updown-15m-1777818600,1777818600,809.7,0.07,0.955,0,0.02,
btc-updown-15m-1777818600,1777818600,884.6,-0.03,0.945,,,
btc-updown-15m-1777818600,1777818600,895.1,-0.56,0.425,,,
btc-updown-15m-1777823100,1777823100,1.2,0.05,0.555,-0.04,-0.02,-0.02
btc-updown-15m-1777823100,1777823100,11.3,-0.03,0.525,-0.01,-0.01,0.03
