slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1777082400,1777082400,8.6,0.035,0.48,0.055,0.035,0.145
btc-updown-15m-1777082400,1777082400,59,-0.03,0.515,0,0.11,0.17
btc-updown-15m-1777082400,1777082400,99.8,0.03,0.545,0.08,0.19,-0.14
btc-updown-15m-1777082400,1777082400,142.1,0.03,0.655,0.08,-0.01,-0.35
btc-updown-15m-1777082400,1777082400,152.2,0.11,0.735,-0.05,-0.08,-0.43
btc-updown-15m-1777082400,1777082400,162.6,0.11,0.735,-0.08,-0.48,-0.45
btc-updown-15m-1777082400,1777082400,174,0.11,0.735,-0.09,-0.4,-0.47
btc-updown-15m-1777082400,1777082400,184.1,0.06,0.685,-0.01,-0.33,-0.4
btc-updown-15m-1777082400,1777082400,212.2,0.03,0.655,-0.3,-0.35,-0.35
btc-updown-15m-1777082400,1777082400,223.4,-0.37,0.255,0.08,0.03,0.06
btc-updown-15m-1777082400,1777082400,233.7,-0.29,0.335,-0.03,-0.07,0
btc-updown-15m-1777082400,1777082400,259.7,-0.035,0.32,-0.075,-0.055,0.025
btc-updown-15m-1777082400,1777082400,284.8,-0.035,0.26,0.015,0.055,0.135
btc-updown-15m-1777082400,1777082400,299.5,0.03,0.275,-0.01,0.09,0.12
btc-updown-15m-1777082400,1777082400,331.4,0.035,0.3,0.065,0.065,0.205
btc-updown-15m-1777082400,1777082400,346.7,0.03,0.335,0.01,0.07,0.1
btc-updown-15m-1777082400,1777082400,356.7,0.04,0.375,-0.02,0.02,0.04
btc-updown-15m-1777082400,1777082400,389.3,0.03,0.375,0.02,0.11,0.13
btc-updown-15m-1777082400,1777082400,402.6,0.03,0.395,0.05,0.04,0.11
btc-updown-15m-1777082400,1777082400,422.4,0.035,0.43,0.075,-0.015,0.135
btc-updown-15m-1777082400,1777082400,444.9,0.035,0.48,-0.045,0.025,0.295
btc-updown-15m-1777082400,1777082400,461.2,-0.03,0.475,-0.06,0.03,0.31
btc-updown-15m-1777082400,1777082400,503.2,0.03,0.445,0.08,0.33,0.29
btc-updown-15m-1777082400,1777082400,536.4,0.03,0.535,0.24,0.2,0.34
btc-updown-15m-1777082400,1777082400,546.4,0.07,0.605,0.18,0.13,0.27
btc-updown-15m-1777082400,1777082400,556.4,0.16,0.765,0.02,-0.03,0.17
btc-updown-15m-1777082400,1777082400,587.3,-0.03,0.755,-0.015,0.02,0.19
btc-updown-15m-1777082400,1777082400,637.7,0.03,0.775,0.1,0.16,0.17
btc-updown-15m-1777082400,1777082400,652.7,0.04,0.815,0.12,0.13,0.14
btc-updown-15m-1777082400,1777082400,675.8,0.03,0.905,0.03,0.05,0.085
btc-updown-15m-1777082400,1777082400,777,0.03,0.975,0.015,0.015,-0.05
btc-updown-15m-1777082400,1777082400,896.9,-0.035,0.955,,,
btc-updown-15m-1777093200,1777093200,3.4,-0.035,0.45,-0.085,-0.165,-0.325
btc-updown-15m-1777093200,1777093200,14.2,-0.035,0.38,-0.045,-0.115,-0.285
btc-updown-15m-1777093200,1777093200,24.4,0.04,0.355,-0.03,-0.06,-0.26
btc-updown-15m-1777093200,1777093200,36.3,-0.035,0.32,-0.055,-0.135,-0.235
btc-updown-15m-1777093200,1777093200,46.3,0.03,0.335,-0.06,-0.16,-0.26
btc-updown-15m-1777093200,1777093200,56.4,-0.03,0.305,-0.045,-0.17,-0.23
btc-updown-15m-1777093200,1777093200,66.5,-0.04,0.265,-0.08,-0.14,-0.2
btc-updown-15m-1777093200,1777093200,78,0.035,0.3,-0.125,-0.215,-0.235
btc-updown-15m-1777093200,1777093200,88.1,-0.08,0.215,-0.08,-0.12,-0.15
btc-updown-15m-1777093200,1777093200,110.1,-0.03,0.155,-0.07,-0.08,-0.09
btc-updown-15m-1777093200,1777093200,120.3,-0.03,0.125,-0.03,-0.05,-0.06
btc-updown-15m-1777093200,1777093200,130.3,-0.03,0.095,-0.01,-0.03,-0.05
btc-updown-15m-1777093200,1777093200,285.8,-0.03,0.035,-0.01,-0.01,0.02
btc-updown-15m-1777104000,1777104000,3.2,-0.04,0.475,-0.02,0.02,0.05
btc-updown-15m-1777104000,1777104000,13.3,-0.06,0.415,0.08,0.08,0.11
btc-updown-15m-1777104000,1777104000,29.1,0.03,0.445,0.03,0.06,0.14
btc-updown-15m-1777104000,1777104000,43.5,0.04,0.495,0,0.01,0.11
btc-updown-15m-1777104000,1777104000,55.7,0.03,0.525,-0.02,0,-0.01
btc-updown-15m-1777104000,1777104000,66,-0.03,0.495,0.01,0.03,0.04
btc-updown-15m-1777104000,1777104000,148.2,0.03,0.555,-0.05,0.05,0.1
