slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1776042000,1776042000,8,0.03,0.445,0.05,-0.02,0.04
btc-updown-15m-1776042000,1776042000,65.2,-0.04,0.455,-0.04,0.04,-0.09
btc-updown-15m-1776042000,1776042000,99.3,-0.035,0.4,0.085,-0.035,0.065
btc-updown-15m-1776042000,1776042000,116.4,0.03,0.445,-0.105,-0.06,-0.01
btc-updown-15m-1776042000,1776042000,131.1,-0.035,0.45,-0.085,-0.085,0.035
btc-updown-15m-1776042000,1776042000,141.2,-0.125,0.325,0.065,0.08,0.17
btc-updown-15m-1776042000,1776042000,151.4,0.035,0.36,0.015,0.085,0.095
btc-updown-15m-1776042000,1776042000,163.1,0.03,0.395,-0.03,0.07,0.02
btc-updown-15m-1776042000,1776042000,198,0.03,0.395,0.07,0.06,0.03
btc-updown-15m-1776042000,1776042000,211,0.035,0.44,0.005,0.015,-0.015
btc-updown-15m-1776042000,1776042000,235.5,-0.03,0.435,0.04,0.04,-0.09
btc-updown-15m-1776042000,1776042000,245.6,0.03,0.465,-0.03,0.02,-0.17
btc-updown-15m-1776042000,1776042000,268.1,-0.04,0.455,0,-0.03,-0.11
btc-updown-15m-1776042000,1776042000,278.1,-0.04,0.415,0.05,0.01,-0.07
btc-updown-15m-1776042000,1776042000,288.6,0.03,0.445,-0.02,-0.1,-0.11
btc-updown-15m-1776042000,1776042000,314.7,-0.035,0.45,-0.115,-0.125,-0.095
btc-updown-15m-1776042000,1776042000,341.4,-0.035,0.39,-0.105,-0.045,-0.075
btc-updown-15m-1776042000,1776042000,351.7,-0.03,0.345,0,-0.01,-0.01
btc-updown-15m-1776042000,1776042000,361.7,0.045,0.39,-0.045,-0.085,-0.055
btc-updown-15m-1776042000,1776042000,371.7,-0.1,0.285,0.06,0.07,0.1
btc-updown-15m-1776042000,1776042000,381.7,0.06,0.345,-0.01,-0.05,0.04
btc-updown-15m-1776042000,1776042000,396.4,-0.035,0.31,0.065,-0.02,-0.045
btc-updown-15m-1776042000,1776042000,406.6,0.03,0.335,-0.02,0.04,-0.09
btc-updown-15m-1776042000,1776042000,416.6,-0.03,0.305,0.04,0.03,-0.1
btc-updown-15m-1776042000,1776042000,426.8,0.07,0.375,-0.08,0.01,-0.11
btc-updown-15m-1776042000,1776042000,436.8,-0.07,0.305,0.07,0.08,0.04
btc-updown-15m-1776042000,1776042000,446.8,0.03,0.335,0,0.05,-0.03
btc-updown-15m-1776042000,1776042000,456.8,-0.03,0.295,0.09,-0.03,-0.08
btc-updown-15m-1776042000,1776042000,466.9,0.08,0.375,0.01,-0.13,-0.16
btc-updown-15m-1776042000,1776042000,476.9,-0.04,0.335,0.05,-0.13,-0.09
btc-updown-15m-1776042000,1776042000,486.9,0.05,0.385,-0.12,-0.12,-0.15
btc-updown-15m-1776042000,1776042000,510.4,-0.03,0.355,-0.15,-0.13,-0.06
btc-updown-15m-1776042000,1776042000,520.5,-0.095,0.255,0.01,-0.04,0.24
btc-updown-15m-1776042000,1776042000,533.9,-0.03,0.215,0.09,0.03,0.36
btc-updown-15m-1776042000,1776042000,544,0.045,0.255,-0.04,-0.01,0.32
btc-updown-15m-1776042000,1776042000,554,0.05,0.305,-0.07,-0.09,0.26
btc-updown-15m-1776042000,1776042000,565.1,-0.03,0.305,-0.06,-0.01,0.33
btc-updown-15m-1776042000,1776042000,575.1,-0.09,0.215,0.02,0.06,0.26
btc-updown-15m-1776042000,1776042000,596.8,0.03,0.245,0.05,0.3,0.34
btc-updown-15m-1776042000,1776042000,607.8,-0.03,0.215,0.2,0.31,0.48
btc-updown-15m-1776042000,1776042000,618.4,0.03,0.245,0.41,0.375,0.51
btc-updown-15m-1776042000,1776042000,628.6,0.05,0.295,0.25,0.33,0.47
btc-updown-15m-1776042000,1776042000,638.6,0.16,0.455,0.06,0.06,0.29
btc-updown-15m-1776042000,1776042000,648.6,0.2,0.655,-0.035,-0.09,0.04
btc-updown-15m-1776042000,1776042000,658.6,-0.11,0.545,0.08,-0.02,0.15
btc-updown-15m-1776042000,1776042000,668.8,-0.03,0.515,0,0.15,0.07
btc-updown-15m-1776042000,1776042000,679.2,0.105,0.62,-0.055,0.115,-0.015
btc-updown-15m-1776042000,1776042000,689.4,-0.03,0.605,-0.06,0.19,0.09
btc-updown-15m-1776042000,1776042000,699.4,-0.055,0.55,0.115,0.185,0.105
btc-updown-15m-1776042000,1776042000,710.5,-0.03,0.515,0.2,0.18,-0.005
btc-updown-15m-1776042000,1776042000,720.5,0.155,0.675,0.13,-0.02,-0.31
btc-updown-15m-1776042000,1776042000,730.6,0.035,0.71,-0.005,-0.165,-0.575
btc-updown-15m-1776042000,1776042000,740.8,-0.03,0.705,-0.01,-0.1,-0.49
btc-updown-15m-1776042000,1776042000,750.8,0.1,0.805,-0.15,-0.11,-0.46
btc-updown-15m-1776042000,1776042000,760.8,-0.1,0.705,-0.16,-0.05,-0.54
btc-updown-15m-1776042000,1776042000,775.8,-0.03,0.695,0,-0.27,-0.685
btc-updown-15m-1776042000,1776042000,785.8,-0.1,0.595,0.09,-0.49,
btc-updown-15m-1776042000,1776042000,795.8,-0.05,0.545,0.1,-0.39,
btc-updown-15m-1776042000,1776042000,805.8,0.15,0.695,-0.27,-0.29,
btc-updown-15m-1776042000,1776042000,818.3,-0.035,0.66,-0.535,-0.465,
btc-updown-15m-1776042000,1776042000,828.3,-0.07,0.585,-0.38,-0.545,
btc-updown-15m-1776042000,1776042000,838.3,-0.125,0.455,-0.06,-0.445,
btc-updown-15m-1776042000,1776042000,848.6,-0.33,0.125,0.07,,
btc-updown-15m-1776042000,1776042000,859.2,0.08,0.205,-0.16,,
btc-updown-15m-1776042000,1776042000,869.2,0.18,0.385,-0.375,,
btc-updown-15m-1776042000,1776042000,879.2,-0.19,0.195,,,
btc-updown-15m-1776042000,1776042000,889.2,-0.15,0.045,,,
btc-updown-15m-1776052800,1776052800,8.2,0.03,0.545,0.04,0.075,0.08
btc-updown-15m-1776052800,1776052800,18.3,0.065,0.61,-0.035,0.015,-0.075
btc-updown-15m-1776052800,1776052800,33.9,-0.03,0.575,0.01,0.07,-0.06
btc-updown-15m-1776052800,1776052800,62.8,0.03,0.595,0.05,0.05,-0.08
btc-updown-15m-1776052800,1776052800,73,0.03,0.615,0.03,-0.06,0.01
btc-updown-15m-1776052800,1776052800,83.1,0.03,0.645,0,-0.11,-0.07
btc-updown-15m-1776052800,1776052800,124.8,-0.03,0.615,-0.1,-0.09,-0.2
btc-updown-15m-1776052800,1776052800,134.8,-0.085,0.535,0.02,0.09,-0.03
