slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1767776400,1767776400,15.8,-0.03,0.485,-0.26,-0.26,-0.065
btc-updown-15m-1767776400,1767776400,25.8,-0.08,0.405,-0.2,-0.17,0
btc-updown-15m-1767776400,1767776400,39,-0.035,0.335,-0.11,0.03,0.08
btc-updown-15m-1767776400,1767776400,52.1,-0.08,0.225,0,0.16,0.15
btc-updown-15m-1767776400,1767776400,63.8,-0.03,0.205,0.11,0.17,0.11
btc-updown-15m-1767776400,1767776400,85.9,0.03,0.255,0.12,0.15,0.03
btc-updown-15m-1767776400,1767776400,95.9,0.08,0.335,0.04,0.09,-0.02
btc-updown-15m-1767776400,1767776400,129.6,0.03,0.405,0.01,-0.12,-0.08
btc-updown-15m-1767776400,1767776400,170.4,-0.035,0.39,-0.125,-0.095,0.065
btc-updown-15m-1767776400,1767776400,180.5,-0.05,0.325,0,-0.02,0.14
btc-updown-15m-1767776400,1767776400,190.5,-0.04,0.285,0.03,0.04,0.15
btc-updown-15m-1767776400,1767776400,208.7,0.035,0.3,0.005,0.065,0.025
btc-updown-15m-1767776400,1767776400,225.6,-0.03,0.285,0.02,0.16,0
btc-updown-15m-1767776400,1767776400,248.1,0.03,0.325,0.11,0.12,-0.04
btc-updown-15m-1767776400,1767776400,262.1,0.035,0.35,0.105,-0.04,-0.215
btc-updown-15m-1767776400,1767776400,273.4,0.035,0.41,0.075,-0.085,-0.335
btc-updown-15m-1767776400,1767776400,284,0.03,0.445,-0.08,-0.16,-0.38
btc-updown-15m-1767776400,1767776400,310.2,-0.03,0.435,-0.11,-0.23,-0.41
btc-updown-15m-1767776400,1767776400,321.6,-0.12,0.315,-0.03,-0.18,-0.29
btc-updown-15m-1767776400,1767776400,332.9,0.03,0.325,-0.03,-0.25,-0.315
btc-updown-15m-1767776400,1767776400,343,-0.04,0.285,-0.11,-0.22,-0.27
btc-updown-15m-1767776400,1767776400,369.7,-0.035,0.25,-0.175,-0.225,-0.235
btc-updown-15m-1767776400,1767776400,379.8,-0.115,0.135,-0.075,-0.11,-0.12
btc-updown-15m-1767776400,1767776400,389.8,-0.04,0.095,-0.05,-0.085,-0.08
btc-updown-15m-1767776400,1767776400,410.6,-0.03,0.045,-0.02,-0.03,-0.03
btc-updown-15m-1767776400,1767776400,430.3,-0.03,0.025,-0.01,-0.01,-0.01
btc-updown-15m-1767787200,1767787200,4.7,0.03,0.515,0.1,0.06,0.12
btc-updown-15m-1767787200,1767787200,14.7,0.04,0.555,0.11,-0.05,0.02
btc-updown-15m-1767787200,1767787200,30.8,0.03,0.595,-0.02,0.03,-0.07
btc-updown-15m-1767787200,1767787200,40.8,0.08,0.675,-0.17,-0.03,-0.03
btc-updown-15m-1767787200,1767787200,50.8,-0.05,0.625,-0.13,0.01,0.02
btc-updown-15m-1767787200,1767787200,61.1,-0.05,0.575,0.05,0.1,0.07
btc-updown-15m-1767787200,1767787200,71.1,-0.07,0.505,0.14,0.08,0.16
btc-updown-15m-1767787200,1767787200,84.8,0.03,0.535,0.1,0.04,0.13
btc-updown-15m-1767787200,1767787200,94.9,0.07,0.625,0.01,-0.1,0
btc-updown-15m-1767787200,1767787200,117.8,0.03,0.675,-0.13,-0.03,-0.045
btc-updown-15m-1767787200,1767787200,128.3,-0.05,0.625,-0.1,0.03,0
btc-updown-15m-1767787200,1767787200,138.8,-0.04,0.585,0.06,0.08,0.125
btc-updown-15m-1767787200,1767787200,148.8,-0.06,0.525,0.12,0.1,0.21
btc-updown-15m-1767787200,1767787200,158.8,0.03,0.555,0.1,0.08,0.24
btc-updown-15m-1767787200,1767787200,168.9,0.07,0.645,0.02,-0.02,0.15
btc-updown-15m-1767787200,1767787200,183.4,0.03,0.665,-0.04,-0.035,0.12
btc-updown-15m-1767787200,1767787200,208.8,-0.03,0.635,-0.005,0.1,0.18
btc-updown-15m-1767787200,1767787200,256.4,0.03,0.655,0.14,0.17,-0.13
btc-updown-15m-1767787200,1767787200,266.4,0.05,0.735,0.04,0.08,-0.26
btc-updown-15m-1767787200,1767787200,276.4,0.05,0.785,0.01,-0.01,-0.44
btc-updown-15m-1767787200,1767787200,306.5,0.03,0.805,-0.03,-0.14,-0.5
btc-updown-15m-1767787200,1767787200,336.4,-0.035,0.78,-0.115,-0.435,-0.505
btc-updown-15m-1767787200,1767787200,349.8,-0.03,0.725,-0.24,-0.44,-0.585
btc-updown-15m-1767787200,1767787200,360.3,-0.07,0.655,-0.18,-0.42,-0.52
btc-updown-15m-1767787200,1767787200,372.2,-0.03,0.605,-0.28,-0.35,-0.4
btc-updown-15m-1767787200,1767787200,382.5,-0.05,0.485,-0.24,-0.14,-0.37
btc-updown-15m-1767787200,1767787200,392.5,-0.12,0.365,-0.13,-0.06,-0.16
btc-updown-15m-1767787200,1767787200,403.3,-0.035,0.32,-0.01,-0.105,-0.175
btc-updown-15m-1767787200,1767787200,413.4,-0.07,0.245,0.1,-0.13,-0.15
btc-updown-15m-1767787200,1767787200,429.2,0.04,0.275,-0.045,-0.09,-0.18
btc-updown-15m-1767787200,1767787200,439.2,0.115,0.35,-0.195,-0.165,-0.205
btc-updown-15m-1767787200,1767787200,449.2,-0.035,0.315,-0.19,-0.16,-0.09
btc-updown-15m-1767787200,1767787200,460.1,-0.085,0.23,-0.045,-0.045,0.045
btc-updown-15m-1767787200,1767787200,470.1,-0.095,0.135,0.045,-0.04,0.13
btc-updown-15m-1767787200,1767787200,481.6,0.03,0.155,0.04,-0.07,0.11
btc-updown-15m-1767787200,1767787200,491.9,0.04,0.205,-0.06,-0.08,0.1
btc-updown-15m-1767787200,1767787200,501.9,-0.09,0.115,-0.02,0.04,0.26
btc-updown-15m-1767787200,1767787200,511.9,0.08,0.195,-0.1,0.04,0.24
btc-updown-15m-1767787200,1767787200,522.1,-0.06,0.145,-0.01,0.13,0.31
btc-updown-15m-1767787200,1767787200,532.3,-0.05,0.095,0.065,0.17,0.43
btc-updown-15m-1767787200,1767787200,551.4,0.03,0.125,0.15,0.18,0.44
btc-updown-15m-1767787200,1767787200,561.7,0.03,0.155,0.11,0.22,0.405
btc-updown-15m-1767787200,1767787200,572.2,0.075,0.235,0.02,0.2,0.335
btc-updown-15m-1767787200,1767787200,582.3,0.04,0.275,0.03,0.18,0.42
btc-updown-15m-1767787200,1767787200,608.9,0.04,0.295,0.16,0.26,0.5
btc-updown-15m-1767787200,1767787200,619.2,0.04,0.335,0.23,0.23,0.48
btc-updown-15m-1767787200,1767787200,629.2,0.09,0.425,0.12,0.15,0.28
btc-updown-15m-1767787200,1767787200,639.2,0.03,0.455,0.11,0.23,0.205
btc-updown-15m-1767787200,1767787200,650.4,0.11,0.565,-0.005,0.16,-0.26
