slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1770875100,1770875100,0,0.47,0.49,0.48,0.02,2054.2,2119.31,0.51,0.53,164
btc-updown-15m-1770875100,1770875100,15,0.44,0.45,0.445,0.01,2810.64,1599.82,0.55,0.56,5
btc-updown-15m-1770875100,1770875100,30,0.47,0.48,0.475,0.01,722.73,2058.69,0.52,0.53,47
btc-updown-15m-1770875100,1770875100,45,0.58,0.59,0.585,0.01,1787.38,1924.78,0.41,0.42,1
btc-updown-15m-1770875100,1770875100,60,0.52,0.53,0.525,0.01,1899.83,1533.94,0.47,0.48,0
btc-updown-15m-1770875100,1770875100,75,0.56,0.57,0.565,0.01,1919.06,2172.54,0.43,0.44,3
btc-updown-15m-1770875100,1770875100,90,0.57,0.58,0.575,0.01,3051.91,1291.56,0.42,0.43,105
btc-updown-15m-1770875100,1770875100,105,0.54,0.56,0.55,0.02,472.06,191.79,0.44,0.46,133
btc-updown-15m-1770875100,1770875100,120,0.59,0.6,0.595,0.01,1593,1976.27,0.4,0.41,50
btc-updown-15m-1770875100,1770875100,135,0.46,0.48,0.47,0.02,532.52,1525.88,0.52,0.54,22
btc-updown-15m-1770875100,1770875100,150,0.4,0.41,0.405,0.01,1387.76,2173.3,0.59,0.6,7
btc-updown-15m-1770875100,1770875100,165,0.39,0.4,0.395,0.01,1776.08,3063.75,0.6,0.61,4
btc-updown-15m-1770875100,1770875100,180,0.35,0.36,0.355,0.01,572.59,2382.33,0.64,0.65,53
btc-updown-15m-1770875100,1770875100,195,0.44,0.45,0.445,0.01,1331.57,2027.46,0.55,0.56,72
btc-updown-15m-1770875100,1770875100,210,0.45,0.46,0.455,0.01,1187.69,2650.45,0.54,0.55,25
btc-updown-15m-1770875100,1770875100,225,0.48,0.49,0.485,0.01,1208.93,2674.88,0.51,0.52,13
btc-updown-15m-1770875100,1770875100,240,0.42,0.43,0.425,0.01,1115.78,1879.21,0.57,0.58,8
btc-updown-15m-1770875100,1770875100,255,0.41,0.42,0.415,0.01,1577.09,1708.58,0.58,0.59,0
btc-updown-15m-1770875100,1770875100,270,0.34,0.35,0.345,0.01,1674.38,1056.5,0.65,0.66,9
btc-updown-15m-1770875100,1770875100,285,0.33,0.34,0.335,0.01,890.45,3329.46,0.66,0.67,0
btc-updown-15m-1770875100,1770875100,300,0.31,0.32,0.315,0.01,619.75,3742.94,0.68,0.69,45
btc-updown-15m-1770875100,1770875100,315,0.27,0.28,0.275,0.01,1845.47,2834.56,0.72,0.73,7
btc-updown-15m-1770875100,1770875100,330,0.3,0.31,0.305,0.01,4540.22,353.92,0.69,0.7,18
btc-updown-15m-1770875100,1770875100,345,0.27,0.28,0.275,0.01,1705.72,2005.8,0.72,0.73,0
btc-updown-15m-1770875100,1770875100,360,0.24,0.25,0.245,0.01,1785.34,2409.2,0.75,0.76,192
btc-updown-15m-1770875100,1770875100,375,0.23,0.24,0.235,0.01,4181.21,922.47,0.76,0.77,0
btc-updown-15m-1770875100,1770875100,390,0.27,0.28,0.275,0.01,1378.61,2637.28,0.72,0.73,0
btc-updown-15m-1770875100,1770875100,405,0.27,0.28,0.275,0.01,1071.01,3230.08,0.72,0.73,22
btc-updown-15m-1770875100,1770875100,420,0.26,0.27,0.265,0.01,1792.55,3672.99,0.73,0.74,36
btc-updown-15m-1770875100,1770875100,435,0.26,0.29,0.275,0.03,2818.52,1805.62,0.71,0.74,31
btc-updown-15m-1770875100,1770875100,450,0.25,0.26,0.255,0.01,2040.07,2361.71,0.74,0.75,20
btc-updown-15m-1770875100,1770875100,465,0.37,0.38,0.375,0.01,1319.17,2570.92,0.62,0.63,19
btc-updown-15m-1770875100,1770875100,480,0.34,0.35,0.345,0.01,1655.52,3089.18,0.65,0.66,14
btc-updown-15m-1770875100,1770875100,495,0.26,0.27,0.265,0.01,1040.94,2091.22,0.73,0.74,7
btc-updown-15m-1770875100,1770875100,510,0.28,0.29,0.285,0.01,1069.11,2855.95,0.71,0.72,15
btc-updown-15m-1770875100,1770875100,525,0.33,0.34,0.335,0.01,1566.59,1519.82,0.66,0.67,28
btc-updown-15m-1770875100,1770875100,540,0.5,0.51,0.505,0.01,81.5,335.59,0.49,0.5,108
btc-updown-15m-1770875100,1770875100,555,0.44,0.45,0.445,0.01,1755.75,1780.99,0.55,0.56,3
btc-updown-15m-1770875100,1770875100,570,0.42,0.43,0.425,0.01,571.48,304,0.57,0.58,53
btc-updown-15m-1770875100,1770875100,585,0.49,0.5,0.495,0.01,879.5,2439.85,0.5,0.51,59
btc-updown-15m-1770875100,1770875100,600,0.33,0.34,0.335,0.01,1755.34,1204.57,0.66,0.67,4
btc-updown-15m-1770875100,1770875100,615,0.61,0.62,0.615,0.01,1310.67,1339.99,0.38,0.39,26
