slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1777082400,1777082400,0,0.44,0.45,0.445,0.01,154.27,188.8,0.55,0.56,50
btc-updown-15m-1777082400,1777082400,15,0.52,0.53,0.525,0.01,485,383.49,0.47,0.48,25
btc-updown-15m-1777082400,1777082400,30,0.53,0.54,0.535,0.01,701.34,261.3,0.46,0.47,1536
btc-updown-15m-1777082400,1777082400,45,0.54,0.55,0.545,0.01,925.87,129.57,0.45,0.46,3625
btc-updown-15m-1777082400,1777082400,60,0.51,0.52,0.515,0.01,474.74,358.55,0.48,0.49,1037
btc-updown-15m-1777082400,1777082400,75,0.51,0.52,0.515,0.01,488.15,348.76,0.48,0.49,52
btc-updown-15m-1777082400,1777082400,90,0.51,0.52,0.515,0.01,613.88,301.28,0.48,0.49,2823
btc-updown-15m-1777082400,1777082400,105,0.62,0.63,0.625,0.01,331.47,485.76,0.37,0.38,264
btc-updown-15m-1777082400,1777082400,120,0.62,0.63,0.625,0.01,233.3,590.15,0.37,0.38,207
btc-updown-15m-1777082400,1777082400,135,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,4370
btc-updown-15m-1777082400,1777082400,150,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,19370
btc-updown-15m-1777082400,1777082400,165,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,34370
btc-updown-15m-1777082400,1777082400,180,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,49370
btc-updown-15m-1777082400,1777082400,195,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,64370
btc-updown-15m-1777082400,1777082400,210,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,79370
btc-updown-15m-1777082400,1777082400,225,0.62,0.63,0.625,0.01,317.31,617.76,0.37,0.38,94370
btc-updown-15m-1777082400,1777082400,240,0.35,0.36,0.355,0.01,660.68,448.39,0.64,0.65,8
btc-updown-15m-1777082400,1777082400,255,0.33,0.34,0.335,0.01,197.36,848.5,0.66,0.67,57
btc-updown-15m-1777082400,1777082400,270,0.3,0.31,0.305,0.01,105,1302.69,0.69,0.7,81
btc-updown-15m-1777082400,1777082400,285,0.25,0.26,0.255,0.01,380.32,789.05,0.74,0.75,200
btc-updown-15m-1777082400,1777082400,300,0.28,0.29,0.285,0.01,453.96,932.16,0.71,0.72,5
btc-updown-15m-1777082400,1777082400,315,0.27,0.28,0.275,0.01,288.4,1096.63,0.72,0.73,287
btc-updown-15m-1777082400,1777082400,330,0.26,0.27,0.265,0.01,348.33,528,0.73,0.74,535
btc-updown-15m-1777082400,1777082400,345,0.31,0.32,0.315,0.01,931.04,68.47,0.68,0.69,374
btc-updown-15m-1777082400,1777082400,360,0.36,0.37,0.365,0.01,554.16,429.86,0.63,0.64,215
btc-updown-15m-1777082400,1777082400,375,0.34,0.35,0.345,0.01,534.76,424.82,0.65,0.66,101
btc-updown-15m-1777082400,1777082400,390,0.36,0.37,0.365,0.01,374.8,205.36,0.63,0.64,123
btc-updown-15m-1777082400,1777082400,405,0.39,0.4,0.395,0.01,632.57,269.56,0.6,0.61,212
btc-updown-15m-1777082400,1777082400,420,0.39,0.4,0.395,0.01,615.22,205.56,0.6,0.61,767
btc-updown-15m-1777082400,1777082400,435,0.44,0.45,0.445,0.01,719.59,288.22,0.55,0.56,290
btc-updown-15m-1777082400,1777082400,450,0.48,0.49,0.485,0.01,627.96,289,0.51,0.52,2
btc-updown-15m-1777082400,1777082400,465,0.43,0.44,0.435,0.01,770.16,420.5,0.56,0.57,577
btc-updown-15m-1777082400,1777082400,480,0.41,0.42,0.415,0.01,461.69,401.2,0.58,0.59,1
btc-updown-15m-1777082400,1777082400,495,0.41,0.42,0.415,0.01,647,451.19,0.58,0.59,12
btc-updown-15m-1777082400,1777082400,510,0.5,0.51,0.505,0.01,509.62,310.44,0.49,0.5,1291
btc-updown-15m-1777082400,1777082400,525,0.5,0.51,0.505,0.01,740,260.9,0.49,0.5,63
btc-updown-15m-1777082400,1777082400,540,0.53,0.54,0.535,0.01,541.5,243.49,0.46,0.47,1
btc-updown-15m-1777082400,1777082400,555,0.76,0.77,0.765,0.01,303.06,143.87,0.23,0.24,174
btc-updown-15m-1777082400,1777082400,570,0.77,0.78,0.775,0.01,426.52,133.93,0.22,0.23,48
btc-updown-15m-1777082400,1777082400,585,0.78,0.79,0.785,0.01,466.84,102.06,0.21,0.22,80
btc-updown-15m-1777082400,1777082400,600,0.73,0.74,0.735,0.01,445.14,177.57,0.26,0.27,6
btc-updown-15m-1777082400,1777082400,615,0.73,0.74,0.735,0.01,391.69,342,0.26,0.27,87
btc-updown-15m-1777082400,1777082400,630,0.74,0.75,0.745,0.01,599,398.57,0.25,0.26,269
btc-updown-15m-1777082400,1777082400,645,0.77,0.78,0.775,0.01,680.99,498.7,0.22,0.23,107
btc-updown-15m-1777082400,1777082400,660,0.87,0.88,0.875,0.01,648.73,1522.82,0.12,0.13,101
btc-updown-15m-1777082400,1777082400,675,0.87,0.88,0.875,0.01,559.26,1026.99,0.12,0.13,0
btc-updown-15m-1777082400,1777082400,690,0.93,0.94,0.935,0.01,568.29,1193.47,0.06,0.07,31
btc-updown-15m-1777082400,1777082400,705,0.93,0.94,0.935,0.01,699.87,1093.83,0.06,0.07,101
btc-updown-15m-1777082400,1777082400,720,0.94,0.95,0.945,0.01,1058.6,1768.31,0.05,0.06,212
btc-updown-15m-1777082400,1777082400,735,0.95,0.96,0.955,0.01,839.8,2197.68,0.04,0.05,33
btc-updown-15m-1777082400,1777082400,750,0.94,0.95,0.945,0.01,1025.45,1040.26,0.05,0.06,17
btc-updown-15m-1777082400,1777082400,765,0.94,0.95,0.945,0.01,1649.19,960.32,0.05,0.06,286
btc-updown-15m-1777082400,1777082400,780,0.97,0.98,0.975,0.01,2551.58,2743.11,0.02,0.03,113
btc-updown-15m-1777082400,1777082400,795,0.99,,,,3968.04,0,,0.01,56
btc-updown-15m-1777082400,1777082400,810,0.99,,,,3895.5,0,,0.01,634
btc-updown-15m-1777082400,1777082400,825,0.99,,,,3486.22,0,,0.01,684
btc-updown-15m-1777082400,1777082400,840,0.99,,,,4257.23,0,,0.01,35
btc-updown-15m-1777082400,1777082400,845,0.99,,,,6281.34,0,,0.01,342
