slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1778269500,1778269500,0,0.53,0.54,0.535,0.01,1931.15,72.88,0.46,0.47,172
btc-updown-15m-1778269500,1778269500,15,0.55,0.56,0.555,0.01,2132.89,404.54,0.44,0.45,65
btc-updown-15m-1778269500,1778269500,30,0.54,0.55,0.545,0.01,1814.88,503.44,0.45,0.46,0
btc-updown-15m-1778269500,1778269500,45,0.53,0.54,0.535,0.01,1817.75,520.04,0.46,0.47,126
btc-updown-15m-1778269500,1778269500,60,0.49,0.5,0.495,0.01,677.34,337.38,0.5,0.51,47
btc-updown-15m-1778269500,1778269500,75,0.49,0.5,0.495,0.01,922.14,633.16,0.5,0.51,4
btc-updown-15m-1778269500,1778269500,90,0.49,0.5,0.495,0.01,903.04,569.24,0.5,0.51,15
btc-updown-15m-1778269500,1778269500,105,0.55,0.56,0.555,0.01,378.5,781.61,0.44,0.45,33
btc-updown-15m-1778269500,1778269500,120,0.52,0.53,0.525,0.01,42,70.9,0.47,0.48,3
btc-updown-15m-1778269500,1778269500,135,0.56,0.57,0.565,0.01,877.69,632.63,0.43,0.44,234
btc-updown-15m-1778269500,1778269500,150,0.57,0.58,0.575,0.01,647.02,603.19,0.42,0.43,9
btc-updown-15m-1778269500,1778269500,165,0.57,0.58,0.575,0.01,554.02,540.69,0.42,0.43,9
btc-updown-15m-1778269500,1778269500,180,0.62,0.63,0.625,0.01,368.66,308.09,0.37,0.38,0
btc-updown-15m-1778269500,1778269500,195,0.61,0.62,0.615,0.01,859.81,337.03,0.38,0.39,226
btc-updown-15m-1778269500,1778269500,210,0.61,0.62,0.615,0.01,913.66,373.44,0.38,0.39,148
btc-updown-15m-1778269500,1778269500,225,0.61,0.62,0.615,0.01,996.2,362.36,0.38,0.39,1
btc-updown-15m-1778269500,1778269500,240,0.56,0.57,0.565,0.01,894.07,422.77,0.43,0.44,45
btc-updown-15m-1778269500,1778269500,255,0.62,0.63,0.625,0.01,463.17,343.83,0.37,0.38,20
btc-updown-15m-1778269500,1778269500,270,0.62,0.63,0.625,0.01,854.7,484.18,0.37,0.38,0
