slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1777818600,1777818600,0,0.49,0.5,0.495,0.01,295.7,236,0.5,0.51,241
btc-updown-15m-1777818600,1777818600,15,0.49,0.5,0.495,0.01,534.09,155.44,0.5,0.51,4
btc-updown-15m-1777818600,1777818600,30,0.51,0.52,0.515,0.01,207.46,505.61,0.48,0.49,23
btc-updown-15m-1777818600,1777818600,45,0.43,0.44,0.435,0.01,269.08,49.06,0.56,0.57,91
btc-updown-15m-1777818600,1777818600,60,0.43,0.44,0.435,0.01,203.07,151.85,0.56,0.57,0
btc-updown-15m-1777818600,1777818600,75,0.42,0.43,0.425,0.01,83.17,337.19,0.57,0.58,12
btc-updown-15m-1777818600,1777818600,90,0.42,0.43,0.425,0.01,48.34,548.9,0.57,0.58,265
btc-updown-15m-1777818600,1777818600,105,0.4,0.41,0.405,0.01,389.4,316.3,0.59,0.6,67
btc-updown-15m-1777818600,1777818600,120,0.35,0.36,0.355,0.01,152.58,390.97,0.64,0.65,1
btc-updown-15m-1777818600,1777818600,135,0.44,0.45,0.445,0.01,341.88,322.73,0.55,0.56,198
btc-updown-15m-1777818600,1777818600,150,0.44,0.45,0.445,0.01,81.17,402.16,0.55,0.56,93
btc-updown-15m-1777818600,1777818600,165,0.44,0.45,0.445,0.01,164.04,449.72,0.55,0.56,39
btc-updown-15m-1777818600,1777818600,180,0.44,0.45,0.445,0.01,175.32,376.55,0.55,0.56,24
btc-updown-15m-1777818600,1777818600,195,0.58,0.59,0.585,0.01,249.76,523.6,0.41,0.42,89
btc-updown-15m-1777818600,1777818600,210,0.59,0.6,0.595,0.01,287.95,461.56,0.4,0.41,130
btc-updown-15m-1777818600,1777818600,225,0.58,0.59,0.585,0.01,283.66,334.49,0.41,0.42,38
btc-updown-15m-1777818600,1777818600,240,0.58,0.59,0.585,0.01,515.2,81.39,0.41,0.42,43
btc-updown-15m-1777818600,1777818600,255,0.6,0.61,0.605,0.01,543.05,432.43,0.39,0.4,120
btc-updown-15m-1777818600,1777818600,270,0.6,0.61,0.605,0.01,521.1,555.22,0.39,0.4,5
btc-updown-15m-1777818600,1777818600,285,0.6,0.61,0.605,0.01,461.46,581.98,0.39,0.4,16
btc-updown-15m-1777818600,1777818600,300,0.69,0.7,0.695,0.01,186.28,451.41,0.3,0.31,70
btc-updown-15m-1777818600,1777818600,315,0.69,0.7,0.695,0.01,206.31,677.31,0.3,0.31,46
btc-updown-15m-1777818600,1777818600,330,0.69,0.7,0.695,0.01,573,748.13,0.3,0.31,55
