slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1767776400,1767776400,0,0.52,0.53,0.525,0.01,2910.46,1821.96,0.47,0.48,77
btc-updown-15m-1767776400,1767776400,15,0.5,0.51,0.505,0.01,1201.56,2819.56,0.49,0.5,10
btc-updown-15m-1767776400,1767776400,30,0.36,0.38,0.37,0.02,1502.85,1778.02,0.62,0.64,286
btc-updown-15m-1767776400,1767776400,45,0.22,0.23,0.225,0.01,2749.33,811.12,0.77,0.78,1231
btc-updown-15m-1767776400,1767776400,60,0.23,0.24,0.235,0.01,3859.76,694.76,0.76,0.77,71
btc-updown-15m-1767776400,1767776400,75,0.22,0.23,0.225,0.01,2095.64,4810.48,0.77,0.78,6
btc-updown-15m-1767776400,1767776400,90,0.3,0.31,0.305,0.01,2040.91,1705.43,0.69,0.7,9
btc-updown-15m-1767776400,1767776400,105,0.36,0.37,0.365,0.01,2149.81,1674.03,0.63,0.64,3
btc-updown-15m-1767776400,1767776400,120,0.37,0.38,0.375,0.01,1627.6,3842.05,0.62,0.63,590
btc-updown-15m-1767776400,1767776400,135,0.42,0.43,0.425,0.01,1036.25,3231.67,0.57,0.58,1473
btc-updown-15m-1767776400,1767776400,150,0.41,0.42,0.415,0.01,1367.15,1788.4,0.58,0.59,0
btc-updown-15m-1767776400,1767776400,165,0.42,0.43,0.425,0.01,1652.89,2403.97,0.57,0.58,221
btc-updown-15m-1767776400,1767776400,180,0.32,0.33,0.325,0.01,1812.02,1865.23,0.67,0.68,777
btc-updown-15m-1767776400,1767776400,195,0.26,0.27,0.265,0.01,3386.59,779.81,0.73,0.74,1001
btc-updown-15m-1767776400,1767776400,210,0.32,0.33,0.325,0.01,2704.56,860.59,0.67,0.68,0
btc-updown-15m-1767776400,1767776400,225,0.31,0.32,0.315,0.01,771.27,1969.59,0.68,0.69,3604
btc-updown-15m-1767776400,1767776400,240,0.3,0.31,0.305,0.01,1042.74,3194.77,0.69,0.7,88
btc-updown-15m-1767776400,1767776400,255,0.29,0.3,0.295,0.01,2568.99,270.02,0.7,0.71,32
btc-updown-15m-1767776400,1767776400,270,0.36,0.37,0.365,0.01,1357.67,2852.18,0.63,0.64,1
btc-updown-15m-1767776400,1767776400,285,0.44,0.45,0.445,0.01,1782.16,2776.82,0.55,0.56,38
btc-updown-15m-1767776400,1767776400,300,0.45,0.46,0.455,0.01,3903.92,295.57,0.54,0.55,284
btc-updown-15m-1767776400,1767776400,315,0.34,0.35,0.345,0.01,1542.84,1506.28,0.65,0.66,169
btc-updown-15m-1767776400,1767776400,330,0.32,0.33,0.325,0.01,512.09,3098.19,0.67,0.68,1743
btc-updown-15m-1767776400,1767776400,345,0.28,0.29,0.285,0.01,1872.71,793.5,0.71,0.72,796
btc-updown-15m-1767776400,1767776400,360,0.28,0.29,0.285,0.01,1420.23,1036.32,0.71,0.72,92
btc-updown-15m-1767776400,1767776400,375,0.18,0.19,0.185,0.01,1829.23,1516.88,0.81,0.82,0
btc-updown-15m-1767776400,1767776400,390,0.09,0.1,0.095,0.01,1273.77,3181.09,0.9,0.91,8
btc-updown-15m-1767776400,1767776400,405,0.06,0.07,0.065,0.01,2559.67,1019.72,0.93,0.94,572
btc-updown-15m-1767776400,1767776400,420,0.04,0.05,0.045,0.01,5891.61,986.28,0.95,0.96,7
btc-updown-15m-1767776400,1767776400,435,0.02,0.03,0.025,0.01,11257.45,2080.02,0.97,0.98,35
btc-updown-15m-1767776400,1767776400,450,,0.01,,,0,1788.77,0.99,,385
btc-updown-15m-1767776400,1767776400,465,0.01,0.02,0.015,0.01,2219.56,2710.26,0.98,0.99,1046
btc-updown-15m-1767776400,1767776400,480,0.02,0.03,0.025,0.01,3666.86,3224.72,0.97,0.98,117
btc-updown-15m-1767776400,1767776400,495,0.01,0.02,0.015,0.01,2538.42,6956.8,0.98,0.99,555
btc-updown-15m-1767776400,1767776400,510,0.01,0.02,0.015,0.01,1580.24,2668.83,0.98,0.99,267
btc-updown-15m-1767776400,1767776400,525,0.01,0.02,0.015,0.01,1790.63,2864.25,0.98,0.99,491
btc-updown-15m-1767776400,1767776400,540,0.02,0.03,0.025,0.01,1993.02,3557.51,0.97,0.98,19
btc-updown-15m-1767776400,1767776400,555,0.01,0.02,0.015,0.01,1366.7,5961.15,0.98,0.99,21
btc-updown-15m-1767776400,1767776400,570,,0.01,,,0,5749.2,0.99,,359
btc-updown-15m-1767776400,1767776400,585,0.01,0.02,0.015,0.01,1572.74,7088.55,0.98,0.99,87
btc-updown-15m-1767776400,1767776400,600,,0.01,,,0,8463.38,0.99,,790
btc-updown-15m-1767776400,1767776400,615,,0.01,,,0,12664.92,0.99,,93
btc-updown-15m-1767776400,1767776400,630,,0.01,,,0,15291.74,0.99,,3
btc-updown-15m-1767776400,1767776400,645,,0.01,,,0,18298.47,0.99,,158
btc-updown-15m-1767776400,1767776400,660,,0.01,,,0,19690.34,0.99,,1210
btc-updown-15m-1767776400,1767776400,675,,0.01,,,0,20224.87,0.99,,143
btc-updown-15m-1767776400,1767776400,690,,0.01,,,0,18797.95,0.99,,402
btc-updown-15m-1767776400,1767776400,705,,0.01,,,0,19774.35,0.99,,5
btc-updown-15m-1767776400,1767776400,720,,0.01,,,0,19230.98,0.99,,205
btc-updown-15m-1767776400,1767776400,735,,0.01,,,0,21626.87,0.99,,1782
btc-updown-15m-1767776400,1767776400,750,,0.01,,,0,21813.73,0.99,,880
btc-updown-15m-1767776400,1767776400,765,,0.01,,,0,22158.92,0.99,,240
btc-updown-15m-1767776400,1767776400,780,0.001,0.01,0.0055,0.009,439.37,23156.7,0.99,0.999,550
btc-updown-15m-1767776400,1767776400,795,,0.009,,,0,28322.99,0.991,,124
btc-updown-15m-1767776400,1767776400,810,,0.009,,,0,29129.94,0.991,,1091
btc-updown-15m-1767776400,1767776400,825,,0.008,,,0,23761.79,0.992,,40
btc-updown-15m-1767776400,1767776400,840,,0.008,,,0,21467.78,0.992,,6
btc-updown-15m-1767776400,1767776400,845,,0.006,,,0,8713.22,0.994,,335
btc-updown-15m-1767776400,1767776400,850,,0.006,,,0,8713.22,0.994,,1200
btc-updown-15m-1767776400,1767776400,855,,0.006,,,0,23313.31,0.994,,25
btc-updown-15m-1767776400,1767776400,860,,0.001,,,0,12113.22,0.999,,485
btc-updown-15m-1767776400,1767776400,865,,0.001,,,0,36287.36,0.999,,440
btc-updown-15m-1767776400,1767776400,870,,0.001,,,0,36282.36,0.999,,1309
btc-updown-15m-1767776400,1767776400,875,,0.001,,,0,36929.14,0.999,,198
btc-updown-15m-1767776400,1767776400,880,,0.001,,,0,35878.14,0.999,,177
btc-updown-15m-1767776400,1767776400,885,,0.001,,,0,35149.14,0.999,,571
btc-updown-15m-1767776400,1767776400,890,,0.001,,,0,35189.64,0.999,,586
btc-updown-15m-1767776400,1767776400,895,,0.001,,,0,69481.15,0.999,,1
btc-updown-15m-1767776400,1767776400,897,,0.001,,,0,71187.48,0.999,,8
btc-updown-15m-1767776400,1767776400,899,,0.001,,,0,73542.98,0.999,,7
btc-updown-15m-1767776400,1767776400,900,,0.001,,,0,76814.62,0.999,,445
btc-updown-15m-1767787200,1767787200,0,0.48,0.49,0.485,0.01,660.98,3367.52,0.51,0.52,30
btc-updown-15m-1767787200,1767787200,15,0.56,0.57,0.565,0.01,1271.12,1725.92,0.43,0.44,17
btc-updown-15m-1767787200,1767787200,30,0.59,0.6,0.595,0.01,1820.92,3196.02,0.4,0.41,672
btc-updown-15m-1767787200,1767787200,45,0.65,0.66,0.655,0.01,2066.16,2743.96,0.34,0.35,24
btc-updown-15m-1767787200,1767787200,60,0.57,0.58,0.575,0.01,2856.92,1154.32,0.42,0.43,1
btc-updown-15m-1767787200,1767787200,75,0.5,0.51,0.505,0.01,3007.76,2472.18,0.49,0.5,41
btc-updown-15m-1767787200,1767787200,90,0.62,0.63,0.625,0.01,1484.34,3337.92,0.37,0.38,9
btc-updown-15m-1767787200,1767787200,105,0.64,0.65,0.645,0.01,1397.46,3541.04,0.35,0.36,20
btc-updown-15m-1767787200,1767787200,120,0.67,0.68,0.675,0.01,970.23,2889.89,0.32,0.33,7
btc-updown-15m-1767787200,1767787200,135,0.57,0.58,0.575,0.01,2383.61,1693.56,0.42,0.43,9
btc-updown-15m-1767787200,1767787200,150,0.52,0.53,0.525,0.01,2580.03,2853.45,0.47,0.48,300
btc-updown-15m-1767787200,1767787200,165,0.64,0.65,0.645,0.01,2729.05,1595.44,0.35,0.36,128
btc-updown-15m-1767787200,1767787200,180,0.64,0.65,0.645,0.01,2804.92,1357.39,0.35,0.36,983
btc-updown-15m-1767787200,1767787200,195,0.66,0.67,0.665,0.01,2327.14,2912.03,0.33,0.34,3414
btc-updown-15m-1767787200,1767787200,210,0.62,0.63,0.625,0.01,967.61,1501.96,0.37,0.38,897
btc-updown-15m-1767787200,1767787200,225,0.63,0.64,0.635,0.01,1276.86,3485.63,0.36,0.37,15
btc-updown-15m-1767787200,1767787200,240,0.62,0.64,0.63,0.02,2717.43,3909.83,0.36,0.38,231
btc-updown-15m-1767787200,1767787200,255,0.64,0.65,0.645,0.01,1941.56,3326.29,0.35,0.36,84
btc-updown-15m-1767787200,1767787200,270,0.74,0.75,0.745,0.01,1297.3,1716.01,0.25,0.26,48
btc-updown-15m-1767787200,1767787200,285,0.79,0.8,0.795,0.01,2255.85,3916,0.2,0.21,680
btc-updown-15m-1767787200,1767787200,300,0.78,0.79,0.785,0.01,1377.11,3190.43,0.21,0.22,30
btc-updown-15m-1767787200,1767787200,315,0.8,0.81,0.805,0.01,2325.08,890.57,0.19,0.2,604
btc-updown-15m-1767787200,1767787200,330,0.81,0.82,0.815,0.01,1419.25,3548.47,0.18,0.19,13
btc-updown-15m-1767787200,1767787200,345,0.74,0.75,0.745,0.01,1399.82,4167.63,0.25,0.26,0
