slug,epoch,t_sec,up_best_bid,up_best_ask,up_mid,spread,top3_bid_depth,top3_ask_depth,down_best_bid,down_best_ask,last_event_age_ms
btc-updown-15m-1761057000,1761057000,0,0.4,0.48,0.44,0.08,431.16,121.78,0.52,0.6,1326
btc-updown-15m-1761057000,1761057000,15,0.54,0.58,0.56,0.04,101,379.46,0.42,0.46,1
btc-updown-15m-1761057000,1761057000,30,0.53,0.57,0.55,0.04,377.5,783,0.43,0.47,82
btc-updown-15m-1761057000,1761057000,45,0.59,0.63,0.61,0.04,543,213.43,0.37,0.41,25
btc-updown-15m-1761057000,1761057000,60,0.55,0.59,0.57,0.04,367.5,765,0.41,0.45,815
btc-updown-15m-1761057000,1761057000,75,0.51,0.53,0.52,0.02,118.5,520,0.47,0.49,72
btc-updown-15m-1761057000,1761057000,90,0.52,0.56,0.54,0.04,385.91,760,0.44,0.48,16
btc-updown-15m-1761057000,1761057000,105,0.51,0.55,0.53,0.04,561.91,751.07,0.45,0.49,65
btc-updown-15m-1761057000,1761057000,120,0.52,0.57,0.545,0.05,625.91,750,0.43,0.48,11
btc-updown-15m-1761057000,1761057000,135,0.53,0.58,0.555,0.05,583.91,755,0.42,0.47,72
btc-updown-15m-1761057000,1761057000,150,0.57,0.6,0.585,0.03,803,258.54,0.4,0.43,0
btc-updown-15m-1761057000,1761057000,165,0.53,0.58,0.555,0.05,383.41,515,0.42,0.47,92
btc-updown-15m-1761057000,1761057000,180,0.52,0.55,0.535,0.03,310.91,750,0.45,0.48,51
btc-updown-15m-1761057000,1761057000,195,0.51,0.53,0.52,0.02,567.79,511.33,0.47,0.49,91
btc-updown-15m-1761057000,1761057000,210,0.56,0.61,0.585,0.05,396.5,519,0.39,0.44,734
btc-updown-15m-1761057000,1761057000,225,0.65,0.68,0.665,0.03,828,280,0.32,0.35,42
btc-updown-15m-1761057000,1761057000,240,0.64,0.68,0.66,0.04,342,846.98,0.32,0.36,197
btc-updown-15m-1761057000,1761057000,255,0.64,0.69,0.665,0.05,592,793.67,0.31,0.36,368
btc-updown-15m-1761057000,1761057000,270,0.67,0.72,0.695,0.05,537,797,0.28,0.33,54
btc-updown-15m-1761057000,1761057000,285,0.68,0.73,0.705,0.05,792,833.4,0.27,0.32,90
btc-updown-15m-1761057000,1761057000,300,0.73,0.77,0.75,0.04,744.14,564.2,0.23,0.27,767
btc-updown-15m-1761057000,1761057000,315,0.74,0.78,0.76,0.04,245.14,2577.62,0.22,0.26,680
btc-updown-15m-1761057000,1761057000,330,0.72,0.75,0.735,0.03,368.6,742.68,0.25,0.28,36
btc-updown-15m-1761057000,1761057000,345,0.68,0.73,0.705,0.05,792,783,0.27,0.32,72
btc-updown-15m-1761057000,1761057000,360,0.66,0.7,0.68,0.04,778,523,0.3,0.34,774
btc-updown-15m-1761057000,1761057000,375,0.68,0.74,0.71,0.06,897.5,523,0.26,0.32,14
btc-updown-15m-1761057000,1761057000,390,0.62,0.65,0.635,0.03,821,76,0.35,0.38,78
btc-updown-15m-1761057000,1761057000,405,0.67,0.71,0.69,0.04,768,513.83,0.29,0.33,81
btc-updown-15m-1761057000,1761057000,420,0.7,0.74,0.72,0.04,724,763,0.26,0.3,285
btc-updown-15m-1761057000,1761057000,435,0.71,0.74,0.725,0.03,388,586,0.26,0.29,7
btc-updown-15m-1761057000,1761057000,450,0.68,0.72,0.7,0.04,544,532.87,0.28,0.32,28
btc-updown-15m-1761057000,1761057000,465,0.8,0.82,0.81,0.02,268,528,0.18,0.2,240
btc-updown-15m-1761057000,1761057000,480,0.81,0.82,0.815,0.01,231,302.68,0.18,0.19,25
btc-updown-15m-1761057000,1761057000,495,0.8,0.81,0.805,0.01,116,505,0.19,0.2,0
btc-updown-15m-1761057000,1761057000,510,0.75,0.8,0.775,0.05,270,421.39,0.2,0.25,26
btc-updown-15m-1761057000,1761057000,525,0.71,0.77,0.74,0.06,767,803,0.23,0.29,415
btc-updown-15m-1761057000,1761057000,540,0.75,0.77,0.76,0.02,460,953.35,0.23,0.25,85
btc-updown-15m-1761057000,1761057000,555,0.69,0.74,0.715,0.05,794,802,0.26,0.31,200
btc-updown-15m-1761057000,1761057000,570,0.72,0.74,0.73,0.02,393.31,870.38,0.26,0.28,3
btc-updown-15m-1761057000,1761057000,585,0.73,0.77,0.75,0.04,517,875.65,0.23,0.27,299
btc-updown-15m-1761057000,1761057000,600,0.76,0.8,0.78,0.04,816,394.71,0.2,0.24,12
btc-updown-15m-1761057000,1761057000,615,0.79,0.83,0.81,0.04,24,870.2,0.17,0.21,50
btc-updown-15m-1761057000,1761057000,630,0.81,0.85,0.83,0.04,784,303,0.15,0.19,90
btc-updown-15m-1761057000,1761057000,645,0.84,0.85,0.845,0.01,117,545.69,0.15,0.16,83
btc-updown-15m-1761057000,1761057000,660,0.84,0.85,0.845,0.01,384,585.7,0.15,0.16,89
btc-updown-15m-1761057000,1761057000,675,0.84,0.91,0.875,0.07,532,824.8,0.09,0.16,17
btc-updown-15m-1761057000,1761057000,690,0.89,0.9,0.895,0.01,142.94,330.5,0.1,0.11,7
btc-updown-15m-1761057000,1761057000,705,0.91,0.93,0.92,0.02,440.73,561.96,0.07,0.09,1312
btc-updown-15m-1761057000,1761057000,720,0.94,0.96,0.95,0.02,75,1065.4,0.04,0.06,322
btc-updown-15m-1761057000,1761057000,735,0.96,0.97,0.965,0.01,233.9,1113.03,0.03,0.04,16
btc-updown-15m-1761057000,1761057000,750,0.92,0.95,0.935,0.03,433,997.86,0.05,0.08,2
btc-updown-15m-1761057000,1761057000,765,0.95,0.99,0.97,0.04,147.14,21.66,0.01,0.05,12
btc-updown-15m-1761057000,1761057000,780,0.97,0.98,0.975,0.01,585.6,110,0.02,0.03,66
btc-updown-15m-1761057000,1761057000,795,0.89,0.93,0.91,0.04,570.73,520,0.07,0.11,29
btc-updown-15m-1761057000,1761057000,810,0.7,0.8,0.75,0.1,266,411,0.2,0.3,101
btc-updown-15m-1761057000,1761057000,825,0.66,0.74,0.7,0.08,543,15,0.26,0.34,160
btc-updown-15m-1761057000,1761057000,840,0.81,0.87,0.84,0.06,20,260,0.13,0.19,129
btc-updown-15m-1761057000,1761057000,845,0.85,0.87,0.86,0.02,90,270,0.13,0.15,41
btc-updown-15m-1761057000,1761057000,850,0.85,0.98,0.915,0.13,257.59,515,0.02,0.15,51
btc-updown-15m-1761057000,1761057000,855,0.85,0.98,0.915,0.13,323.59,10,0.02,0.15,433
btc-updown-15m-1761057000,1761057000,860,0.99,,,,283.59,0,,0.01,189
btc-updown-15m-1761057000,1761057000,865,0.99,,,,262.42,0,,0.01,274
btc-updown-15m-1761057000,1761057000,870,0.99,,,,2329.9,0,,0.01,247
btc-updown-15m-1761057000,1761057000,875,0.99,,,,2354.9,0,,0.01,314
btc-updown-15m-1761057000,1761057000,880,0.99,,,,2354.9,0,,0.01,1149
btc-updown-15m-1761057000,1761057000,885,0.99,,,,2344.9,0,,0.01,3385
btc-updown-15m-1761057000,1761057000,890,0.99,,,,2394.9,0,,0.01,522
btc-updown-15m-1761057000,1761057000,895,0.99,,,,2919.9,0,,0.01,3955
btc-updown-15m-1761057000,1761057000,897,0.99,,,,2914.65,0,,0.01,1945
btc-updown-15m-1761057000,1761057000,899,0.99,,,,3271.65,0,,0.01,364
btc-updown-15m-1761057000,1761057000,900,0.99,,,,3271.65,0,,0.01,1364
btc-updown-15m-1761061500,1761061500,0,0.46,0.52,0.49,0.06,55.62,33.83,0.48,0.54,136
